CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,725226.0,707726.0,2.472708364536558,116.1667,110.59629999999999,5.036696526013989,18.7228183436935,1100,infosys,Large Cap,Jun-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,491577.0,477577.0,2.931464454946532,98.7873,88.6478,11.437960107301013,15.9217458407956,1100,bharti-airtel,Large Cap,Jun-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,139672.0,139672.0,0.0,48.3544,48.373999999999995,-0.0405176334394517,7.79337492860081,1100,tata-consultancy-services,Large Cap,Jun-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,285579.0,285579.0,0.0,48.1772,44.9473,7.185971126185571,7.76481525176999,1100,tech-mahindra,Large Cap,Jun-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,1295016.0,1295016.0,0.0,34.2078,30.8615,10.842959674675571,5.51333923867509,1100,eternal,Large Cap,Jun-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,141107.0,141107.0,0.0,24.3918,23.093600000000002,5.621470883708027,3.93127497360003,1100,hcl-technologies,Large Cap,Jun-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,83822.0,83822.0,0.0,23.850700000000003,21.448400000000003,11.200369258312975,3.8440648091917,1100,mphasis,Mid Cap,Jun-2025
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,827882.0,827882.0,0.0,22.02,20.6697,6.532750838183437,3.54900724500335,1100,wipro,Large Cap,Jun-2025
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,533378.0,533378.0,0.0,21.3565,17.764200000000002,20.222132153432185,3.44206962887893,1100,swiggy,Mid Cap,Jun-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,34276.0,34276.0,0.0,20.707800000000002,19.3248,7.156607054148047,3.33751735822345,1100,persistent-systems,Mid Cap,Jun-2025
114402,5275,1,Hexaware Technologies Ltd.,IT,Information Technology,Domestic Equities,223641.0,223641.0,0.0,19.0218,19.1772,-0.8103372755146717,3.06578138115371,1100,hexaware-technologies,Mid Cap,Jun-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,85000.0,15400.0,451.94805194805195,16.3583,13.1678,24.229559987241604,2.63649978274016,1100,coforge,Mid Cap,Jun-2025
76174,111823,1,Bharti Hexacom Ltd.,Telecom,Telecom,Domestic Equities,80302.0,90802.0,-11.563621946653157,15.6806,16.6231,-5.669820911863612,2.52727352434148,1100,bharti-hexacom,Mid Cap,Jun-2025
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,17000.0,17000.0,0.0,15.2762,14.3863,6.185746161278423,2.46209557112262,1100,oracle-financial-services-software,Mid Cap,Jun-2025
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,307098.0,307098.0,0.0,12.9319,11.7972,9.618384023327572,2.08426007228241,1100,indus-towers,Large Cap,Jun-2025
171687,7000,1,Zensar Technologies Ltd.,IT,Information Technology,Domestic Equities,119060.0,119060.0,0.0,10.0314,9.9183,1.140316384864336,1.6167807119676,1100,zensar-technologies,Small Cap,Jun-2025
171771,7580,1,Firstsource Solutions Ltd.,IT,Information Technology,Domestic Equities,264000.0,239000.0,10.460251046025103,9.8908,8.877699999999999,11.41173952712978,1.59411993001267,1100,firstsource-solutions,Small Cap,Jun-2025
133561,8133,1,Birlasoft Ltd.,IT,Information Technology,Domestic Equities,192000.0,192000.0,0.0,8.3232,7.6896,8.239700374531836,1.34146671669445,1100,birlasoft,Small Cap,Jun-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,15050.0,15050.0,0.0,8.0021,7.6287,4.8946740598004945,1.28971439033793,1100,ltimindtree,Large Cap,Jun-2025
191600,99819,1,FSN E-Commerce Ventures Ltd.,Retailing,Information Technology,Domestic Equities,355802.0,355802.0,0.0,7.4146,7.232,2.524889380530972,1.1950258455405,1100,fsn-e-commerce-ventures,Mid Cap,Jun-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,39585.0,39585.0,0.0,5.8914,5.6508,4.2578042047143665,0.949528668629097,1100,info-edge-india,Large Cap,Jun-2025
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,2900.0,2900.0,0.0,4.3450999999999995,4.2607,1.9808951580726166,0.700308418722254,1100,dixon-technologies-india,Mid Cap,Jun-2025
123232,111772,1,Brainbees Solutions Ltd.,Retailing,Information Technology,Domestic Equities,82503.0,137503.0,-39.999127291768175,3.1845999999999997,4.7913,-33.53369649155762,0.513268322998985,1100,brainbees-solutions,Small Cap,Jun-2025
153885,104233,1,Kaynes Technology India Ltd.,Electricals,Electricals,Domestic Equities,1602.0,2800.0,-42.785714285714285,0.9764,1.6743999999999999,-41.68657429526995,0.157368332153554,1100,kaynes-technology-india,Mid Cap,Jun-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,686726.0,686726.0,0.0,129.1045,127.5834,1.1922397427878593,21.1990737099434,1100,infosys,Large Cap,Dec-2024
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,444377.0,444377.0,0.0,70.556,72.30680000000001,-2.421349029413553,11.5853579439816,1100,bharti-airtel,Large Cap,Dec-2024
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,125972.0,125972.0,0.0,51.583,53.8008,-4.1222435354121085,8.46997447168774,1100,tata-consultancy-services,Large Cap,Dec-2024
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,267579.0,267579.0,0.0,45.654300000000006,45.8176,-0.3564132560413449,7.49647665941829,1100,tech-mahindra,Large Cap,Dec-2024
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,1245016.0,1245016.0,0.0,34.6177,34.8306,-0.6112441359034861,5.68425712479974,1100,eternal,Large Cap,Dec-2024
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,141107.0,141107.0,0.0,27.0559,26.0773,3.752689120422749,4.44260284024846,1100,hcl-technologies,Large Cap,Dec-2024
171511,5199,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,725882.0,312941.0,131.95490523772852,21.9107,18.0833,21.165384636653723,3.59775642472925,1100,wipro,Large Cap,Dec-2024
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,65522.0,65522.0,0.0,18.6554,19.4898,-4.281213763096597,3.06323326985874,1100,mphasis,Mid Cap,Dec-2024
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,27776.0,27776.0,0.0,17.9369,16.403499999999998,9.348004998933163,2.94525493091165,1100,persistent-systems,Mid Cap,Dec-2024
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,17100.0,9100.0,87.91208791208791,16.5236,7.9041,109.05099884869878,2.7131898140934,1100,coforge,Mid Cap,Dec-2024
76174,111823,1,Bharti Hexacom Ltd.,Telecom,Telecom,Domestic Equities,90802.0,90802.0,0.0,13.2289,12.496199999999998,5.863382468270372,2.17219714418529,1100,bharti-hexacom,Mid Cap,Dec-2024
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,231378.0,231378.0,0.0,12.5152,10.8921,14.901625949082357,2.05500696950675,1100,swiggy,Large Cap,Dec-2024
123232,111772,1,Brainbees Solutions Ltd.,Retailing,Information Technology,Domestic Equities,186283.0,186283.0,0.0,12.1466,11.258,7.893053828388713,1.99448252171844,1100,brainbees-solutions,Small Cap,Dec-2024
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,21300.0,21300.0,0.0,11.898,13.1472,-9.50164293537788,1.95366218064364,1100,ltimindtree,Large Cap,Dec-2024
133561,8133,1,Birlasoft Ltd.,IT,Information Technology,Domestic Equities,192000.0,192000.0,0.0,10.7587,11.3405,-5.130285260790976,1.76658810748787,1100,birlasoft,Small Cap,Dec-2024
171771,7580,1,Firstsource Solutions Ltd.,IT,Information Technology,Domestic Equities,239000.0,239000.0,0.0,8.9864,8.7641,2.536484065677026,1.47557487141839,1100,firstsource-solutions,Small Cap,Dec-2024
171580,109023,1,Tata Technologies Ltd.,IT,Information Technology,Domestic Equities,88000.0,88000.0,0.0,7.8439,8.2588,-5.023732261345475,1.28797535541693,1100,tata-technologies,Mid Cap,Dec-2024
171687,7000,1,Zensar Technologies Ltd.,IT,Information Technology,Domestic Equities,94060.0,94060.0,0.0,7.07,7.1401,-0.9817789666811376,1.16090028720378,1100,zensar-technologies,Small Cap,Dec-2024
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,202098.0,202098.0,0.0,6.9077,7.0603,-2.16138124442304,1.13425048287377,1100,indus-towers,Large Cap,Dec-2024
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,7917.0,7917.0,0.0,6.869800000000001,6.5357,5.111923741909813,1.12802726917008,1100,info-edge-india,Large Cap,Dec-2024
152491,5679,1,PVR Inox Ltd.,Media & Entertainment,Media & Entertainment,Domestic Equities,51380.0,51380.0,0.0,6.7046,7.9128,-15.268931351733892,1.10090128226116,1100,pvr-inox,Small Cap,Dec-2024
153885,104233,1,Kaynes Technology India Ltd.,Electricals,Electricals,Domestic Equities,9000.0,9000.0,0.0,6.675599999999999,5.3887,23.881455638651243,1.09613945647207,1100,kaynes-technology-india,Mid Cap,Dec-2024
191600,99819,1,FSN E-Commerce Ventures Ltd.,Retailing,Information Technology,Domestic Equities,355802.0,355802.0,0.0,5.8266,6.1219,-4.823665855371712,0.956732901474048,1100,fsn-e-commerce-ventures,Mid Cap,Dec-2024
214823,111795,1,Unicommerce eSolutions Ltd.,IT,Information Technology,Domestic Equities,327186.0,407186.0,-19.647040910050936,5.5088,7.2455,-23.9693602925954,0.904549858861126,1100,unicommerce-esolutions,Small Cap,Dec-2024
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,2900.0,2900.0,0.0,5.201499999999999,4.5841,13.468292576514465,0.854090925585635,1100,dixon-technologies-india,Mid Cap,Dec-2024
133437,6005,1,Sonata Software Ltd.,IT,Information Technology,Domestic Equities,83300.0,83300.0,0.0,4.993,5.2137,-4.233078236185433,0.819855040170927,1100,sonata-software,Small Cap,Dec-2024
152532,6617,1,Sun TV Network Ltd.,Media & Entertainment,Media & Entertainment,Domestic Equities,72306.0,72306.0,0.0,4.941,5.4837,-9.89660265878877,0.811316593928409,1100,sun-tv-network,Small Cap,Dec-2024
171509,5522,1,Tata Communications Ltd.,Telecom,Telecom,Domestic Equities,15000.0,15000.0,0.0,2.5551,2.6327,-2.9475443461085544,0.419549692197223,1100,tata-communications,Mid Cap,Dec-2024
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,707726.0,686726.0,3.0579881932532045,133.0383,129.1045,3.046989066996109,22.2920374653107,1100,infosys,Large Cap,Jan-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,444377.0,444377.0,0.0,72.26899999999999,70.556,2.427858722149771,12.1094696458128,1100,bharti-airtel,Large Cap,Jan-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,125972.0,125972.0,0.0,51.8047,51.583,0.4297927611810106,8.68045001536535,1100,tata-consultancy-services,Large Cap,Jan-2025
