CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152378,5539,1,Tata Motors Passenger Vehicles Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,343379.0,158634.0,116.45990140827314,12.093800000000002,6.2486,93.54415389047148,7.08632996569864,1100,tata-motors-passenger-vehicles,Large Cap,Jun-2026
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,60932.0,60932.0,0.0,8.3794,7.6555,9.45594670498336,4.90988715826086,1100,icici-bank,Large Cap,Jun-2026
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,79595.0,79595.0,0.0,8.1736,7.6761,6.481155795260614,4.78929919525992,1100,state-bank-of-india,Large Cap,Jun-2026
78882,109773,1,JSW Infrastructure Ltd.,Logistics,Logistics,Domestic Equities,231369.0,245178.0,-5.632234539803735,7.4536,6.7498000000000005,10.426975614092267,4.36741710895925,1100,jsw-infrastructure,Mid Cap,Jun-2026
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,13800.0,17823.0,-22.571957582898502,7.4084,7.851,-5.637498407846133,4.34093228909704,1100,interglobe-aviation,Large Cap,Jun-2026
234053,113617,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,164001.0,203856.0,-19.550565104779842,6.9364,7.7363,-10.339568010547678,4.06436514363327,1100,tata-motors,Large Cap,Jun-2026
152385,6093,1,Garware Hi-Tech Films Ltd.,Plastic Products,Plastic Products,Domestic Equities,9992.0,10774.0,-7.258214219417115,6.6722,6.5914,1.225839730558006,3.90955785585461,1100,garware-hi-tech-films,Small Cap,Jun-2026
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,186059.0,,,6.635800000000001,,,3.88822937260274,1100,ntpc,Large Cap,Jun-2026
97622,113278,1,Lenskart Solutions Ltd.,Healthcare,Healthcare,Domestic Equities,128817.0,128817.0,0.0,6.6334,6.748099999999999,-1.6997377039462833,3.88682309898174,1100,lenskart-solutions,Mid Cap,Jun-2026
40249,8148,1,Schneider Electric Infrastructure Ltd.,Capital Goods,Capital Goods,Domestic Equities,46926.0,,,6.382899999999999,,,3.74004328978963,1100,schneider-electric-infrastructure,Small Cap,Jun-2026
229592,113102,1,KSH International Ltd.,Capital Goods,Capital Goods,Domestic Equities,73296.0,89606.0,-18.201906122357876,6.3298000000000005,7.1071,-10.936950373570093,3.70892948592496,1100,ksh-international,Small Cap,Jun-2026
19098,6973,1,Schaeffler India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,14764.0,19562.0,-24.52714446375626,6.185700000000001,8.0766,-23.41207934031646,3.62449447393062,1100,schaeffler-india,Mid Cap,Jun-2026
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,159514.0,159514.0,0.0,6.149299999999999,6.7116,-8.378032063889389,3.60316599067875,1100,tata-power-company,Large Cap,Jun-2026
138296,105932,1,Divgi Torqtransfer Systems Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,52433.0,62657.0,-16.317410664411,5.178,5.0849,1.8309111290290754,3.03403533731231,1100,divgi-torqtransfer-systems,Small Cap,Jun-2026
133909,100034,1,Metro Brands Ltd.,Retailing,Retailing,Domestic Equities,51298.0,51298.0,0.0,5.154400000000001,5.2545,-1.905033780569034,3.02020698003912,1100,metro-brands,Small Cap,Jun-2026
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5224.0,5224.0,0.0,5.0756,5.4643,-7.113445455044554,2.97403432948288,1100,bajaj-auto,Large Cap,Jun-2026
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,3526.0,3526.0,0.0,4.9769,4.6286000000000005,7.524953549669442,2.91620132681916,1100,maruti-suzuki-india,Large Cap,Jun-2026
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,4613.0,,,4.9707,,,2.91256845329824,1100,oracle-financial-services-software,Mid Cap,Jun-2026
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,36724.0,36724.0,0.0,4.9419,4.7249,4.5926897923765555,2.89569316984621,1100,axis-bank,Large Cap,Jun-2026
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,22837.0,22837.0,0.0,4.8965,4.4697000000000005,9.5487392889903,2.86909116051559,1100,bharat-forge,Mid Cap,Jun-2026
152519,8782,1,Mahindra & Mahindra Financial Services Ltd.,Finance,Finance,Domestic Equities,149872.0,195440.0,-23.315595579205894,4.7330000000000005,5.934500000000001,-20.246019041199766,2.77328877008481,1100,mahindra-mahindra-financial-services,Mid Cap,Jun-2026
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,25391.0,34601.0,-26.617727811334934,4.7291,6.2254,-24.03540334757605,2.77100357545068,1100,sun-pharmaceutical-industries,Large Cap,Jun-2026
133479,8056,1,Mahindra Lifespace Developers Ltd.,Realty,Realty,Domestic Equities,124847.0,172530.0,-27.637512316698544,4.575,5.7401,-20.297555791710945,2.6807090900355,1100,mahindra-lifespace-developers,Small Cap,Jun-2026
57781,87827,1,Bharat Dynamics Ltd.,Capital Goods,Capital Goods,Domestic Equities,27545.0,27545.0,0.0,3.7693,3.3181,13.598143515867516,2.20861131651821,1100,bharat-dynamics,Mid Cap,Jun-2026
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,34562.0,43530.0,-20.601883758327592,3.6019,4.1229000000000005,-12.636736277862676,2.1105237314533,1100,shriram-finance,Large Cap,Jun-2026
227975,113151,1,Siemens Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,9343.0,9343.0,0.0,3.4413,3.6176999999999997,-4.876026204494565,2.01642058831457,1100,siemens-energy-india,Mid Cap,Jun-2026
171394,82477,1,Endurance Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,12511.0,12511.0,0.0,3.3449,3.4062,-1.799659444542304,1.95993526453765,1100,endurance-technologies,Mid Cap,Jun-2026
133378,6995,1,Foseco India Ltd.,Chemicals,Chemicals,Domestic Equities,5180.0,6959.0,-25.564017818652108,2.7615,3.4661,-20.328322898935415,1.61809358516569,1100,foseco-india,Small Cap,Jun-2026
