CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1104252.0,1104252.0,0.0,159.6528,157.5768,1.3174528230044038,5.22560640355821,1100,icici-bank,Large Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,814691.0,814691.0,0.0,158.4493,156.828,1.0338077384140654,5.18621456510199,1100,hdfc-bank,Large Cap
75950,8414,1,Shakti Pumps (India) Ltd.,Capital Goods,Capital Goods,Domestic Equities,1149080.0,1149080.0,0.0,98.4244,96.60889999999999,1.879226448080882,3.22153557536338,1100,shakti-pumps-india,Small Cap
152385,6093,1,Garware Hi-Tech Films Ltd.,Plastic Products,Plastic Products,Domestic Equities,193087.0,193087.0,0.0,90.6833,61.5368,47.364341337216096,2.96816111697252,1100,garware-hi-tech-films,Small Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,355421.0,355421.0,0.0,73.7392,78.4805,-6.04137333477743,2.41356265416741,1100,kotak-mahindra-bank,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,205366.0,205366.0,0.0,71.1265,70.9273,0.2808509558378801,2.32804619688902,1100,tata-consultancy-services,Large Cap
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,1608375.0,1608375.0,0.0,64.7049,67.56779999999999,-4.237077424453659,2.11786038066099,1100,rec,Large Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,1615853.0,1773485.0,-8.888262376056183,62.1457,55.705200000000005,11.561757250669583,2.03409503543694,1100,bharat-electronics,Large Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,109808.0,139926.0,-21.524234238097282,61.9701,72.3767,-14.378384203756179,2.02834746017071,1100,trent,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,424022.0,424022.0,0.0,60.249300000000005,59.5751,1.1316808532423794,1.97202384104694,1100,reliance-industries,Large Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,732260.0,732260.0,0.0,56.373000000000005,57.6801,-2.2661195108885046,1.8451484082195,1100,the-indian-hotels-company,Mid Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,817587.0,676891.0,20.785621318646577,52.2724,41.4054,26.245368961536414,1.71093139719038,1100,shriram-finance,Large Cap
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,419711.0,419711.0,0.0,52.0819,46.3445,12.379894054310647,1.70469612903424,1100,bharat-forge,Mid Cap
