CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,8171.0,8168.0,0.03672869735553379,4.3551,4.2878,1.5695694761882595,4.50990239987573,1100,interglobe-aviation,Large Cap
134703,87891,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,7861.0,7911.0,-0.6320313487548982,3.9101,3.5504000000000002,10.131252816584038,4.04908483703109,1100,hindustan-aeronautics,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,5281.0,5287.0,-0.11348590883298658,3.4918,3.2182,8.501646883350945,3.61591632795713,1100,divi's-laboratories,Large Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,71038.0,70618.0,0.5947492140813957,3.0941,2.9602999999999997,4.519812181197869,3.20408004763507,1100,vedanta,Large Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,36374.0,36610.0,-0.6446326140398798,2.8002999999999996,2.8838,-2.895485123795001,2.89983690164911,1100,the-indian-hotels-company,Mid Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,17350.0,17532.0,-1.0381017567875885,2.7777,2.6161000000000003,6.1771339016092535,2.87643358272711,1100,cholamandalam-investment-and-finance-company,Large Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,9825.0,9720.0,1.0802469135802468,2.7321,2.5972000000000004,5.194055136300612,2.82921272684909,1100,tvs-motor-company,Large Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,69096.0,69440.0,-0.4953917050691244,2.7141,2.6693000000000002,1.6783426366463188,2.8105729153183,1100,tata-power-company,Large Cap
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4891.0,4898.0,-0.14291547570436913,2.6952,2.6639999999999997,1.171171171171173,2.79100111321097,1100,britannia-industries,Large Cap
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,55632.0,55563.0,0.12418335942983641,2.6477999999999997,2.9023000000000003,-8.768907418254503,2.74191627617987,1100,varun-beverages,Large Cap
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,81153.0,80494.0,0.8186945610852983,2.5839,2.4957,3.5340786152181725,2.67574494524555,1100,bharat-petroleum-corporation,Large Cap
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,6105.0,6105.0,0.0,2.4433000000000002,2.5639999999999996,-4.707488299531968,2.53014730628835,1100,avenue-supermarts,Large Cap
171402,5320,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,19835.0,19795.0,0.2020712301086133,2.4425,2.4952,-2.112055145880094,2.52931887022031,1100,godrej-consumer-products,Large Cap
