CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,446000.0,446000.0,0.0,86.7425,85.855,1.0337196435851146,9.13190548866025,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,575120.0,575120.0,0.0,83.1508,82.0696,1.3174183863452582,8.75378559421841,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,367708.0,367708.0,0.0,52.247600000000006,51.663000000000004,1.1315641755221346,5.50041957759259,1100,reliance-industries,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,102761.0,102761.0,0.0,37.7657,34.3325,9.999854365397223,3.97582272949357,1100,larsen-toubro,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,315000.0,315000.0,0.0,37.5543,37.3275,0.6075949367088564,3.95356737807642,1100,axis-bank,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,229498.0,222498.0,3.146095695242204,35.8637,33.3769,7.45066198478588,3.7755877323534,1100,infosys,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,93476.0,93476.0,0.0,32.3745,32.2838,0.2809458613917726,3.40825863034419,1100,tata-consultancy-services,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,157000.0,157000.0,0.0,29.1423,29.2727,-0.4454662535399865,3.06798546643437,1100,bharti-airtel,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,116000.0,116000.0,0.0,27.2403,27.168400000000002,0.26464569131785654,2.8677504692942,1100,hindustan-unilever,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,308000.0,308000.0,0.0,25.018800000000002,24.290399999999998,2.998715541942502,2.63387978257132,1100,state-bank-of-india,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,26500.0,26500.0,0.0,24.3283,22.8814,6.323476710341152,2.56118668818368,1100,bajaj-finance,Large Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,132000.0,132000.0,0.0,21.133200000000002,19.697,7.291465705437382,2.22481926475436,1100,cholamandalam-investment-and-finance-company,Large Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,16900.0,16900.0,0.0,18.9449,19.673299999999998,-3.7024800109793436,1.99444374201942,1100,ultratech-cement,Large Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,480000.0,480000.0,0.0,18.854400000000002,18.4512,2.1852237252861695,1.98491626187158,1100,tata-power-company,Large Cap
57620,82559,1,ICICI Prudential Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,263030.0,263030.0,0.0,17.423099999999998,16.159200000000002,7.821550571810477,1.83423468910253,1100,icici-prudential-life-insurance-company,Large Cap
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,30000.0,30000.0,0.0,16.5315,16.3167,1.3164426630384831,1.74037058634218,1100,britannia-industries,Large Cap
171321,7864,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,3300.0,3300.0,0.0,15.305399999999999,15.052999999999999,1.6767421776390097,1.61129165364315,1100,page-industries,Mid Cap
152379,5838,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,120000.0,120000.0,0.0,15.153599999999999,14.8332,2.1600194159048596,1.59531075324047,1100,voltas,Mid Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,40000.0,44400.0,-9.90990990990991,14.22,15.005899999999999,-5.237273339153261,1.49702505748334,1100,titan-company,Large Cap
26837,16127,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,391000.0,391000.0,0.0,13.798399999999999,13.1884,4.625276758363411,1.45264068587751,1100,crompton-greaves-consumer-electricals,Small Cap
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,89633.0,89633.0,0.0,13.1375,13.894,-5.444796314956102,1.38306376179236,1100,cipla,Large Cap
