CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,197180.0,197180.0,0.0,127.33290000000001,116.44760000000001,9.347809658593228,3.60814698938119,1100,persistent-systems,Mid Cap,Dec-2024
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,1000000.0,1000000.0,0.0,112.815,97.975,15.146721102322022,3.19676299375133,1100,max-healthcare-institute,Mid Cap,Dec-2024
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,1280000.0,1280000.0,0.0,101.7536,107.3856,-5.244651051910116,2.88332352046249,1100,state-bank-of-india,Large Cap,Dec-2024
133387,5868,1,Godrej Industries Ltd.,Chemicals,Chemicals,Domestic Equities,740000.0,740000.0,0.0,86.29879999999999,79.6314,8.372827804107411,2.44539121788013,1100,godrej-industries,Mid Cap,Dec-2024
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,1400000.0,1400000.0,0.0,74.193,80.402,-7.722444715305585,2.10235728223545,1100,indian-bank,Mid Cap,Dec-2024
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,550000.0,550000.0,0.0,73.3975,69.443,5.694598447647708,2.0798157322507,1100,aurobindo-pharma,Mid Cap,Dec-2024
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,995816.0,995816.0,0.0,72.4954,72.9186,-0.580373183248166,2.05425352955901,1100,cg-power-and-industrial-solutions,Large Cap,Dec-2024
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,3600000.0,2650000.0,35.84905660377358,72.0072,55.856700000000004,28.914167861688934,2.04041973357843,1100,the-federal-bank,Mid Cap,Dec-2024
171470,5477,1,Piramal Enterprises Ltd.,Finance,Finance,Domestic Equities,650383.0,650383.0,0.0,71.84779999999999,77.0704,-6.776401835205218,2.03590292268268,1100,piramal-enterprises,Small Cap,Dec-2024
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,2575000.0,2575000.0,0.0,71.5979,72.0382,-0.6112035003650805,2.02882167398226,1100,eternal,Large Cap,Dec-2024
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,550000.0,,,70.4908,,,1.99745052377721,1100,icici-bank,Large Cap,Dec-2024
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,124000.0,81000.0,53.086419753086425,69.8604,45.7038,52.85468604361125,1.97958730176542,1100,alkem-laboratories,Mid Cap,Dec-2024
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,949011.0,1025000.0,-7.413560975609757,68.9931,70.2638,-1.8084703645404847,1.95501120333453,1100,nippon-life-india-asset-management,Mid Cap,Dec-2024
171752,6261,1,The Ramco Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,710000.0,710000.0,0.0,68.5612,72.0508,-4.843249485085523,1.94277274269542,1100,the-ramco-cements,Small Cap,Dec-2024
