CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,14883.0,16196.0,-8.106939985181526,2.8941000000000003,3.1157,-7.112366402413572,15.5655354165546,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,13986.0,15219.0,-8.101714961561205,2.0223,2.165,-6.591224018475756,10.8766740171032,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,13296.0,14468.0,-8.100635886093448,1.8891,2.0376,-7.287985865724379,10.160275372452,1100,reliance-industries,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,7017.0,7636.0,-8.106338397066528,1.0966,1.1445999999999998,-4.1936047527520515,5.89791857150541,1100,infosys,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,5266.0,5731.0,-8.113767230849763,0.9778,1.0681,-8.454264581967982,5.25896842897865,1100,bharti-airtel,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,2297.0,2499.0,-8.083233293317328,0.8443,0.8348,1.137997125059898,4.54095627386651,1100,larsen-toubro,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,18195.0,19799.0,-8.10141926359917,0.7604000000000001,0.8421,-9.701935637097717,4.08971118162749,1100,itc,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,1991.0,2166.0,-8.079409048938135,0.6898000000000001,0.7429000000000001,-7.147664557813975,3.70999838648954,1100,tata-consultancy-services,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,5598.0,6091.0,-8.093909046133641,0.6673,0.7211,-7.460823741506026,3.58898510192008,1100,axis-bank,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,7541.0,8206.0,-8.10382646843773,0.6126,0.6468,-5.287569573283872,3.29478836121121,1100,state-bank-of-india,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,2891.0,3146.0,-8.105530832803561,0.6001,0.6939,-13.517797953595622,3.22755875867262,1100,kotak-mahindra-bank,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1735.0,1888.0,-8.103813559322035,0.5168,0.5523,-6.427666123483609,2.77954068735546,1100,mahindra-mahindra,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,512.0,557.0,-8.07899461400359,0.4697,0.48100000000000004,-2.3492723492723546,2.52621954499005,1100,bajaj-finance,Large Cap
