CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,443245.0,415334.0,6.720133675547872,5.96696419,5.73368587,4.068557735619364,18.786774467694,1100,tata-steel,Large Cap,Jan-2025
133434,4968,1,JSW Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,51334.0,48136.0,6.643676250623234,4.851063,4.3394604,11.78954415622735,15.273399270991,1100,jsw-steel,Large Cap,Jan-2025
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,77760.0,72800.0,6.813186813186813,4.6212768,4.385836,5.368208022370196,14.5499255953113,1100,hindalco-industries,Large Cap,Jan-2025
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,90677.0,84981.0,6.702674715524647,4.00248278,3.7769805450000002,5.970436763263766,12.6016746379517,1100,vedanta,Large Cap,Jan-2025
75697,6614,1,Adani Enterprises Ltd.,Trading,Trading,Domestic Equities,13318.0,13131.0,1.4241108826441247,3.0468920400000004,3.320370315,-8.236378748615572,9.5930311897669,1100,adani-enterprises,Large Cap,Jan-2025
171942,7813,1,Jindal Steel & Power Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,20294.0,19020.0,6.698212407991589,1.60637157,1.7701913999999999,-9.254356901745195,5.05760373884623,1100,jindal-steel-power,Mid Cap,Jan-2025
587,7648,1,APL Apollo Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,9673.0,9072.0,6.624779541446209,1.4601877150000002,1.4227163999999999,2.6337866773729632,4.59734907210872,1100,apl-apollo-tubes,Mid Cap,Jan-2025
19275,7232,1,NMDC Ltd.,Mining,Mining,Domestic Equities,184611.0,172982.0,6.722664785931484,1.22027871,1.140297344,7.014079829339679,3.84200410502189,1100,nmdc,Mid Cap,Jan-2025
133630,5815,1,Jindal Stainless Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,17427.0,16339.0,6.658914254238326,1.13850591,1.14242288,-0.3428651569023265,3.58454535342314,1100,jindal-stainless,Mid Cap,Jan-2025
133439,5473,1,National Aluminium Company Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,47900.0,44885.0,6.717166091121755,0.9687296000000001,0.9502154500000001,1.9484160144944003,3.05001068145835,1100,national-aluminium-company,Mid Cap,Jan-2025
