CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051.0,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,16162.0,15798.0,2.3040891252057225,3.1433,3.0411,3.3606260892440134,7.51257752655919,1100,hdfc-bank,Large Cap
171888,8748.0,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,14995.0,14658.0,2.2990858234411244,2.168,2.0917,3.6477506334560523,5.18158243806838,1100,icici-bank,Large Cap
171531,4897.0,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,14394.0,14070.0,2.302771855010661,2.0452,1.9768000000000001,3.460137596114935,4.88808690144716,1100,reliance-industries,Large Cap
171889,4926.0,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,7648.0,7475.0,2.3143812709030103,1.1952,1.1213,6.590564523321146,2.85656242157718,1100,infosys,Large Cap
133593,6508.0,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,5699.0,5571.0,2.297612636869503,1.0578,1.0387,1.838837007798206,2.5281724644782,1100,bharti-airtel,Large Cap
152372,4964.0,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,2494.0,2437.0,2.3389413212966765,0.9166,0.8142,12.576762466224508,2.1907003979398,1100,larsen-toubro,Large Cap
152408,5535.0,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,19776.0,19331.0,2.3020019657544877,0.8267,0.8231,0.4373709148341628,1.97583680883355,1100,itc,Large Cap
171915,6797.0,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,2169.0,2121.0,2.263083451202263,0.7512000000000001,0.7325,2.552901023890791,1.7953896344451,1100,tata-consultancy-services,Large Cap
171400,5889.0,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,6071.0,5934.0,2.3087293562521065,0.7238,0.7031999999999999,2.929465301478957,1.72990284532929,1100,axis-bank,Large Cap
133350,8843.0,1,State Bank Of India,Bank,Banking,Domestic Equities,8162.0,7978.0,2.306342441714716,0.6629999999999999,0.6292,5.371900826446273,1.58458909429859,1100,state-bank-of-india,Large Cap
171492,5886.0,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,3123.0,3053.0,2.2928267278087127,0.6479,0.6740999999999999,-3.886663699747798,1.5484996594209,1100,kotak-mahindra-bank,Large Cap
171656,5311.0,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1882.0,1840.0,2.282608695652174,0.5602,0.5389,3.952495824828359,1.33889413367431,1100,mahindra-mahindra,Large Cap
171484,6114.0,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,555.0,543.0,2.209944751381215,0.5095000000000001,0.4689,8.65856259330348,1.21771967352207,1100,bajaj-finance,Large Cap
171717,5016.0,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1885.0,1843.0,2.278893109061313,0.44270000000000004,0.4316,2.5718257645968645,1.05806574969228,1100,hindustan-unilever,Large Cap
420,5071.0,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,2290.0,2239.0,2.2778025904421617,0.38420000000000004,0.4103,-6.361199122593223,0.918249064901232,1100,sun-pharmaceutical-industries,Large Cap
171528,8219.0,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,2253.0,2202.0,2.316076294277929,0.36869999999999997,0.3452,6.8076477404403075,0.881203618503603,1100,hcl-technologies,Large Cap
156921,98676.0,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,14760.0,14427.0,2.30817217716781,0.3517,0.33549999999999996,4.828614008941892,0.840573128906203,1100,eternal,Large Cap
133625,7239.0,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,278.0,272.0,2.2058823529411766,0.3425,0.33340000000000003,2.729454109178154,0.818584863947611,1100,maruti-suzuki-india,Large Cap
133664,7760.0,1,NTPC Ltd.,Power,Power,Domestic Equities,10074.0,9847.0,2.305270640804306,0.33640000000000003,0.34909999999999997,-3.637926095674581,0.804005688268544,1100,ntpc,Large Cap
152378,5539.0,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4433.0,4333.0,2.3078698361412417,0.319,0.2792,14.255014326647553,0.762419187151205,1100,tata-motors,Large Cap
171461,6050.0,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,876.0,856.0,2.336448598130841,0.3114,0.2893,7.6391289319046,0.744254968272368,1100,titan-company,Large Cap
133309,5981.0,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,7609.0,7437.0,2.3127605217157456,0.2926,0.2336,25.256849315068504,0.699322426835243,1100,bharat-electronics,Large Cap
152362,5226.0,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,17568.0,17172.0,2.3060796645702304,0.2829,0.24050000000000002,17.629937629937622,0.676139147476727,1100,tata-steel,Large Cap
517,7825.0,1,Power Grid Corporation Of India Ltd.,Power,Power,Domestic Equities,9629.0,9412.0,2.3055673608159797,0.27899999999999997,0.2894,-3.593642017968219,0.666818035157324,1100,power-grid-corporation-of-india,Large Cap
133654,6850.0,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,247.0,241.0,2.4896265560165975,0.27690000000000003,0.2805,-1.2834224598930462,0.661798974677645,1100,ultratech-cement,Large Cap
152205,8185.0,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,472.0,461.0,2.386117136659436,0.2664,0.23850000000000002,11.698113207547166,0.636703672279251,1100,trent,Large Cap
171708,8443.0,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,1155.0,1129.0,2.3029229406554474,0.233,0.22030000000000002,5.764866091693143,0.55687671036436,1100,bajaj-finserv,Large Cap
76200,82667.0,1,BSE Ltd.,Finance,Finance,Domestic Equities,865.0,281.0,207.82918149466192,0.23129999999999998,0.1787,29.434806939003906,0.55281366140462,1100,bse,Mid Cap
539,7794.0,1,Adani Ports and Special Economic Zone Ltd.,Logistics,Logistics,Domestic Equities,1567.0,1532.0,2.2845953002610964,0.2245,0.1864,20.439914163090123,0.53656146556566,1100,adani-ports-and-special-economic-zone,Large Cap
96486,15829.0,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,416.0,407.0,2.211302211302211,0.2217,0.2137,3.7435657463734238,0.529869384926088,1100,interglobe-aviation,Large Cap
171658,4978.0,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,961.0,939.0,2.3429179978700745,0.21710000000000002,0.2278,-4.69710272168569,0.518875252446792,1100,asian-paints,Large Cap
171369,7531.0,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,1347.0,1317.0,2.277904328018223,0.212,0.1979,7.124810510358769,0.506686105567572,1100,tech-mahindra,Large Cap
152245,5078.0,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,815.0,797.0,2.258469259723965,0.2075,0.2182,-4.903758020164988,0.49593097596826,1100,grasim-industries,Large Cap
707,8442.0,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,235.0,230.0,2.1739130434782608,0.2023,0.18469999999999998,9.528965890633469,0.483502826209056,1100,bajaj-auto,Large Cap
134703,87891.0,1,Hindustan Aeronautics Ltd.,Capital Goods,Capital Goods,Domestic Equities,403.0,394.0,2.284263959390863,0.2005,0.17679999999999998,13.404977375565617,0.479200774369331,1100,hindustan-aeronautics,Large Cap
133434,4968.0,1,JSW Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,2015.0,1970.0,2.284263959390863,0.2002,0.2029,-1.330704780680136,0.478483765729377,1100,jsw-steel,Large Cap
2469,110949.0,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,6959.0,6802.0,2.3081446633343132,0.19949999999999998,0.1771,12.648221343873509,0.476810745569484,1100,jio-financial-services,Large Cap
152256,5774.0,1,Oil & Natural Gas Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,8252.0,8066.0,2.305975700471113,0.19760000000000003,0.1972,0.2028397565923058,0.472269690849775,1100,oil-natural-gas-corporation,Large Cap
152343,5043.0,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,3076.0,3006.0,2.3286759813705924,0.1949,0.18780000000000002,3.780617678381242,0.465816613090188,1100,hindalco-industries,Large Cap
115643,7007.0,1,Coal India Ltd.,Mining,Mining,Domestic Equities,4825.0,4716.0,2.31128074639525,0.1917,0.18170000000000003,5.5035773252614195,0.458168520930677,1100,coal-india,Large Cap
56728,7719.0,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,2973.0,2906.0,2.3055746730901583,0.19010000000000002,0.1778,6.917885264341959,0.454344474850922,1100,shriram-finance,Large Cap
152400,5891.0,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,761.0,744.0,2.28494623655914,0.18239999999999998,0.1777,2.6449071468767524,0.4359412530921,1100,nestle-india,Large Cap
152473,5056.0,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,25216.0,24648.0,2.3044466082440764,0.1802,0.139,29.64028776978417,0.430683189732436,1100,suzlon-energy,Mid Cap
171462,6372.0,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,269.0,263.0,2.2813688212927756,0.1779,0.16010000000000002,11.118051217988741,0.425186123492788,1100,divi's-laboratories,Large Cap
77009,96064.0,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,1578.0,1543.0,2.268308489954634,0.1776,0.16949999999999998,4.778761061946916,0.424469114852834,1100,max-healthcare-institute,Mid Cap
58168,86912.0,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,2274.0,2223.0,2.2941970310391366,0.17670000000000002,0.1653,6.896551724137934,0.422318088932972,1100,hdfc-life-insurance-company,Large Cap
133330,5128.0,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,1195.0,1168.0,2.3116438356164384,0.1752,0.18109999999999998,-3.257868580894533,0.418733045733201,1100,cipla,Large Cap
152907,86648.0,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,952.0,930.0,2.3655913978494625,0.1725,0.1642,5.0548112058465176,0.412279967973614,1100,sbi-life-insurance-company,Large Cap
171585,5257.0,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1296.0,1266.0,2.3696682464454977,0.16219999999999998,0.1499,8.205470313542353,0.38766267133519,1100,dr-reddy's-laboratories,Large Cap
152242,5741.0,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,3605.0,3523.0,2.327561737155833,0.157,0.1477,6.296547054840892,0.375234521575985,1100,vedanta,Large Cap
171572,5156.0,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,291.0,285.0,2.1052631578947367,0.1552,0.15869999999999998,-2.205419029615625,0.37093246973626,1100,eicher-motors,Large Cap
152401,5684.0,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,1383.0,1352.0,2.2928994082840237,0.153,0.1576,-2.918781725888319,0.365674406376597,1100,tata-consumer-products,Large Cap
171511,5199.0,1,Wipro Ltd.,IT,Information Technology,Domestic Equities,6034.0,5898.0,2.305866395388267,0.1507,0.1424,5.828651685393258,0.360177340136949,1100,wipro,Large Cap
38020,6672.0,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,214.0,209.0,2.3923444976076556,0.1472,0.1458,0.9602194787380012,0.351812239337484,1100,apollo-hospitals-enterprise,Mid Cap
152406,5107.0,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,1865.0,1823.0,2.303894679100384,0.1436,0.1436,0.0,0.343208135658035,1100,the-indian-hotels-company,Mid Cap
171514,5399.0,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,894.0,874.0,2.2883295194508007,0.1431,0.1304,9.739263803680991,0.342013121258111,1100,cholamandalam-investment-and-finance-company,Large Cap
152316,5915.0,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,3567.0,3487.0,2.2942357327215372,0.1401,0.134,4.552238805970145,0.33484303485857,1100,tata-power-company,Large Cap
75697,6614.0,1,Adani Enterprises Ltd.,Trading,Trading,Domestic Equities,553.0,540.0,2.4074074074074074,0.1394,0.1243,12.148028962188253,0.333170014698677,1100,adani-enterprises,Large Cap
133507,6902.0,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,498.0,487.0,2.2587268993839835,0.13849999999999998,0.1301,6.456571867794003,0.331018988778815,1100,tvs-motor-company,Large Cap
171628,5788.0,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,250.0,244.0,2.459016393442623,0.1378,0.13269999999999998,3.843255463451393,0.329345968618922,1100,britannia-industries,Large Cap
38605,83193.0,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,2850.0,2785.0,2.333931777378815,0.1356,0.14550000000000002,-6.804123711340207,0.324087905259258,1100,varun-beverages,Large Cap
152376,5012.0,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,4117.0,4025.0,2.2857142857142856,0.1311,0.12480000000000001,5.0480769230769145,0.313332775659947,1100,bharat-petroleum-corporation,Large Cap
95548,5980.0,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,226.0,221.0,2.262443438914027,0.1274,0.1176,8.333333333333337,0.304489669100513,1100,persistent-systems,Mid Cap
152604,5456.0,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,3093.0,3023.0,2.3155805491233874,0.12560000000000002,0.1232,1.9480519480519498,0.300187617260788,1100,power-finance-corporation,Large Cap
171402,5320.0,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1017.0,994.0,2.3138832997987926,0.1252,0.1253,-0.07980845969672616,0.299231605740849,1100,godrej-consumer-products,Large Cap
171619,82976.0,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,312.0,305.0,2.2950819672131146,0.1249,0.1281,-2.498048399687746,0.298514597100895,1100,avenue-supermarts,Large Cap
157113,99763.0,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,703.0,687.0,2.3289665211062593,0.12380000000000001,0.1117,10.83258728737691,0.295885565421063,1100,pb-fintech,Mid Cap
171335,5389.0,1,Bajaj Holdings & Investment Ltd.,Finance,Finance,Domestic Equities,91.0,89.0,2.247191011235955,0.12210000000000001,0.1066,14.540337711069427,0.291822516461323,1100,bajaj-holdings-investment,Large Cap
133657,7260.0,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,141.0,138.0,2.1739130434782608,0.1206,0.1008,19.64285714285715,0.288237473261553,1100,coforge,Mid Cap
57445,86554.0,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,81.0,80.0,1.25,0.11900000000000001,0.1316,-9.574468085106382,0.284413427181798,1100,dixon-technologies-india,Mid Cap
171383,5551.0,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,275.0,269.0,2.2304832713754648,0.1185,0.10300000000000001,15.048543689320375,0.283218412781874,1100,hero-motocorp,Large Cap
152572,7512.0,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,824.0,161.0,411.80124223602485,0.1176,0.11380000000000001,3.3391915641476184,0.281067386862012,1100,info-edge-india,Large Cap
