CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,5696.0,3422.0,66.45236703682058,5.0945,2.2592,125.50017705382434,4.84883383381002,1100,multi-commodity-exchange-of-india,Mid Cap,Jun-2025
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,26429.0,15012.0,76.05249134026111,4.3803,2.2016999999999998,98.95081073715765,4.16907387226185,1100,prestige-estates-projects,Mid Cap,Jun-2025
220003,112628,1,Aegis Vopak Terminals Ltd.,Miscellaneous,Miscellaneous,Domestic Equities,174250.0,170226.0,2.363916205515021,4.2756,4.000299999999999,6.881983851211166,4.06942269895733,1100,aegis-vopak-terminals,Small Cap,Jun-2025
29,5525,1,Shaily Engineering Plastics Ltd.,Plastic Products,Plastic Products,Domestic Equities,25567.0,12011.0,112.86320872533511,4.2531,2.4224,75.57381109643329,4.04800769036753,1100,shaily-engineering-plastics,Small Cap,Jun-2025
509,8487,1,K.P.R. Mill Ltd.,Textile,Textile,Domestic Equities,37179.0,,,4.2421,,,4.03753813061252,1100,kpr-mill,Mid Cap,Jun-2025
77359,100627,1,Waaree Energies Ltd.,Capital Goods,Capital Goods,Domestic Equities,13349.0,7957.0,67.76423275103683,4.190799999999999,2.3703,76.80462388727165,3.98871191102778,1100,waaree-energies,Mid Cap,Jun-2025
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,20436.0,11847.0,72.49936692833629,4.0837,2.0562,98.60422137924326,3.88677647014034,1100,affle-3i,Small Cap,Jun-2025
222112,112394,1,Oswal Pumps Ltd.,Capital Goods,Capital Goods,Domestic Equities,55483.0,,,3.9076999999999997,,,3.71926351406014,1100,oswal-pumps,Small Cap,Jun-2025
224124,112798,1,Onesource Specialty Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,17336.0,13139.0,31.943070248877387,3.8101,2.5253,50.87712351007801,3.6263699656884,1100,onesource-specialty-pharma,Small Cap,Jun-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,140930.0,81400.0,73.13267813267814,3.7226999999999997,1.9398,91.9115372718837,3.54318455454403,1100,eternal,Large Cap,Jun-2025
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,9614.0,5754.0,67.08376781369482,3.6462,2.0772999999999997,75.52592307322006,3.47037352533871,1100,kei-industries,Mid Cap,Jun-2025
