CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,3817.0,4029.0,-5.261851576073467,3.502,3.4793000000000003,0.6524300865116495,16.9131354499705,1100,bajaj-finance,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,7961.0,8403.0,-5.260026181125788,1.6048,1.6406,-2.1821284895769915,7.75048537124863,1100,bajaj-finserv,Large Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,48461.0,51152.0,-5.260791366906474,1.3891,1.3316999999999999,4.310280093114072,6.70874827343063,1100,jio-financial-services,Large Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,20410.0,21543.0,-5.25924894397252,1.3053,1.3161,-0.8206063369044999,6.30403075466777,1100,shriram-finance,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,15788.0,16665.0,-5.262526252625262,1.2270999999999999,1.2397,-1.0163749294184117,5.92635879801795,1100,hdfc-life-insurance-company,Large Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,6614.0,6980.0,-5.243553008595988,1.199,1.2297,-2.4965438724892195,5.79064803098649,1100,sbi-life-insurance-company,Large Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,6165.0,6508.0,-5.2704363859864785,0.9873000000000001,0.971,1.678681771369732,4.76822919182065,1100,cholamandalam-investment-and-finance-company,Large Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,21298.0,22480.0,-5.258007117437723,0.8643000000000001,0.9148999999999999,-5.530659088424952,4.17419273826657,1100,power-finance-corporation,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,4849.0,5118.0,-5.255959359124658,0.8538,0.8309000000000001,2.7560476591647514,4.12348230930464,1100,pb-fintech,Mid Cap
171335,5389,1,Bajaj Holdings & Investment Ltd.,Finance,Finance,Domestic Equities,634.0,669.0,-5.23168908819133,0.8508,0.7988,6.509764646970459,4.10899361531552,1100,bajaj-holdings-investment,Large Cap
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,18153.0,19162.0,-5.265629892495564,0.7315999999999999,0.8078,-9.43302797722209,3.533309507481,1100,rec,Large Cap
