CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171687,7000,1,Zensar Technologies Ltd.,IT,Information Technology,Domestic Equities,746258.0,597663.0,24.862673446407086,64.92439999999999,44.9233,44.52277548621761,8.72875719498913,1100,zensar-technologies,Small Cap,Jan-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,2680680.0,2423169.0,10.627034267935914,59.0688,67.3762,-12.329873159958558,7.94150139237904,1100,eternal,Large Cap,Jan-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,334939.0,342570.0,-2.2275739264967744,57.8373,72.2429,-19.940506264283417,7.77593244625664,1100,pb-fintech,Mid Cap,Jan-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,66627.0,68430.0,-2.6348092941692243,51.460699999999996,59.3784,-13.33431011950474,6.91863082884366,1100,info-edge-india,Large Cap,Jan-2025
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,315733.0,296998.0,6.308123287025502,47.611000000000004,52.9622,-10.103809887051517,6.40105813547183,1100,affle-3i,Small Cap,Jan-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,272346.0,267635.0,1.7602331533618547,45.603,45.663900000000005,-0.1333657440560299,6.13109269185528,1100,tech-mahindra,Large Cap,Jan-2025
133561,8133,1,Birlasoft Ltd.,IT,Information Technology,Domestic Equities,732557.0,732557.0,0.0,39.1625,41.0488,-4.595262224474287,5.26520004264594,1100,birlasoft,Small Cap,Jan-2025
192044,99995,1,RateGain Travel Technologies Ltd.,IT,Information Technology,Domestic Equities,548806.0,548806.0,0.0,38.3698,39.7967,-3.5854731673731752,5.15862553709074,1100,rategain-travel-technologies,Small Cap,Jan-2025
192488,100187,1,CE Info Systems Ltd.,IT,Information Technology,Domestic Equities,204242.0,204242.0,0.0,34.7497,32.453,7.077003666841265,4.67192140241132,1100,ce-info-systems,Small Cap,Jan-2025
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,108055.0,102652.0,5.263414253984335,30.9896,29.2271,6.030362232311793,4.16639497584629,1100,mphasis,Mid Cap,Jan-2025
133437,6005,1,Sonata Software Ltd.,IT,Information Technology,Domestic Equities,580958.0,437345.0,32.83746241525569,30.7327,26.214499999999997,17.235499437334305,4.13185607023619,1100,sonata-software,Small Cap,Jan-2025
171385,89248,1,Indiamart Intermesh Ltd.,Retailing,Information Technology,Domestic Equities,143971.0,143971.0,0.0,29.7502,32.3762,-8.110896275659279,3.99976391468178,1100,indiamart-intermesh,Small Cap,Jan-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,34334.0,35966.0,-4.5376188622588,28.3731,34.7538,-18.35971893720975,3.81461978499834,1100,coforge,Mid Cap,Jan-2025
38741,90008,1,Angel One Ltd.,Finance,Finance,Domestic Equities,100062.0,23881.0,319.0025543318956,23.4755,7.0011,235.31159389238834,3.15616223686268,1100,angel-one,Small Cap,Jan-2025
39589,15972,1,TeamLease Services Ltd.,Business Services,Other,Domestic Equities,80157.0,61598.0,30.129224974836845,19.575499999999998,18.0544,8.425093052109176,2.63182696290624,1100,teamlease-services,Small Cap,Jan-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,29571.0,29571.0,0.0,17.839000000000002,19.0961,-6.583019569440871,2.39836332105358,1100,persistent-systems,Mid Cap,Jan-2025
76268,106949,1,Indegene Ltd.,Healthcare,Healthcare,Domestic Equities,286744.0,,,17.195999999999998,,,2.31191522332179,1100,indegene,Small Cap,Jan-2025
101649,14929,1,Intellect Design Arena Ltd.,IT,Information Technology,Domestic Equities,190880.0,365880.0,-47.82988958128348,15.4804,34.9763,-55.74031558512479,2.08126148075777,1100,intellect-design-arena,Small Cap,Jan-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,77629.0,157629.0,-50.75208242138185,13.3945,30.2238,-55.682276881133404,1.8008227761563,1100,hcl-technologies,Large Cap,Jan-2025
204607,107645,1,Zaggle Prepaid Ocean Services Ltd.,IT,Information Technology,Domestic Equities,286697.0,286697.0,0.0,12.672,14.886700000000001,-14.877037892884253,1.70368630553232,1100,zaggle-prepaid-ocean-services,Small Cap,Jan-2025
214823,111795,1,Unicommerce eSolutions Ltd.,IT,Information Technology,Domestic Equities,742289.0,742289.0,0.0,10.718699999999998,12.4979,-14.235991646596634,1.44107500024536,1100,unicommerce-esolutions,Small Cap,Jan-2025
219753,112169,1,Sagility India Ltd.,Business Services,Other,Domestic Equities,1877288.0,3528081.0,-46.79011054451414,9.3132,17.7992,-47.6763000584296,1.25211263420798,1100,sagility-india,Small Cap,Jan-2025
