CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,93059.0,94943.0,-1.9843485038391455,79.5701,69.3559,14.727225801986565,10.0025053371979,1100,coforge,Mid Cap
171687,7000,1,Zensar Technologies Ltd.,IT,Information Technology,Domestic Equities,805946.0,830295.0,-2.9325721580883903,67.1393,59.735600000000005,12.394116741105805,8.43986882743305,1100,zensar-technologies,Small Cap
114402,5275,1,Hexaware Technologies Ltd.,IT,Information Technology,Domestic Equities,700135.0,696082.0,0.582258986728575,60.0366,48.6909,23.301479331866933,7.5470108989082,1100,hexaware-technologies,
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,332287.0,332287.0,0.0,58.5357,54.0066,8.38619724255924,7.358337512038,1100,pb-fintech,Mid Cap
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,314231.0,318745.0,-1.4161790773188598,54.5379,50.489200000000004,8.018942664965971,6.85578673181968,1100,affle-3i,Small Cap
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,82013.0,84802.0,-3.2888375274168062,46.2389,45.127399999999994,2.463026897184428,5.81254571800412,1100,persistent-systems,Mid Cap
133437,6005,1,Sonata Software Ltd.,IT,Information Technology,Domestic Equities,1059705.0,851180.0,24.49834347611551,43.3472,35.8815,20.806543762105825,5.44903926666656,1100,sonata-software,Small Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,1726887.0,1656860.0,4.226488659271151,41.153400000000005,38.5253,6.82175090135573,5.17326361464721,1100,eternal,Large Cap
192488,100187,1,CE Info Systems Ltd.,IT,Information Technology,Domestic Equities,204646.0,204646.0,0.0,39.6236,36.7319,7.872448743462769,4.98095730027981,1100,ce-info-systems,Small Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,262666.0,51453.0,410.4969583892096,37.495599999999996,36.3747,3.0815374422332047,4.71345315792537,1100,info-edge-india,Large Cap
171385,89248,1,Indiamart Intermesh Ltd.,Retailing,Information Technology,Domestic Equities,143971.0,143971.0,0.0,33.581199999999995,33.2299,1.0571804308770147,4.22138632764707,1100,indiamart-intermesh,Small Cap
133561,8133,1,Birlasoft Ltd.,IT,Information Technology,Domestic Equities,826405.0,826405.0,0.0,33.0975,32.2463,2.6396826922778702,4.16058193213163,1100,birlasoft,Small Cap
192044,99995,1,RateGain Travel Technologies Ltd.,IT,Information Technology,Domestic Equities,603006.0,570084.0,5.774938430126086,26.7614,24.7302,8.213439438419417,3.36409086240796,1100,rategain-travel-technologies,Small Cap
76268,106949,1,Indegene Ltd.,Healthcare,Healthcare,Domestic Equities,435387.0,435387.0,0.0,26.147199999999998,23.8483,9.639680815823345,3.28688172507991,1100,indegene,Small Cap
38741,90008,1,Angel One Ltd.,Finance,Finance,Domestic Equities,85783.0,100062.0,-14.270152505446623,26.040300000000002,23.1373,12.546839951074679,3.27344366454528,1100,angel-one,Small Cap
101649,14929,1,Intellect Design Arena Ltd.,IT,Information Technology,Domestic Equities,166528.0,199546.0,-16.546560692772594,19.5262,15.7552,23.93495480857113,2.45457677840286,1100,intellect-design-arena,Small Cap
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,73092.0,73092.0,0.0,18.7028,18.046400000000002,3.637290539941477,2.35106977144109,1100,mphasis,Mid Cap
39589,15972,1,TeamLease Services Ltd.,Business Services,Other,Domestic Equities,88699.0,88699.0,0.0,17.3469,16.7703,3.4382211409456054,2.1806238754738,1100,teamlease-services,Small Cap
204607,107645,1,Zaggle Prepaid Ocean Services Ltd.,IT,Information Technology,Domestic Equities,331000.0,306515.0,7.988189811265355,14.3406,9.856,45.50121753246753,1.80271142098125,1100,zaggle-prepaid-ocean-services,Small Cap
214823,111795,1,Unicommerce eSolutions Ltd.,IT,Information Technology,Domestic Equities,1067301.0,846885.0,26.026674223773007,14.298599999999999,10.2498,39.50125856114264,1.7974317339611,1100,unicommerce-esolutions,Small Cap
