CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,1440000.0,1430000.0,0.6993006993006993,1391.4648000000002,1242.0766,12.027293646784752,10.5717759157745,1100,coforge,Mid Cap,Dec-2024
171444,98250,1,Kalyan Jewellers India Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,17250000.0,17250000.0,0.0,1321.7813,1249.6763,5.769894171794728,10.0423494099607,1100,kalyan-jewellers-india,Mid Cap,Dec-2024
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,1800000.0,1800000.0,0.0,1309.0230000000001,1313.622,-0.35010071390400643,9.94541710619978,1100,polycab-india,Large Cap,Dec-2024
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,1825000.0,1803916.0,1.1687905645273948,1300.0114,1225.8331,6.051256080456632,9.87695068445301,1100,trent,Large Cap,Dec-2024
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,2000000.0,2000000.0,0.0,1291.54,1181.13,9.347827927493164,9.81258847960751,1100,persistent-systems,Mid Cap,Dec-2024
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,3250000.0,3450000.0,-5.797101449275362,977.3075,1023.3045,-4.494947496077655,7.42517948769223,1100,mahindra-mahindra,Large Cap,Dec-2024
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,32500000.0,32500000.0,0.0,970.775,1067.1375,-9.029998477234658,7.37554824573066,1100,jio-financial-services,Large Cap,Dec-2024
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,4500000.0,4500000.0,0.0,533.6775,555.2775,-3.8899469184326754,4.05466163519964,1100,cholamandalam-investment-and-finance-company,Large Cap,Dec-2024
96614,6762,1,PG Electroplast Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,5000000.0,,,490.3,,,3.72509727267569,1100,pg-electroplast,Small Cap,Dec-2024
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,3000000.0,3000000.0,0.0,476.325,488.145,-2.4214116707125957,3.6189209839022,1100,bharti-airtel,Large Cap,Dec-2024
