CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,2900.0,1800.0,61.111111111111114,2.5938,1.1884000000000001,118.25984516997643,6.47351121471302,1100,multi-commodity-exchange-of-india,Mid Cap,Jun-2025
133630,5815,1,Jindal Stainless Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,29000.0,18500.0,56.75675675675676,2.0448,1.1928,71.42857142857142,5.10333708529771,1100,jindal-stainless,Mid Cap,Jun-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,15600.0,9600.0,62.5,1.9906,1.0802,84.2806887613405,4.96806670676527,1100,max-healthcare-institute,Large Cap,Jun-2025
154120,5531,1,Triveni Turbine Ltd.,Capital Goods,Capital Goods,Domestic Equities,32000.0,20300.0,57.635467980295566,1.9598,1.1799,66.0988219340622,4.89119719276528,1100,triveni-turbine,Small Cap,Jun-2025
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,5300.0,4100.0,29.268292682926827,1.945,1.5068000000000001,29.081497212636044,4.85425989383022,1100,larsen-toubro,Large Cap,Jun-2025
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,32200.0,21700.0,48.38709677419355,1.9193,1.2137,58.13627749855813,4.79011877338218,1100,aster-dm-healthcare,Small Cap,Jun-2025
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,8000.0,5300.0,50.943396226415096,1.8888999999999998,1.1879,59.01170132166005,4.71424756475882,1100,ge-vernova-td-india,Mid Cap,Jun-2025
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,3000.0,2000.0,50.0,1.7930000000000001,1.0659999999999998,68.19887429643529,4.47490385071341,1100,interglobe-aviation,Large Cap,Jun-2025
152203,8715,1,KSB Ltd.,Capital Goods,Capital Goods,Domestic Equities,20700.0,11700.0,76.92307692307693,1.6934,0.9901000000000001,71.03322896677102,4.22632581193424,1100,ksb,Small Cap,Jun-2025
616,7870,1,Transformers & Rectifiers (India) Ltd.,Capital Goods,Capital Goods,Domestic Equities,34600.0,22600.0,53.09734513274337,1.6921000000000002,1.1787999999999998,43.544282321004424,4.22308131946022,1100,transformers-rectifiers-india,Small Cap,Jun-2025
