CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,33815975.0,30773450.0,9.886850515623046,774.3182,757.9500999999999,2.1595221110202534,5.53270695054786,1100,eternal,Large Cap,Mar-2026
77293,6578,1,Muthoot Finance Ltd.,Finance,Finance,Domestic Equities,2430984.0,1984744.0,22.48350416980729,768.2153,665.5839,15.41975399344846,5.48910012683056,1100,muthoot-finance,Large Cap,Mar-2026
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,3065908.0,3065908.0,0.0,732.5681,749.0933,-2.2060269395014003,5.23439151839598,1100,multi-commodity-exchange-of-india,Mid Cap,Mar-2026
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,10680208.0,9967790.0,7.147201134855369,699.607,722.8641,-3.217354410047485,4.99887580009347,1100,cg-power-and-industrial-solutions,Large Cap,Mar-2026
77359,100627,1,Waaree Energies Ltd.,Capital Goods,Capital Goods,Domestic Equities,2140411.0,2140411.0,0.0,665.625,579.9016,14.782404463102008,4.75606548310297,1100,waaree-energies,Mid Cap,Mar-2026
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,7374978.0,6965744.0,5.874950328349707,643.1718,751.8824000000001,-14.458457865219355,4.59563147070078,1100,shriram-finance,Large Cap,Mar-2026
98869,15650,1,PTC Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,403730.0,365091.0,10.583388798956971,604.9894,654.8272000000001,-7.6108322928552745,4.32280819227519,1100,ptc-industries,Small Cap,Mar-2026
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,15095998.0,15095998.0,0.0,604.8212,671.319,-9.905544160078877,4.32160635908945,1100,bharat-electronics,Large Cap,Mar-2026
133445,6416,1,Apar Industries Ltd.,Capital Goods,Capital Goods,Domestic Equities,600000.0,643680.0,-6.785980611483968,592.86,719.6664,-17.62016400932432,4.23614044291068,1100,apar-industries,Mid Cap,Mar-2026
233245,113399,1,Billionbrains Garage Ventures Ltd.,IT,Finance,Domestic Equities,39000000.0,38616966.0,0.9918800974680404,585.4680000000001,631.3488,-7.267108134204095,4.18332266104988,1100,billionbrains-garage-ventures,Mid Cap,Mar-2026
217845,112026,1,Premier Energies Ltd.,Trading,Trading,Domestic Equities,6024844.0,5442399.0,10.701990059898217,537.2052,397.8394,35.030668154034004,3.83847227652721,1100,premier-energies,Mid Cap,Mar-2026
224124,112798,1,Onesource Specialty Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,3628016.0,3324706.0,9.122911920632983,534.5156,447.77139999999997,19.372429771084082,3.81925437797569,1100,onesource-specialty-pharma,Small Cap,Mar-2026
123367,112361,1,Ather Energy Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6425415.0,6425415.0,0.0,484.4763,456.7828,6.062728281362605,3.4617104342707,1100,ather-energy,Small Cap,Mar-2026
152795,99590,1,One97 Communications Ltd.,IT,Information Technology,Domestic Equities,5000000.0,5198790.0,-3.823774378268789,479.5,570.9830999999999,-16.02203287627952,3.42615346350854,1100,one97-communications,Mid Cap,Mar-2026
96732,87407,1,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,713717.0,709475.0,0.5979069029916487,467.4133,565.7354,-17.379520532036707,3.33979081686122,1100,amber-enterprises-india,Small Cap,Mar-2026
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1379025.0,1379025.0,0.0,463.8764,533.6413,-13.073369696086113,3.31451873722601,1100,tvs-motor-company,Large Cap,Mar-2026
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,42158953.0,39804729.0,5.914432930820858,443.00629999999995,530.7563,-16.533011478149202,3.16539639020042,1100,samvardhana-motherson-international,Large Cap,Mar-2026
173672,92657,1,Gujarat Fluorochemicals Ltd.,Chemicals,Chemicals,Domestic Equities,1400347.0,1404152.0,-0.27098205892239585,424.0671,489.10830000000004,-13.2979137749247,3.03007083091767,1100,gujarat-fluorochemicals,Mid Cap,Mar-2026
171668,8857,1,Zen Technologies Ltd.,Capital Goods,Capital Goods,Domestic Equities,3272480.0,2816533.0,16.188235678403203,418.55019999999996,383.02029999999996,9.27624462724299,2.99065113114117,1100,zen-technologies,Small Cap,Mar-2026
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,95059020.0,72507951.0,31.10151188798591,376.0535,309.3914,21.546203288132766,2.68700104585925,1100,suzlon-energy,Mid Cap,Mar-2026
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,4593177.0,4437876.0,3.499444328773494,368.16610000000003,441.9681,-16.6984902304035,2.63064350085804,1100,bajaj-finance,Large Cap,Mar-2026
153260,8051,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,3121074.0,3246951.0,-3.876775473359469,351.589,452.3003,-22.266467654343803,2.51219576659333,1100,prestige-estates-projects,Mid Cap,Mar-2026
57781,87827,1,Bharat Dynamics Ltd.,Capital Goods,Capital Goods,Domestic Equities,3183607.0,3076486.0,3.4819271077456553,349.1143,389.23699999999997,-10.30803854720902,2.49451338499554,1100,bharat-dynamics,Mid Cap,Mar-2026
227906,112970,1,Jain Resource Recycling Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,6871722.0,730469.0,840.7273956868806,313.6941,28.89,985.8224299065421,2.24142675119331,1100,jain-resource-recycling,Small Cap,Mar-2026
487,8535,1,V2 Retail Ltd.,Retailing,Retailing,Domestic Equities,15325618.0,1474067.0,939.6825924466119,289.80740000000003,293.9584,-1.4121045698983208,2.07075000471409,1100,v2-retail,Small Cap,Mar-2026
