CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,37622.0,37184.0,1.1779259896729777,7.3171,7.1579,2.2241160116794134,13.1862685910871,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,34907.0,34501.0,1.176777484710588,5.0469,4.9233,2.510511242459329,9.09510310811079,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,33508.0,33118.0,1.1776073434386134,4.7612,4.6531,2.3231823945326777,8.58023834796352,1100,reliance-industries,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,17803.0,17597.0,1.1706540887651304,2.7821,2.6397000000000004,5.394552411258837,5.01366905567279,1100,infosys,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,13268.0,13115.0,1.166603126191384,2.4628,2.4453,0.7156586103954525,4.43825317217604,1100,bharti-airtel,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,5806.0,5739.0,1.1674507753964105,2.1338,1.9174,11.286116616251165,3.84535675604565,1100,larsen-toubro,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,46036.0,45501.0,1.175798334102547,1.9244999999999999,1.9374,-0.6658408175905959,3.46817371684781,1100,itc,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,5051.0,4992.0,1.1818910256410255,1.7494,1.7241,1.467432283510238,3.15262307105927,1100,tata-consultancy-services,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,14132.0,13967.0,1.1813560535548078,1.6847999999999999,1.6551,1.7944535073409456,3.03620632795281,1100,axis-bank,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,19000.0,18779.0,1.1768464774482135,1.5434,1.4809999999999999,4.213369345037144,2.78138701719039,1100,state-bank-of-india,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,7272.0,7188.0,1.1686143572621035,1.5087000000000002,1.5872,-4.9458165322580605,2.71885356539792,1100,kotak-mahindra-bank,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4382.0,4331.0,1.1775571461556222,1.3044,1.2685,2.8301143082380795,2.35068111003184,1100,mahindra-mahindra,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,1293.0,1279.0,1.09460516028147,1.187,1.1044,7.479174212241945,2.13911260166191,1100,bajaj-finance,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4389.0,4337.0,1.1989854738298362,1.0307,1.0158,1.4668241779877877,1.85744175108082,1100,hindustan-unilever,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,5332.0,5270.0,1.1764705882352942,0.8945000000000001,0.9656,-7.363297431648714,1.61199344750344,1100,sun-pharmaceutical-industries,Large Cap
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,5246.0,5184.0,1.1959876543209875,0.8586,0.8126000000000001,5.660841742554755,1.54729745559134,1100,hcl-technologies,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,34358.0,33960.0,1.171967020023557,0.8188,0.7896,3.6980749746707215,1.47557320829046,1100,eternal,Large Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,649.0,641.0,1.24804992199688,0.7995,0.7857,1.7563955708285732,1.44079235469983,1100,maruti-suzuki-india,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,23450.0,23179.0,1.169161741231287,0.7829999999999999,0.8218000000000001,-4.721343392552944,1.41105742805499,1100,ntpc,Large Cap
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,10321.0,10202.0,1.1664379533424818,0.7426,0.6573,12.977331507682946,1.3382519106943,1100,tata-motors,Large Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,2040.0,2015.0,1.240694789081886,0.7252,0.6809999999999999,6.490455212922177,1.30689507895975,1100,titan-company,Large Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,17712.0,17507.0,1.1709601873536302,0.6812,0.5499,23.877068557919625,1.22760194124018,1100,bharat-electronics,Large Cap
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,40895.0,40420.0,1.1751608114794656,0.6585,0.5661999999999999,16.301660190745316,1.18669389064395,1100,tata-steel,Large Cap
517,7825,1,Power Grid Corporation Of India Ltd.,Power,Power,Domestic Equities,22414.0,22155.0,1.169036334913112,0.6494,0.6812,-4.668232530827961,1.17029462807013,1100,power-grid-corporation-of-india,Large Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,575.0,569.0,1.054481546572935,0.6446,0.6624,-2.687198067632852,1.16164446759163,1100,ultratech-cement,Large Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,1099.0,1087.0,1.1039558417663293,0.6202000000000001,0.5623,10.296994486928696,1.1176728184926,1100,trent,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,2691.0,2660.0,1.1654135338345866,0.5428999999999999,0.5191,4.58485840878444,0.978369192453456,1100,bajaj-finserv,Large Cap
