CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,16359.0,14946.0,9.454034524287435,10.816600000000001,9.0976,18.89509321139642,6.04318829778259,1100,divi's-laboratories,Large Cap
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,39005.0,11881.0,228.29728137362176,10.4299,7.5550999999999995,38.05111778798428,5.82714065667979,1100,bse,Mid Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,32362.0,29572.0,9.434600297578791,9.6335,8.661,11.228495554785821,5.3821953725467,1100,mahindra-mahindra,Large Cap
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,56690.0,51804.0,9.431704115512316,8.9224,7.7861,14.593955895762962,4.98490683469255,1100,tech-mahindra,Large Cap
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,15057.0,13763.0,9.402019908450193,8.4891,7.324,15.90797378481704,4.74282397229316,1100,persistent-systems,Mid Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,352484.0,322125.0,9.424602250679085,8.4,7.4901,12.148035406736895,4.6930441822175,1100,eternal,Large Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,107048.0,97825.0,9.428060311781241,8.2411,7.7057,6.948103352064051,4.60426742977055,1100,the-indian-hotels-company,Mid Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,5339.0,4879.0,9.428161508505841,7.8441,8.026900000000001,-2.277342436058763,4.38246522258717,1100,dixon-technologies-india,Mid Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,13633.0,12460.0,9.414125200642054,7.6937999999999995,6.4449000000000005,19.37811292650002,4.29849325346964,1100,trent,Large Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,8410.0,7686.0,9.419724173822534,7.191,5.6146,28.076799772022937,4.01758103741976,1100,coforge,Mid Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,39041.0,35677.0,9.429043921854415,6.8775,5.7986,18.60621529334667,3.84242992419058,1100,pb-fintech,Mid Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,47183.0,8621.0,447.30309708850484,6.735399999999999,6.094600000000001,10.514225708003794,3.76303926010806,1100,info-edge-india,Large Cap
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,24851.0,22715.0,9.403477878054149,4.8651,4.7602,2.203688920633589,2.7181106251079,1100,lupin,Mid Cap
