CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,91314.0,79118.0,15.414949821785182,27.3015,23.7916,14.752685821886727,5.68202039046447,1100,mahindra-mahindra,Large Cap,Jan-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,159960.0,138592.0,15.41791734010621,26.784499999999998,23.6466,13.269983845457697,5.57442174050494,1100,tech-mahindra,Large Cap,Jan-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,46157.0,39993.0,15.412697222013852,25.745,24.390900000000002,5.551660660328231,5.35807977409695,1100,divi's-laboratories,Large Cap,Jan-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,42483.0,36810.0,15.41157294213529,25.6283,23.770799999999998,7.814209029565686,5.33379203241363,1100,persistent-systems,Mid Cap,Jan-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,302058.0,261706.0,15.41882876204596,23.0984,22.965999999999998,0.5765043978054618,4.80726625962326,1100,the-indian-hotels-company,Mid Cap,Jan-2025
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,15062.0,13052.0,15.399938706711616,22.5718,23.410500000000003,-3.582580466030215,4.6976696463376,1100,dixon-technologies-india,Mid Cap,Jan-2025
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,38466.0,33329.0,15.413003690479762,22.130300000000002,23.7414,-6.7860362067948685,4.6057841454534,1100,trent,Large Cap,Jan-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,994611.0,861737.0,15.419321672389605,21.9163,23.9606,-8.5319232406534,4.56124621297498,1100,eternal,Large Cap,Jan-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,26624.0,23070.0,15.40528825314261,20.5636,20.0184,2.723494385165658,4.27972069305185,1100,info-edge-india,Large Cap,Jan-2025
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,23728.0,20561.0,15.402947327464616,19.6085,19.868,-1.306120394604391,4.08094415421946,1100,coforge,Mid Cap,Jan-2025
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,36685.0,31786.0,15.412445730824892,19.4649,16.9273,14.991168113048154,4.05105795279936,1100,bse,Mid Cap,Jan-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,110160.0,95446.0,15.416046769901307,19.0224,20.1281,-5.493315315404829,3.95896433073536,1100,pb-fintech,Mid Cap,Jan-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,70120.0,60755.0,15.414369187721174,14.588099999999999,14.312100000000001,1.9284381746913388,3.03609258312308,1100,lupin,Mid Cap,Jan-2025
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,23346.0,20230.0,15.402867029164607,14.1788,13.2224,7.233180058083261,2.95090858422862,1100,siemens,Large Cap,Jan-2025
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,85649.0,74209.0,15.415919901898691,12.1964,12.0623,1.1117282773600459,2.53832915738186,1100,united-spirits,Large Cap,Jan-2025
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,163663.0,141801.0,15.417380695481697,10.4777,10.2075,2.6470732304677913,2.18063128564986,1100,fortis-healthcare,Mid Cap,Jan-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,17879.0,15493.0,15.400503453172401,10.2499,9.6585,6.12310400165657,2.13322128089013,1100,multi-commodity-exchange-of-india,Small Cap,Jan-2025
171698,8307,1,Oracle Financial Services Software Ltd.,IT,Information Technology,Domestic Equities,9973.0,8643.0,15.38817540205947,9.0974,11.0539,-17.699635422791964,1.89336162116409,1100,oracle-financial-services-software,Mid Cap,Jan-2025
171444,98250,1,Kalyan Jewellers India Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,174699.0,153647.0,13.701536639179418,8.7891,11.7732,-25.346549791050858,1.82919786143,1100,kalyan-jewellers-india,Mid Cap,Jan-2025
152379,5838,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,69014.0,59796.0,15.415746872700515,8.7016,10.703199999999999,-18.70094924882278,1.81098725819701,1100,voltas,Mid Cap,Jan-2025
133463,8505,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,50878.0,44083.0,15.414105210625412,7.3936,7.0934,4.232103081737951,1.53876475501119,1100,glenmark-pharmaceuticals,Mid Cap,Jan-2025
178941,94376,1,Cohance Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,64521.0,55904.0,15.413923869490556,6.8054,6.3661,6.900614190791843,1.4163478770495,1100,cohance-lifesciences,Small Cap,Jan-2025
19182,5589,1,Coromandel International Ltd.,Chemicals,Chemicals,Domestic Equities,33683.0,29186.0,15.408072363461933,6.0950999999999995,5.4868,11.086607858861274,1.26851940303353,1100,coromandel-international,Mid Cap,Jan-2025
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,57935.0,50198.0,15.412964659946612,5.8384,6.2988,-7.309328761033843,1.21509469617742,1100,360-one-wam,Mid Cap,Jan-2025
677,6026,1,Oil India Ltd.,Crude Oil,Crude Oil,Domestic Equities,137677.0,119287.0,15.416600300116526,5.7886,5.1383,12.655936788431966,1.2047302614231,1100,oil-india,Mid Cap,Jan-2025
201928,105635,1,Piramal Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,244960.0,212236.0,15.41868486024991,5.7051,5.6508,0.9609258866001185,1.18735214290932,1100,piramal-pharma,Small Cap,Jan-2025
133623,8531,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,25538.0,22128.0,15.410339840925523,5.5632,5.7663,-3.5221892721502432,1.1578197474949,1100,radico-khaitan,Small Cap,Jan-2025
133439,5473,1,National Aluminium Company Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,260468.0,225673.0,15.418326516685646,5.2677,4.7775,10.260596546310827,1.09631993886232,1100,national-aluminium-company,Mid Cap,Jan-2025
75659,6055,1,Lloyds Metals & Energy Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,40223.0,34852.0,15.410880293813841,4.984,4.2932,16.09056181869002,1.03727596015145,1100,lloyds-metals-energy,Mid Cap,Jan-2025
153885,104233,1,Kaynes Technology India Ltd.,Electricals,Electricals,Domestic Equities,9841.0,8529.0,15.382811584007502,4.7162,6.3262,-25.4497170497297,0.981541108199496,1100,kaynes-technology-india,Mid Cap,Jan-2025
171404,5514,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,29004.0,25131.0,15.411245075802793,4.4051,3.5154,25.308641975308632,0.916794609161952,1100,cholamandalam-financial-holdings,Small Cap,Jan-2025
171771,7580,1,Firstsource Solutions Ltd.,IT,Information Technology,Domestic Equities,126988.0,110025.0,15.417405135196546,4.256,4.1369,2.878967342696228,0.885763741252927,1100,firstsource-solutions,Small Cap,Jan-2025
198435,104143,1,KFin Technologies Ltd.,Business Services,Finance,Domestic Equities,37468.0,32464.0,15.413997042878266,4.0849,4.9905,-18.146478308786694,0.850154207388177,1100,kfin-technologies,Small Cap,Jan-2025
96732,87407,1,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,5844.0,5066.0,15.35728385313857,3.7997,3.7425,1.5283901135604616,0.7907980469076,1100,amber-enterprises-india,Small Cap,Jan-2025
171485,6291,1,Motilal Oswal Financial Services Ltd.,Finance,Finance,Domestic Equities,58932.0,51061.0,15.414895908814946,3.7549,4.8702,-22.900496899511307,0.781474218052306,1100,motilal-oswal-financial-services,Mid Cap,Jan-2025
152383,6925,1,Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,Chemicals,Domestic Equities,32720.0,28351.0,15.410391167860041,3.7165,3.3920999999999997,9.563397305503965,0.773482364747769,1100,deepak-fertilisers-and-petrochemicals-corporation,Small Cap,Jan-2025
134830,88309,1,Mazagon Dock Shipbuilders Ltd.,Ship Building,Ship Building,Domestic Equities,14849.0,12868.0,15.394777743239043,3.71,2.8667000000000002,29.417099801165097,0.772129577079032,1100,mazagon-dock-shipbuilders,Mid Cap,Jan-2025
133403,4970,1,Himadri Speciality Chemical Ltd.,Chemicals,Chemicals,Domestic Equities,73533.0,63712.0,15.414678553490708,3.6302999999999996,3.7251999999999996,-2.5475142274240334,0.75554231904852,1100,himadri-speciality-chemical,Small Cap,Jan-2025
38130,7638,1,Jubilant Pharmova Ltd.,Healthcare,Healthcare,Domestic Equities,36796.0,31884.0,15.405846192447623,3.5837,3.5238,1.699869459106649,0.745843872069576,1100,jubilant-pharmova,Small Cap,Jan-2025
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,2661.0,2315.0,14.946004319654428,3.423,3.3364,2.5956120369260356,0.712398798474805,1100,hitachi-energy-india,Mid Cap,Jan-2025
94723,5905,1,Anant Raj Ltd.,Realty,Realty,Domestic Equities,53858.0,47240.0,14.009314140558848,3.2223,4.0407,-20.25391640062365,0.670628877687807,1100,anant-raj,Small Cap,Jan-2025
152513,6479,1,KEC International Ltd.,Infrastructure,Infrastructure,Domestic Equities,37164.0,32202.0,15.408980808645426,3.1247000000000003,3.8604000000000003,-19.05761061029945,0.650316250538774,1100,kec-international,Small Cap,Jan-2025
453,8676,1,Natco Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,26569.0,23023.0,15.401989315032793,3.1188,3.194,-2.354414527238567,0.64908833557792,1100,natco-pharma,Small Cap,Jan-2025
95205,5743,1,Poly Medicure Ltd.,Healthcare,Healthcare,Domestic Equities,11417.0,9894.0,15.393167576308874,2.6601999999999997,2.5875,2.809661835748785,0.55364396251904,1100,poly-medicure,Small Cap,Jan-2025
19203,7298,1,PCBL Chemical Ltd.,Chemicals,Chemicals,Domestic Equities,50861.0,44068.0,15.414813470091676,1.9325,1.9831,-2.5515606878120125,0.402194179974455,1100,pcbl-chemical,Small Cap,Jan-2025
133386,8742,1,Godfrey Phillips India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4263.0,3695.0,15.372124492557509,1.9258000000000002,1.9316,-0.30026920687512115,0.400799768069757,1100,godfrey-phillips-india,Small Cap,Jan-2025
38814,98613,1,Aditya Birla Sun Life AMC Ltd.,Finance,Finance,Domestic Equities,27327.0,23679.0,15.406055998986442,1.8666999999999998,1.9813,-5.784081158835113,0.388499806343242,1100,aditya-birla-sun-life-amc,Small Cap,Jan-2025
430,6832,1,Caplin Point Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,6372.0,5523.0,15.372080391091798,1.3218,1.3811000000000002,-4.293678951560355,0.275094575467133,1100,caplin-point-laboratories,Small Cap,Jan-2025
207271,109317,1,Netweb Technologies India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,5558.0,4878.0,13.940139401394013,0.9971,1.3296000000000001,-25.00752105896511,0.207517628384232,1100,netweb-technologies-india,Small Cap,Jan-2025
