CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,953112.0,958070.0,-0.5174987213877901,161.9099,169.85139999999998,-4.675557575621983,27.6445453254037,1100,hdfc-bank,Large Cap,Jan-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1171874.0,1177969.0,-0.5174159931203622,146.8124,150.9744,-2.756758761750341,25.0667936063903,1100,icici-bank,Large Cap,Jan-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,296249.0,297792.0,-0.5181468944766817,56.3258,53.1871,5.901242970569929,9.61708413808929,1100,kotak-mahindra-bank,Large Cap,Jan-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,639137.0,642464.0,-0.5178500273945311,49.398900000000005,51.072700000000005,-3.277289040916186,8.43438313577542,1100,state-bank-of-india,Large Cap,Jan-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,482279.0,484787.0,-0.517340605255504,47.5575,51.6153,-7.861622425908592,8.11998194250559,1100,axis-bank,Large Cap,Jan-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,282547.0,284018.0,-0.5179249202515334,28.0061,27.27,2.699303263659704,4.78176998959167,1100,indusind-bank,Mid Cap,Jan-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,1046720.0,1052165.0,-0.5175043838181275,19.5956,21.0454,-6.88891634276374,3.34575867429033,1100,the-federal-bank,Mid Cap,Jan-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,796826.0,800972.0,-0.5176210903751941,17.0035,19.2674,-11.749898792779518,2.90318273583334,1100,bank-of-baroda,Large Cap,Jan-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,2647401.0,2661171.0,-0.517441382008146,16.7422,16.802599999999998,-0.3594681775439494,2.85856829475513,1100,idfc-first-bank,Mid Cap,Jan-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,1472822.0,1480483.0,-0.5174662593221266,14.905,15.2164,-2.046476170447681,2.54488421075637,1100,punjab-national-bank,Large Cap,Jan-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,239649.0,240899.0,-0.5188896591517607,14.4017,13.468699999999998,6.927171887413053,2.45895061644079,1100,au-small-finance-bank,Mid Cap,Jan-2025
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,1440101.0,1447592.0,-0.5174800634432907,13.4318,14.4933,-7.324073882414623,2.29334959691629,1100,canara-bank,Mid Cap,Jan-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,931435.0,953112.0,-2.2743392172168644,161.36180000000002,161.9099,-0.3385216098583193,28.9161959355063,1100,hdfc-bank,Large Cap,Feb-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,1145222.0,1171874.0,-2.2743059407410695,137.89620000000002,146.8124,-6.073192727589761,24.7111369479131,1100,icici-bank,Large Cap,Feb-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,289513.0,296249.0,-2.2737629494108,55.0929,56.3258,-2.1888725947967003,9.87270277757966,1100,kotak-mahindra-bank,Large Cap,Feb-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,471308.0,482279.0,-2.2748243236798618,47.8637,47.5575,0.6438521789412793,8.5772229077656,1100,axis-bank,Large Cap,Feb-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,624603.0,639137.0,-2.2740038520692747,43.02270000000001,49.398900000000005,-12.907574865027355,7.7097108663544,1100,state-bank-of-india,Large Cap,Feb-2025
