CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,179883.0,205846.0,-12.612827064893173,49.82939999999999,55.0432,-9.47219638393117,19.6095669708423,1100,bse,Mid Cap,Jun-2025
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,73559.0,62526.0,17.645459488852637,38.1904,29.9062,27.700610575733464,15.0292238406093,1100,hdfc-asset-management-company,Mid Cap,Jun-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,36965.0,31443.0,17.56193747415959,33.0615,20.758699999999997,59.26575363582499,13.0108269095454,1100,multi-commodity-exchange-of-india,Mid Cap,Jun-2025
95265,83775,1,Central Depository Services (India) Ltd.,Business Services,Finance,Domestic Equities,129055.0,109777.0,17.56105559452344,23.1525,16.7926,37.87322987506402,9.11129773371595,1100,central-depository-services-india,Small Cap,Jun-2025
135555,92715,1,360 One Wam Ltd.,Finance,Finance,Domestic Equities,160780.0,98840.0,62.666936462970455,19.2052,9.8588,94.80261289406418,7.55790066885052,1100,360-one-wam,Mid Cap,Jun-2025
57412,93539,1,Computer Age Management Services Ltd.,Business Services,Finance,Domestic Equities,34727.0,29546.0,17.53536857781087,14.898599999999998,11.703499999999998,27.300380228136884,5.86310680987109,1100,computer-age-management-services,Small Cap,Jun-2025
38741,90008,1,Angel One Ltd.,Finance,Finance,Domestic Equities,42164.0,35766.0,17.888497455684167,12.323699999999999,10.8571,13.50821121662321,4.84979591322731,1100,angel-one,Small Cap,Jun-2025
198435,104143,1,KFin Technologies Ltd.,Business Services,Finance,Domestic Equities,83915.0,71291.0,17.70770503990686,11.3092,7.6902,47.05989441106865,4.45055559141088,1100,kfin-technologies,Small Cap,Jun-2025
58595,86782,1,Indian Energy Exchange Ltd.,Power,Power,Domestic Equities,549034.0,467048.0,17.55408437676641,10.6024,9.3666,13.193688211304,4.17240570529964,1100,indian-energy-exchange,Small Cap,Jun-2025
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,127314.0,107801.0,18.10094526024805,10.1858,7.9875,27.521752738654154,4.00845940853402,1100,nippon-life-india-asset-management,Mid Cap,Jun-2025
