CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
46444,92584.0,1,Ujjivan Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,6112845.0,6470036.0,-5.520695711739472,39.9597,34.2847,16.55257301361832,1.70400538940525,1100,ujjivan-small-finance-bank,Small Cap,Jan-2026
63978,98925.0,1,CarTrade Tech Ltd.,Automobile & Ancillaries,Information Technology,Domestic Equities,137119.0,145131.0,-5.520529728314419,36.3269,41.01689999999999,-11.434311222934927,1.54909154424047,1100,cartrade-tech,Small Cap,Jan-2026
152206,6006.0,1,LMW Ltd.,Textile,Textile,Domestic Equities,22034.0,23321.0,-5.518631276531881,32.8747,34.941900000000004,-5.916106450994372,1.40187904251235,1100,lmw,Small Cap,Jan-2026
78344,89378.0,1,Acutaas Chemicals Ltd.,Healthcare,Healthcare,Domestic Equities,168608.0,178459.0,-5.520035414296841,32.2463,30.425500000000003,5.984453829846672,1.37508211994531,1100,acutaas-chemicals,Small Cap,Jan-2026
114457,7574.0,1,The South Indian Bank Ltd.,Bank,Banking,Domestic Equities,8480360.0,8975890.0,-5.520678172303805,31.8692,34.3956,-7.345125539313164,1.35900140781923,1100,the-south-indian-bank,Small Cap,Jan-2026
133621,6468.0,1,Astra Microwave Products Ltd.,Capital Goods,Capital Goods,Domestic Equities,275142.0,291218.0,-5.5202631705457765,27.035500000000003,28.5758,-5.390225295529775,1.15287746667932,1100,astra-microwave-products,Small Cap,Jan-2026
154098,6604.0,1,TD Power Systems Ltd.,Capital Goods,Capital Goods,Domestic Equities,370591.0,392245.0,-5.520529261048579,27.0346,27.5376,-1.8265934576724252,1.15283908789143,1100,td-power-systems,Small Cap,Jan-2026
171403,76579.0,1,Equitas Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,3707045.0,3923656.0,-5.520641972690776,25.9901,24.715100000000003,5.158789565892915,1.10829837238972,1100,equitas-small-finance-bank,Small Cap,Jan-2026
1336,89761.0,1,Sansera Engineering Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,140534.0,148744.0,-5.519550368418222,24.3855,24.9444,-2.240583056718136,1.03987325789087,1100,sansera-engineering,Small Cap,Jan-2026
171776,7342.0,1,The Karnataka Bank Ltd.,Bank,Banking,Domestic Equities,1228211.0,1299978.0,-5.52063188761656,22.3596,26.714499999999997,-16.30163394411274,0.95348260634954,1100,the-karnataka-bank,Small Cap,Jan-2026
540,7044.0,1,Edelweiss Financial Services Ltd.,Finance,Finance,Domestic Equities,2075780.0,2197073.0,-5.52066317323093,22.1673,23.7416,-6.630976850759842,0.945282338670288,1100,edelweiss-financial-services,Small Cap,Jan-2026
37849,7492.0,1,Sudarshan Chemical Industries Ltd.,Chemicals,Chemicals,Domestic Equities,234534.0,248238.0,-5.52050854421966,21.1714,23.5255,-10.006588595353989,0.902814077714657,1100,sudarshan-chemical-industries,Small Cap,Jan-2026
2515,87584.0,1,Nazara Technologies Ltd.,IT,Information Technology,Domestic Equities,738672.0,781834.0,-5.520609234185262,21.007800000000003,21.3871,-1.7734989783561041,0.895837666938133,1100,nazara-technologies,Small Cap,Jan-2026
152683,97601.0,1,MTAR Technologies Ltd.,Capital Goods,Capital Goods,Domestic Equities,68790.0,72808.0,-5.518624326997033,20.1658,17.5955,14.607712199141826,0.859932178711764,1100,mtar-technologies,Small Cap,Jan-2026
155709,99978.0,1,Paradeep Phosphates Ltd.,Chemicals,Chemicals,Domestic Equities,1407853.0,1205191.0,16.815757834235402,19.5677,19.8507,-1.4256424206703016,0.834427342003699,1100,paradeep-phosphates,Small Cap,Jan-2026
19089,7012.0,1,Gabriel India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,206263.0,218314.0,-5.520030781351632,19.2526,22.0453,-12.668006332415535,0.820990501932287,1100,gabriel-india,Small Cap,Jan-2026
171921,8516.0,1,Strides Pharma Science Ltd.,Healthcare,Healthcare,Domestic Equities,216012.0,228634.0,-5.520613731990868,18.944300000000002,20.5851,-7.970813841079234,0.807843634924936,1100,strides-pharma-science,Small Cap,Jan-2026
133044,7653.0,1,Ratnamani Metals & Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,85411.0,90401.0,-5.519850444132255,18.9331,21.52,-12.020910780669148,0.807366032231188,1100,ratnamani-metals-tubes,Small Cap,Jan-2026
59506,99993.0,1,Medplus Health Services Ltd.,Retailing,Retailing,Domestic Equities,233075.0,246693.0,-5.520221489867973,18.6215,19.915499999999998,-6.497451733574344,0.794078443001573,1100,medplus-health-services,Small Cap,Jan-2026
533,7363.0,1,Religare Enterprises Ltd.,Finance,Finance,Domestic Equities,746225.0,789828.0,-5.520569035283631,17.7699,19.4906,-8.82835828553251,0.757763581037706,1100,religare-enterprises,Small Cap,Jan-2026
152567,6935.0,1,DCB Bank Ltd.,Bank,Banking,Domestic Equities,881646.0,933162.0,-5.520584850218933,17.6038,16.0597,9.614749964196099,0.750680562517041,1100,dcb-bank,Small Cap,Jan-2026
65894,112188.0,1,BlackBuck Ltd.,Logistics,Logistics,Domestic Equities,313467.0,331784.0,-5.520760494779736,17.555699999999998,22.553,-22.158027756839456,0.748629429519787,1100,blackbuck,Small Cap,Jan-2026
152553,7055.0,1,CIE Automotive India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,413654.0,437824.0,-5.520483116503435,17.299,18.5856,-6.922563705234152,0.737682946351486,1100,cie-automotive-india,Small Cap,Jan-2026
152554,7075.0,1,Voltamp Transformers Ltd.,Capital Goods,Capital Goods,Domestic Equities,23067.0,24414.0,-5.517326124354879,17.0108,19.1699,-11.262969551223536,0.725393205607021,1100,voltamp-transformers,Small Cap,Jan-2026
152305,7945.0,1,JK Lakshmi Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,218106.0,230850.0,-5.52046783625731,16.9272,17.9624,-5.763149690464525,0.721828242642978,1100,jk-lakshmi-cement,Small Cap,Jan-2026
29,5525.0,1,Shaily Engineering Plastics Ltd.,Plastic Products,Plastic Products,Domestic Equities,84215.0,89135.0,-5.519717282773321,16.1162,20.1588,-20.053773042046164,0.687244690443946,1100,shaily-engineering-plastics,Small Cap,Jan-2026
38589,8580.0,1,VA Tech Wabag Ltd.,Business Services,Other,Domestic Equities,147983.0,156629.0,-5.52005056534869,15.9481,20.4135,-21.87473975555392,0.680076385727969,1100,va-tech-wabag,Small Cap,Jan-2026
171823,5029.0,1,Arvind Ltd.,Textile,Textile,Domestic Equities,509613.0,539389.0,-5.520320214168254,15.9178,17.101300000000002,-6.920526509680558,0.678784299868992,1100,arvind,Small Cap,Jan-2026
22095,99977.0,1,CMS Info Systems Ltd.,Business Services,Other,Domestic Equities,501345.0,530638.0,-5.520335897542203,15.8099,18.0152,-12.24132954394067,0.674183109631907,1100,cms-info-systems,Small Cap,Jan-2026
152647,6951.0,1,Time Technoplast Ltd.,Plastic Products,Plastic Products,Domestic Equities,844881.0,894248.0,-5.520504379098416,15.2053,16.8128,-9.561167681766273,0.648401092789078,1100,time-technoplast,Small Cap,Jan-2026
151986,6639.0,1,Safari Industries (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,74431.0,78779.0,-5.519237360210209,15.1236,17.1297,-11.711238375453167,0.644917151710581,1100,safari-industries-india,Small Cap,Jan-2026
133388,7039.0,1,Kansai Nerolac Paints Ltd.,Chemicals,Chemicals,Domestic Equities,655854.0,694176.0,-5.5205020052551514,15.097100000000001,16.3444,-7.631359976505715,0.643787109622696,1100,kansai-nerolac-paints,Small Cap,Jan-2026
114515,6989.0,1,Gujarat Pipavav Port Ltd.,Logistics,Logistics,Domestic Equities,882066.0,933607.0,-5.520631272044875,14.734000000000002,16.9944,-13.300852045379653,0.628303400863796,1100,gujarat-pipavav-port,Small Cap,Jan-2026
133045,6467.0,1,Vesuvius India Ltd.,Capital Goods,Capital Goods,Domestic Equities,290617.0,307598.0,-5.520517038472292,14.3957,14.783199999999999,-2.621218680664538,0.613877240926764,1100,vesuvius-india,Small Cap,Jan-2026
191914,99958.0,1,Le Travenues Technology Ltd.,Hospitality,Hospitality,Domestic Equities,686441.0,726551.0,-5.5206035089071515,14.2093,18.5234,-23.29000075580076,0.605928567523682,1100,le-travenues-technology,Small Cap,Jan-2026
133404,7107.0,1,Hindustan Construction Company Ltd.,Infrastructure,Infrastructure,Domestic Equities,7095223.0,7509816.0,-5.520681199113267,14.204600000000001,14.2236,-0.13358080935908376,0.605728144964699,1100,hindustan-construction-company,Small Cap,Jan-2026
172886,92573.0,1,CSB Bank Ltd.,Bank,Banking,Domestic Equities,323413.0,342310.0,-5.520434693698694,14.1671,15.715499999999999,-9.85269320097992,0.604129028802598,1100,csb-bank,Small Cap,Jan-2026
19036,8047.0,1,Kirloskar Pneumatic Company Ltd.,Capital Goods,Capital Goods,Domestic Equities,123327.0,130533.0,-5.520443106340926,14.0716,13.833900000000002,1.718242867159657,0.600056612976448,1100,kirloskar-pneumatic-company,Small Cap,Jan-2026
75882,7888.0,1,Zydus Wellness Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,313019.0,331310.0,-5.520811324741179,14.0326,15.0614,-6.830706308842478,0.598393532167863,1100,zydus-wellness,Small Cap,Jan-2026
96376,16986.0,1,Shriram Pistons & Rings Ltd,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,50067.0,52992.0,-5.5197010869565215,13.7649,17.1588,-19.779355199664316,0.586977974925347,1100,shriram-pistons-rings,Small Cap,Jan-2026
192109,100019.0,1,Prudent Corporate Advisory Services Ltd.,Finance,Finance,Domestic Equities,57228.0,60572.0,-5.520702634880803,13.717,15.4362,-11.137456109664285,0.584935370547623,1100,prudent-corporate-advisory-services,Small Cap,Jan-2026
212222,111581.0,1,Azad Engineering Ltd.,Capital Goods,Capital Goods,Domestic Equities,92973.0,98404.0,-5.519084590057314,13.703299999999999,16.264200000000002,-15.745625361222817,0.584351160109736,1100,azad-engineering,Small Cap,Jan-2026
152392,4998.0,1,Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,Chemicals,Domestic Equities,725201.0,767576.0,-5.520625970587929,13.3792,14.0113,-4.511358689058119,0.57053053215942,1100,gujarat-state-fertilizers-chemicals,Small Cap,Jan-2026
