CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152686,7802.0,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,20975.0,3658.0,473.4007654455987,5.3025,4.0735,30.170614950288442,3.39889684083676,1100,multi-commodity-exchange-of-india,Mid Cap,Jan-2026
139924,82380.0,1,Laurus Labs Ltd.,Healthcare,Healthcare,Domestic Equities,31941.0,27856.0,14.664704192992534,3.0823,3.0864,-0.13284085018143085,1.97575101037457,1100,laurus-labs,Mid Cap,Jan-2026
543,5039.0,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,77638.0,67713.0,14.657451301817966,2.34,1.7865,30.982367758186395,1.49993750260406,1100,karur-vysya-bank,Small Cap,Jan-2026
95265,83775.0,1,Central Depository Services (India) Ltd.,Business Services,Finance,Domestic Equities,14646.0,12772.0,14.672721578452865,1.9336000000000002,1.8437999999999999,4.870376396572306,1.23943553633983,1100,central-depository-services-india,Small Cap,Jan-2026
46521,101004.0,1,Delhivery Ltd.,Logistics,Logistics,Domestic Equities,44768.0,39043.0,14.66331992930871,1.8935,1.5768,20.08498224251648,1.21373147913709,1100,delhivery,Small Cap,Jan-2026
133627,5088.0,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,3022.0,2636.0,14.643399089529591,1.8431,1.5605000000000002,18.109580262736294,1.18142513292715,1100,navin-fluorine-international,Small Cap,Jan-2026
171807,7041.0,1,Hindustan Copper Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,26816.0,23530.0,13.965150871228218,1.8393000000000002,1.2196,50.81174155460808,1.17898933698275,1100,hindustan-copper,Small Cap,Jan-2026
133623,8531.0,1,Radico Khaitan Ltd.,Alcohol,Alcohol,Domestic Equities,6436.0,5613.0,14.66239087831819,1.8202,1.8514,-1.6852111915307209,1.16674625736748,1100,radico-khaitan,Mid Cap,Jan-2026
114451,6891.0,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,59330.0,51746.0,14.656205310555407,1.7903,1.5048,18.972620946305167,1.14758038927865,1100,city-union-bank,Small Cap,Jan-2026
787,70906.0,1,RBL Bank Ltd.,Bank,Banking,Domestic Equities,49495.0,43168.0,14.656690140845072,1.4787000000000001,1.3632,8.472711267605643,0.947845121837872,1100,rbl-bank,Small Cap,Jan-2026
57412,93539.0,1,Computer Age Management Services Ltd.,Business Services,Finance,Domestic Equities,19741.0,17217.0,14.659929139803682,1.3721,1.2756,7.565067419253689,0.879514635608132,1100,computer-age-management-services,Small Cap,Jan-2026
