CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,64483.0,63402.0,1.7049935333270243,12.541298999999999,12.204884999999999,2.7563881183640797,13.1849302016992,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,59830.0,58827.0,1.7049994050351027,8.650221,8.394613,3.0449051075969757,9.09415843719797,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,57431.0,56468.0,1.7053906637387546,8.160371,7.933754,2.8563653473500685,8.5791688767623,1100,reliance-industries,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,30514.0,30003.0,1.70316301703163,4.768423,4.50075,5.947297672610128,5.01314293098163,1100,infosys,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,22740.0,22359.0,1.704011807325909,4.220999,4.168836,1.25126054371052,4.43762461898421,1100,bharti-airtel,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,9951.0,9784.0,1.706868356500409,3.657092,3.268834,11.877568576440412,3.84477738400085,1100,larsen-toubro,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,78904.0,77582.0,1.704003505967879,3.298582,3.303442,-0.14711927740822753,3.46786831528228,1100,itc,Large Cap
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,8657.0,8512.0,1.7034774436090225,2.998265,2.939789,1.9891223485767175,3.15213876578476,1100,tata-consultancy-services,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,24222.0,23816.0,1.7047363117232113,2.887747,2.822196,2.3226948092903474,3.03594887859433,1100,axis-bank,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,32566.0,32020.0,1.7051842598376017,2.645336,2.525257,4.755119973927398,2.78109711920927,1100,state-bank-of-india,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,12464.0,12255.0,1.7054263565891472,2.585906,2.706027,-4.439017053414482,2.71861711599055,1100,kotak-mahindra-bank,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,7511.0,7385.0,1.7061611374407581,2.235874,2.162919,3.372988077685759,2.35062114616627,1100,mahindra-mahindra,Large Cap
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,2217.0,2179.0,1.7439192290041303,2.035317,1.881458,8.177647335204927,2.1397713732311,1100,bajaj-finance,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,7523.0,7397.0,1.703393267540895,1.766626,1.7324510000000002,1.9726387643864036,1.85729089965138,1100,hindustan-unilever,Large Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,9139.0,8986.0,1.7026485644335634,1.533159,1.6465049999999999,-6.88403618573888,1.61184215471674,1100,sun-pharmaceutical-industries,Large Cap
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,8991.0,8840.0,1.7081447963800904,1.471467,1.3856700000000002,6.1917339626317975,1.54698406354108,1100,hcl-technologies,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,58889.0,57902.0,1.704604331456599,1.403384,1.3463370000000001,4.237200641444158,1.47540698026428,1100,eternal,Large Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1112.0,1094.0,1.6453382084095063,1.3698730000000001,1.340916,2.1594939578616446,1.44017616438235,1100,maruti-suzuki-india,Large Cap
133664,7760,1,NTPC Ltd.,Power,Power,Domestic Equities,40193.0,39519.0,1.7055087426301272,1.342044,1.401146,-4.218118597205433,1.41091895405804,1100,ntpc,Large Cap
152378,5539,1,Tata Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,17689.0,17393.0,1.7018340711780604,1.272724,1.120544,13.580903561127455,1.33804138678357,1100,tata-motors,Large Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,3496.0,3437.0,1.716613325574629,1.242828,1.1616030000000002,6.9924922714559,1.30661109608481,1100,titan-company,Large Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,30358.0,29849.0,1.7052497571107912,1.167569,0.9375570000000001,24.533121719532783,1.22748973377221,1100,bharat-electronics,Large Cap
152362,5226,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,70092.0,68917.0,1.7049494319253595,1.1286209999999999,0.9653889999999999,16.90841722870263,1.18654288596197,1100,tata-steel,Large Cap
517,7825,1,Power Grid Corporation Of India Ltd.,Power,Power,Domestic Equities,38418.0,37774.0,1.70487636998994,1.113162,1.161362,-4.150299389854332,1.17029051561436,1100,power-grid-corporation-of-india,Large Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,986.0,970.0,1.6494845360824744,1.1053060000000001,1.1291769999999999,-2.114017554378091,1.16203133834217,1100,ultratech-cement,Large Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,1884.0,1852.0,1.7278617710583155,1.063235,0.9579470000000001,10.991004721555566,1.1178012152492,1100,trent,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,4612.0,4534.0,1.7203352448169384,0.9304250000000001,0.8848550000000001,5.1499963270818405,0.978175281756376,1100,bajaj-finserv,Large Cap
539,7794,1,Adani Ports and Special Economic Zone Ltd.,Logistics,Logistics,Domestic Equities,6255.0,6150.0,1.707317073170732,0.896216,0.748148,19.79127124579628,0.942210643861217,1100,adani-ports-and-special-economic-zone,Large Cap
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,3834.0,3770.0,1.6976127320954906,0.866139,0.914489,-5.2871056950931,0.91059006407307,1100,asian-paints,Large Cap
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,5376.0,5286.0,1.70261066969353,0.8461289999999999,0.794486,6.500177473234264,0.889553132146321,1100,tech-mahindra,Large Cap
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,3254.0,3199.0,1.7192872772741483,0.828403,0.8757259999999999,-5.403859197968309,0.870917417237099,1100,grasim-industries,Large Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,940.0,924.0,1.7316017316017316,0.8090579999999999,0.741972,9.04158108392231,0.850579613732703,1100,bajaj-auto,Large Cap
133434,4968,1,JSW Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,8042.0,7907.0,1.7073479195649426,0.798973,0.814263,-1.8777716781924223,0.839977042094459,1100,jsw-steel,Large Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,27766.0,27300.0,1.7069597069597071,0.795912,0.710947,11.950961182760453,0.836758948709763,1100,jio-financial-services,Large Cap
152256,5774,1,Oil & Natural Gas Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,32924.0,32372.0,1.7051773137279131,0.7882009999999999,0.791334,-0.3959137355402373,0.828652212973273,1100,oil-natural-gas-corporation,Large Cap
152343,5043,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,12272.0,12067.0,1.6988480981188363,0.777431,0.7537649999999999,3.139705345830605,0.817329486493958,1100,hindalco-industries,Large Cap
115643,7007,1,Coal India Ltd.,Mining,Mining,Domestic Equities,19253.0,18930.0,1.7062863180137346,0.764922,0.7293729999999999,4.873912250659132,0.804178512907167,1100,coal-india,Large Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,11864.0,11665.0,1.7059579939991427,0.7585250000000001,0.713548,6.303290037951209,0.79745321288041,1100,shriram-finance,Large Cap
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3039.0,2988.0,1.706827309236948,0.728205,0.713594,2.047522821099956,0.765577162104847,1100,nestle-india,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,9075.0,8923.0,1.7034629608875937,0.704991,0.663604,6.2367014062603605,0.741171797899572,1100,hdfc-life-insurance-company,Large Cap
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,4769.0,4689.0,1.7061207080400937,0.698992,0.726842,-3.8316442913315556,0.734864923605291,1100,cipla,Large Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,3799.0,3735.0,1.713520749665328,0.688455,0.6595260000000001,4.386332002074213,0.723787154904034,1100,sbi-life-insurance-company,Large Cap
