CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,1005000.0,1005000.0,0.0,186.5481,187.3823,-0.4451861248367549,7.71215877839699,1100,bharti-airtel,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,667469.0,667469.0,0.0,156.7417,156.3279,0.2647000311524635,6.47992060812127,1100,hindustan-unilever,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,495352.0,495352.0,0.0,147.4564,145.0787,1.6389035744047789,6.09605334865816,1100,mahindra-mahindra,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3135000.0,2970000.0,5.555555555555555,131.05870000000002,126.46260000000001,3.6343551374082184,5.41814954797341,1100,itc,Large Cap
171402,5320,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,882401.0,882401.0,0.0,108.65889999999999,111.2266,-2.308530513384392,4.49211055746995,1100,godrej-consumer-products,Large Cap
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,264864.0,264864.0,0.0,106.00120000000001,111.2402,-4.709628353778577,4.38223753069913,1100,avenue-supermarts,Large Cap
171433,6783,1,Berger Paints India Ltd.,Chemicals,Chemicals,Domestic Equities,1529703.0,1529703.0,0.0,86.93299999999999,83.2464,4.428539852774413,3.59393153338139,1100,berger-paints-india,Mid Cap
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,515640.0,515640.0,0.0,78.3824,80.6409,-2.800687988353309,3.24043779717845,1100,united-spirits,Large Cap
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,490569.0,490569.0,0.0,74.9099,78.5401,-4.622097501785717,3.09687980136941,1100,havells-india,Large Cap
171333,7587,1,United Breweries Ltd.,Alcohol,Alcohol,Domestic Equities,358537.0,358537.0,0.0,70.8756,77.444,-8.481483394452756,2.93009620957894,1100,united-breweries,Mid Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,81380.0,81380.0,0.0,70.0438,65.3481,7.185671809891943,2.89570843681755,1100,bajaj-auto,Large Cap
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,130099.0,130099.0,0.0,69.3883,72.42609999999999,-4.194344304056131,2.86860915207951,1100,eicher-motors,Large Cap
191898,99941,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,2149174.0,2149174.0,0.0,68.3652,68.0214,0.5054291737600242,2.82631277036253,1100,sapphire-foods-india,Small Cap
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,118237.0,118237.0,0.0,63.0203,62.0685,1.5334670565584696,2.60534714565419,1100,interglobe-aviation,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,2629277.0,2629277.0,0.0,62.6583,61.1359,2.49018988842889,2.59038156048993,1100,eternal,Large Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,171828.0,171828.0,0.0,61.0849,58.072700000000005,5.186946706455862,2.52533500883956,1100,titan-company,Large Cap
191600,99819,1,FSN E-Commerce Ventures Ltd.,Retailing,Information Technology,Domestic Equities,2945830.0,2945830.0,0.0,59.8769,57.258100000000006,4.573676038848638,2.47539460309807,1100,fsn-e-commerce-ventures,Mid Cap
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,534009.0,624009.0,-14.422868900929315,59.0774,72.747,-18.79060304892298,2.44234215741072,1100,tata-consumer-products,Large Cap
75882,7888,1,Zydus Wellness Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,280600.0,280600.0,0.0,54.7002,49.531499999999994,10.435177614245497,2.26138260110969,1100,zydus-wellness,Small Cap
171658,4978,1,Asian Paints Ltd.,Chemicals,Chemicals,Domestic Equities,235000.0,235000.0,0.0,53.0889,57.004,-6.868114518279407,2.19476921057057,1100,asian-paints,Large Cap
114606,112114,1,Hyundai Motor India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,266533.0,266533.0,0.0,49.233999999999995,45.5132,8.175210708102263,2.03540226512946,1100,hyundai-motor-india,Large Cap
171321,7864,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,10311.0,12311.0,-16.2456339858663,47.822399999999995,56.1566,-14.840998208581006,1.97704475126797,1100,page-industries,Mid Cap
171410,5631,1,Procter & Gamble Hygiene and Health Care Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,33773.0,33773.0,0.0,45.8772,48.1029,-4.626955963153983,1.89662746877762,1100,procter-gamble-hygiene-and-health-care,Mid Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,76453.0,76453.0,0.0,43.146300000000004,39.545300000000005,9.106012598210151,1.78372825185756,1100,trent,Large Cap
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,657039.0,784227.0,-16.218263334468208,43.0722,56.1036,-23.22738647787307,1.7806648544524,1100,jubilant-foodworks,Mid Cap
191951,99980,1,Go Fashion (India) Ltd.,Retailing,Retailing,Domestic Equities,423689.0,423689.0,0.0,36.0602,33.2977,8.296368818266728,1.49077898933707,1100,go-fashion-india,Small Cap
171884,5613,1,Bata India Ltd.,FMCG,Retailing,Domestic Equities,261053.0,261053.0,0.0,32.9919,31.5456,4.584791539866102,1.3639311855816,1100,bata-india,Small Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,25991.0,20000.0,29.955,32.018299999999996,24.514,30.612303173696652,1.32368120294095,1100,maruti-suzuki-india,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,167763.0,167763.0,0.0,29.5531,27.2665,8.386114829552742,1.22176639480029,1100,pb-fintech,Mid Cap
95054,6347,1,Somany Ceramics Ltd.,Construction Materials,Construction Materials,Domestic Equities,605227.0,605227.0,0.0,28.948,25.9461,11.56975422125098,1.19675071639452,1100,somany-ceramics,Small Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,100000.0,100000.0,0.0,27.808000000000003,26.72,4.071856287425157,1.14962152554576,1100,tvs-motor-company,Large Cap
193124,100508,1,Electronics Mart India Ltd.,Retailing,Retailing,Domestic Equities,2223165.0,2223165.0,0.0,26.735799999999998,29.7526,-10.13961805018722,1.10529528131064,1100,electronics-mart-india,Small Cap
153943,100386,1,Vedant Fashions Ltd.,Textile,Textile,Domestic Equities,333538.0,333538.0,0.0,26.593000000000004,26.081,1.9631149112380766,1.09939173003591,1100,vedant-fashions,Small Cap
141828,87574,1,Orient Electric Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,1114635.0,1114635.0,0.0,25.29,25.8952,-2.3371126695294873,1.04552389172369,1100,orient-electric,Small Cap
19064,6023,1,Westlife Foodworld Ltd,Hospitality,Hospitality,Domestic Equities,320000.0,320000.0,0.0,21.416,21.4624,-0.2161920381690712,0.885367325628886,1100,westlife-foodworld,Small Cap
133909,100034,1,Metro Brands Ltd.,Retailing,Retailing,Domestic Equities,145743.0,145743.0,0.0,17.5868,15.5945,12.775658084581105,0.727062854051648,1100,metro-brands,Mid Cap
