CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,3399.0,3329.0,2.102733553619706,1.4702000000000002,1.5156999999999998,-3.0019133073827162,3.42336236824828,1100,interglobe-aviation,Large Cap,Jan-2025
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,12744.0,12481.0,2.1072029484816923,1.3537000000000001,1.4086,-3.8974868663921685,3.15209198605476,1100,max-healthcare-institute,Mid Cap,Jan-2025
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,24003.0,4701.0,410.5934907466496,1.3053,1.3593000000000002,-3.9726329728536784,3.03939253113487,1100,shriram-finance,Large Cap,Jan-2025
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,29007.0,28406.0,2.115750193621066,1.2804,1.2621,1.4499643451390527,2.98141285288063,1100,vedanta,Large Cap,Jan-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,2199.0,2153.0,2.1365536460752437,1.2261,1.3133000000000001,-6.639762430518551,2.85497524126596,1100,divi's-laboratories,Large Cap,Jan-2025
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,18558.0,18173.0,2.1185274858306276,1.1843000000000001,1.1211,5.637320488805644,2.75764389383515,1100,hdfc-life-insurance-company,Large Cap,Jan-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,15225.0,14909.0,2.119525119055604,1.1640000000000001,1.3066,-10.913822133782329,2.71037532080057,1100,the-indian-hotels-company,Mid Cap,Jan-2025
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,193039.0,189036.0,2.11758606826213,1.1225,1.1764000000000001,-4.58177490649439,2.61374252371017,1100,suzlon-energy,Mid Cap,Jan-2025
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,20736.0,20306.0,2.117600709150005,1.1129,1.2963999999999998,-14.154581919160739,2.59138891281697,1100,varun-beverages,Large Cap,Jan-2025
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,1828.0,1790.0,2.1229050279329607,1.1031,1.1556,-4.543094496365524,2.56856960169683,1100,persistent-systems,Mid Cap,Jan-2025
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,29216.0,28610.0,2.11814051031108,1.0642,1.1227,-5.210652890353607,2.47799090755667,1100,tata-power-company,Large Cap,Jan-2025
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,25049.0,24530.0,2.115776600081533,1.0584,1.0996,-3.7468170243724903,2.46448560097537,1100,power-finance-corporation,Large Cap,Jan-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,1341.0,1313.0,2.1325209444021325,1.0356999999999998,1.1425,-9.347921225382938,2.41162862521749,1100,info-edge-india,Large Cap,Jan-2025
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4016.0,3933.0,2.1103483346046272,0.9869,0.9316,5.93602404465436,2.29799776984372,1100,tvs-motor-company,Large Cap,Jan-2025
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,5665.0,5548.0,2.1088680605623646,0.9783,1.1667,-16.14811005399846,2.27797266008522,1100,pb-fintech,Mid Cap,Jan-2025
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,21351.0,20908.0,2.1188061985842737,0.9605,1.0465,-8.217869087434313,2.23652533988741,1100,rec,Large Cap,Jan-2025
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,2582.0,2528.0,2.1360759493670884,0.9462999999999999,0.9004000000000001,5.09773434029319,2.20346062377455,1100,avenue-supermarts,Large Cap,Jan-2025
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,1584.0,1551.0,2.127659574468085,0.9373,0.8663,8.195775135634317,2.18250411356218,1100,ltimindtree,Large Cap,Jan-2025
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,1535.0,1504.0,2.0611702127659575,0.9331999999999999,0.9833,-5.095087969083703,2.17295725890988,1100,siemens,Large Cap,Jan-2025
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,7249.0,7099.0,2.112973658261727,0.9316,0.8423,10.601923305235655,2.16923165709434,1100,cholamandalam-investment-and-finance-company,Large Cap,Jan-2025
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,33679.0,32981.0,2.1163700312301024,0.8797,0.9642000000000001,-8.763741962248499,2.04838244820298,1100,bharat-petroleum-corporation,Large Cap,Jan-2025
