CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,11622997.0,12238358.0,-5.028133676102628,2060.583,2198.0703,-6.254909135526744,28.0912403675055,1100,hdfc-bank,Large Cap,Dec-2024
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,14291414.0,14112226.0,1.2697359013383147,1831.6591,1834.7305,-0.1674033325330259,24.9703972368154,1100,icici-bank,Large Cap,Dec-2024
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,3612713.0,3814518.0,-5.2904456080689615,645.2486,673.3578,-4.174481976744011,8.79645882713601,1100,kotak-mahindra-bank,Large Cap,Dec-2024
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,5881619.0,5709098.0,3.02186089641481,626.216,648.7248000000001,-3.4696993239660396,8.53699374302215,1100,axis-bank,Large Cap,Dec-2024
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,7793510.0,9128382.0,-14.62331440555402,619.5451,765.8256,-19.101019866664153,8.44605158957936,1100,state-bank-of-india,Large Cap,Dec-2024
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,3446095.0,2962183.0,16.336330334756497,330.8768,294.98900000000003,12.165809572560327,4.51073299198869,1100,indusind-bank,Mid Cap,Dec-2024
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,12766288.0,10967677.0,16.399197387012766,255.3513,231.17669999999998,10.457195729500434,3.481119055362,1100,the-federal-bank,Mid Cap,Dec-2024
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,9718475.0,8354370.0,16.328041492057448,233.77790000000002,205.8517,13.566174095234592,3.18701609278086,1100,bank-of-baroda,Large Cap,Dec-2024
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,32287683.0,29506293.0,9.426429812786038,203.8644,189.0763,7.821234073228625,2.77921533021348,1100,idfc-first-bank,Mid Cap,Dec-2024
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,17964767.0,13277576.0,35.30155654917735,184.6419,139.2818,32.56714086118932,2.51716140277432,1100,punjab-national-bank,Large Cap,Dec-2024
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,17564145.0,15098805.0,16.32804715340055,175.8522,154.02290000000002,14.172762621662105,2.39733435603159,1100,canara-bank,Mid Cap,Dec-2024
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,2922907.0,2509787.0,16.460360978840036,163.4197,146.4084,11.61907376899139,2.22784623258837,1100,au-small-finance-bank,Mid Cap,Dec-2024
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,11083336.0,11622997.0,-4.643045162964423,1882.7817,2060.583,-8.628689065182026,27.6159028601732,1100,hdfc-bank,Large Cap,Jan-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,13626822.0,14291414.0,-4.650288627843263,1707.1682999999998,1831.6591,-6.79661406426557,25.0400744487622,1100,icici-bank,Large Cap,Jan-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,3444944.0,3612713.0,-4.643850757034949,654.9872,645.2486,1.5092787493068571,9.60709512412239,1100,kotak-mahindra-bank,Large Cap,Jan-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,7431846.0,7793510.0,-4.640579148547959,574.4073999999999,619.5451,-7.285619723245336,8.42518225058416,1100,state-bank-of-india,Large Cap,Jan-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,5608411.0,5881619.0,-4.645115571069802,553.0454,626.216,-11.68456251517048,8.11185282057163,1100,axis-bank,Large Cap,Jan-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,3285679.0,3446095.0,-4.655008059847451,325.67650000000003,330.8768,-1.5716725983810254,4.77689505259224,1100,indusind-bank,Mid Cap,Jan-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,12171770.0,12766288.0,-4.656937083042463,227.8677,255.3513,-10.763054662341649,3.34227397056764,1100,the-federal-bank,Mid Cap,Jan-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,9266045.0,9718475.0,-4.655360023048884,197.7281,233.7779,-15.420533763028924,2.90019814953939,1100,bank-of-baroda,Large Cap,Jan-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,30784957.0,32287683.0,-4.65417726010256,194.6841,203.8644,-4.5031403226850735,2.85554995250923,1100,idfc-first-bank,Mid Cap,Jan-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,17126444.0,17964767.0,-4.666484124174836,173.31959999999998,184.6419,-6.1320317869346,2.54218385347812,1100,punjab-national-bank,Large Cap,Jan-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,2786723.0,2922907.0,-4.659197162277144,167.46810000000002,163.4197,2.477302308106073,2.45635634857604,1100,au-small-finance-bank,Mid Cap,Jan-2025
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,16745691.0,17564145.0,-4.659799836542001,156.1871,175.8522,-11.18274323551256,2.29089106910916,1100,canara-bank,Mid Cap,Jan-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,11227234.0,11083336.0,1.2983275071693217,1945.006,1882.7817,3.304913150579269,28.8902547174468,1100,hdfc-bank,Large Cap,Feb-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,13803780.0,13626822.0,1.2986006568516122,1662.1131,1707.1682999999998,-2.6391774027200423,24.6882893051256,1100,icici-bank,Large Cap,Feb-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,3489662.0,3444944.0,1.298076253198891,664.0652,654.9872,1.385981283298365,9.86372935455842,1100,kotak-mahindra-bank,Large Cap,Feb-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,5681143.0,5608411.0,1.2968379100604432,576.9485,553.0454,4.32208639652368,8.56973660947516,1100,axis-bank,Large Cap,Feb-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,7528416.0,7431846.0,1.299407980197652,518.5573,574.4073999999999,-9.723081561971512,7.70241967510202,1100,state-bank-of-india,Large Cap,Feb-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,3328309.0,3285679.0,1.29744871607969,329.5359,325.67650000000003,1.1850409839211458,4.89477980507159,1100,indusind-bank,Mid Cap,Feb-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,12329762.0,12171770.0,1.298019926436336,219.0012,227.8677,-3.891073636149404,3.25294649550002,1100,the-federal-bank,Mid Cap,Feb-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,9386279.0,9266045.0,1.2975762582633692,184.9754,197.7281,-6.449614394716788,2.74754238416828,1100,bank-of-baroda,Large Cap,Feb-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,31184635.0,30784957.0,1.29828994076555,182.0871,194.6841,-6.470482181133439,2.70464085959694,1100,idfc-first-bank,Mid Cap,Feb-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,2822915.0,2786723.0,1.298729726635909,159.6923,167.46810000000002,-4.643152934797742,2.3719984531744,1100,au-small-finance-bank,Mid Cap,Feb-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,17348816.0,17126444.0,1.2984131440245272,151.6113,173.31959999999998,-12.525011597072693,2.25196687056145,1100,punjab-national-bank,Large Cap,Feb-2025
