CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
76200,82667,1,BSE Ltd.,Finance,Finance,Domestic Equities,260602.0,85946.0,203.2159728201429,69.685,54.6531,27.504203787159366,3.13339778840641,1100,bse,Mid Cap
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,7595017.0,7514646.0,1.0695247653715159,54.2892,42.382600000000004,28.093132559116235,2.44112304246758,1100,suzlon-energy,Mid Cap
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,475500.0,470522.0,1.0579739098278083,53.503299999999996,51.672700000000006,3.5426830802338465,2.40578491630114,1100,max-healthcare-institute,Mid Cap
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,68128.0,67415.0,1.05762812430468,38.4106,35.8749,7.06817301232896,1.7271391130281,1100,persistent-systems,Mid Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,211749.0,209517.0,1.0653073497615946,37.301700000000004,34.052800000000005,9.540771977634728,1.67727723733658,1100,pb-fintech,Mid Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,42596.0,42169.0,1.0125921885745452,36.4217,30.804499999999997,18.234998133389613,1.63770788878527,1100,coforge,Mid Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,24651.0,24434.0,0.8881067365146926,36.2172,40.1988,-9.904773276814241,1.62851251176398,1100,dixon-technologies-india,Mid Cap
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,845704.0,836745.0,1.0706965682495861,32.4877,34.1559,-4.884075664819259,1.46081491469342,1100,indus-towers,Large Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,1568835.0,1552219.0,1.0704675049074903,31.6999,30.529,3.8353696485308943,1.42539135470624,1100,the-federal-bank,Mid Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,64918.0,64236.0,1.0617099445793636,31.050300000000004,28.0994,10.501647722015422,1.39618198104837,1100,hdfc-asset-management-company,Mid Cap
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,154564.0,152921.0,1.074410970370322,30.259,32.0461,-5.5766536333594425,1.36060104297036,1100,lupin,Mid Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,86582.0,85652.0,1.0857890066781861,28.295900000000003,24.799699999999998,14.097751182473997,1.27232992008279,1100,cummins-india,Large Cap
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,3967108.0,3925103.0,1.070162999544216,26.9644,25.47,5.867294856694152,1.21245879781454,1100,idfc-first-bank,Mid Cap
165,7447,1,SRF Ltd.,Chemicals,Chemicals,Domestic Equities,92856.0,91864.0,1.0798571801793955,26.566100000000002,27.641,-3.8887883940523063,1.19454917107819,1100,srf,Mid Cap
152455,7030,1,Yes Bank Ltd.,Bank,Banking,Domestic Equities,12064283.0,11936575.0,1.0698881379290122,25.914099999999998,21.1516,22.516027156338055,1.16523188101518,1100,yes-bank,Mid Cap
171365,5279,1,Hindustan Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,614660.0,608150.0,1.070459590561539,25.2656,23.0306,9.704480126440474,1.13607196904299,1100,hindustan-petroleum-corporation,Mid Cap
171839,6306,1,Solar Industries India Ltd.,Chemicals,Chemicals,Domestic Equities,15564.0,15440.0,0.8031088082901554,25.0643,20.3376,23.24118873416725,1.12702048056188,1100,solar-industries-india,Mid Cap
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,359217.0,355404.0,1.0728635580916366,24.895500000000002,24.1177,3.225017310937618,1.11943036006704,1100,au-small-finance-bank,Mid Cap
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,165077.0,163341.0,1.0628072559859436,24.8061,21.316,16.373146931882165,1.11541047397558,1100,max-financial-services,Mid Cap
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,337706.0,334141.0,1.066914865281423,24.194899999999997,23.739,1.920468427482189,1.08792776279995,1100,marico,Mid Cap
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,333441.0,329907.0,1.0712109776391527,23.550900000000002,22.616799999999998,4.130115666230426,1.0589701940874,1100,fortis-healthcare,Mid Cap
599,7495,1,Sundaram Finance Ltd.,Finance,Finance,Domestic Equities,44052.0,43589.0,1.0621945903783065,22.6273,22.913,-1.2468904115567652,1.01744036417606,1100,sundaram-finance,Mid Cap
171946,6864,1,Godrej Properties Ltd.,Realty,Realty,Domestic Equities,96509.0,95486.0,1.0713612466749052,21.6547,20.6393,4.919740495074929,0.973707240993103,1100,godrej-properties,Mid Cap
171659,5756,1,Ashok Leyland Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,915265.0,905562.0,1.0714893071926606,21.603,20.4032,5.880450125470526,0.971382541765714,1100,ashok-leyland,Mid Cap
133342,5963,1,Bharat Heavy Electricals Ltd.,Capital Goods,Capital Goods,Domestic Equities,822447.0,813736.0,1.0704946075877189,21.369600000000002,18.4588,15.769172427243369,0.960887671365856,1100,bharat-heavy-electricals,Mid Cap
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,170628.0,168830.0,1.0649766036841792,21.1732,18.6422,13.576723777236598,0.952056512211906,1100,bharat-forge,Mid Cap
101370,86936,1,Tube Investments of India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,68789.0,68082.0,1.0384536294468436,21.0639,19.7342,6.738048666781517,0.947141819261159,1100,tube-investments-of-india,Mid Cap
587,7648,1,APL Apollo Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,115923.0,114683.0,1.081241334809867,21.0018,18.5764,13.05635106909841,0.944349482278163,1100,apl-apollo-tubes,Mid Cap
171820,5969,1,Colgate-Palmolive (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,84317.0,83418.0,1.0777050516675057,20.707399999999996,21.5836,-4.059563742841803,0.931111736581,1100,colgate-palmolive-india,Mid Cap
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,178962.0,177071.0,1.0679332019359464,20.5413,21.7638,-5.617125685771786,0.923643022041941,1100,aurobindo-pharma,Mid Cap
171635,7381,1,UPL Ltd.,Chemicals,Chemicals,Domestic Equities,323847.0,320406.0,1.0739499260313476,20.334400000000002,21.464000000000002,-5.262765560939249,0.914339728615504,1100,upl,Mid Cap
152118,7308,1,PI Industries Ltd.,Chemicals,Chemicals,Domestic Equities,51837.0,51279.0,1.0881647458023753,19.820899999999998,18.666600000000003,6.183772084900294,0.891250114432441,1100,pi-industries,Mid Cap
152795,99590,1,One97 Communications Ltd.,IT,Information Technology,Domestic Equities,217816.0,215522.0,1.0643924982136395,19.3954,18.6373,4.067649283962803,0.87211743510451,1100,one97-communications,Mid Cap
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,32282.0,31941.0,1.067593375285683,19.3401,17.6314,9.691232687137713,0.869630861269411,1100,polycab-india,Large Cap
152551,7908,1,GMR Airports Ltd.,Infrastructure,Aviation,Domestic Equities,2294819.0,2270515.0,1.070417944827495,19.2948,19.7966,-2.5347786993726227,0.867593939122395,1100,gmr-airports,Mid Cap
171321,7864,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,4027.0,3996.0,0.7757757757757758,18.6772,18.2278,2.465464839421107,0.839823450866388,1100,page-industries,Mid Cap
19255,6350,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,72730.0,71955.0,1.0770620526718087,18.6102,17.7657,4.753541937553829,0.836810784556232,1100,mphasis,Mid Cap
152379,5838,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,145667.0,144117.0,1.0755150329246377,18.3948,17.8143,3.25861807648911,0.827125287194924,1100,voltas,Mid Cap
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,119317.0,118046.0,1.0766989139826848,18.3402,19.6488,-6.659948699157206,0.824670188977991,1100,the-phoenix-mills,Mid Cap
133608,7612,1,Union Bank Of India,Bank,Banking,Domestic Equities,1236367.0,1223285.0,1.0694155491157007,18.1486,15.386500000000002,17.951450947258948,0.816054862634321,1100,union-bank-of-india,Mid Cap
152238,8313,1,MRF Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1306.0,1275.0,2.431372549019608,18.1358,17.1494,5.751804727862192,0.815479308473574,1100,mrf,Mid Cap
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,72256.0,71481.0,1.0842041941215148,17.8306,17.6222,1.1825992214365924,0.801755938953281,1100,mankind-pharma,Mid Cap
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,79233.0,78477.0,0.9633395772009633,17.7593,12.2903,44.498506952637456,0.798549922417249,1100,ge-vernova-td-india,Mid Cap
191600,99819,1,FSN E-Commerce Ventures Ltd.,Retailing,Information Technology,Domestic Equities,872039.0,862801.0,1.0706988054024045,17.7251,16.7703,5.693398448447554,0.797012113644005,1100,fsn-e-commerce-ventures,Mid Cap
153586,8183,1,NHPC Ltd.,Power,Power,Domestic Equities,2024491.0,2003076.0,1.0691057154097,17.696099999999998,17.1844,2.977700705290836,0.795708123748565,1100,nhpc,Mid Cap
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,191640.0,189625.0,1.0626235992089652,17.651,16.564700000000002,6.557921362898204,0.79368019463531,1100,sbi-cards-and-payment-services,Mid Cap
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,34026.0,33646.0,1.1294061701242346,17.3482,17.2133,0.78369632783952,0.780064741520157,1100,alkem-laboratories,Mid Cap
