CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
95548,5980.0,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,1677270.0,1677270.0,0.0,1083.1306,990.5369999999999,9.347818405571928,3.07028878215442,1100,persistent-systems,Mid Cap,Dec-2024
76200,82667.0,1,BSE Ltd.,Finance,Finance,Domestic Equities,1894500.0,1894500.0,0.0,1008.8969999999999,884.8736,14.015945328236706,2.85986301324074,1100,bse,Mid Cap,Dec-2024
152636,5140.0,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,13256434.0,13256434.0,0.0,954.2644,873.8641,9.20054960490996,2.70499908554824,1100,fortis-healthcare,Mid Cap,Dec-2024
152604,5456.0,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,20000000.0,20000000.0,0.0,897.0,990.6,-9.448818897637794,2.54267494390105,1100,power-finance-corporation,Large Cap,Dec-2024
152379,5838.0,1,Voltas Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,5000000.0,5000000.0,0.0,894.975,829.125,7.942107643600181,2.53693479143573,1100,voltas,Mid Cap,Dec-2024
171685,5596.0,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,40000000.0,40000000.0,0.0,800.08,843.12,-5.104848657367872,2.26794132565926,1100,the-federal-bank,Mid Cap,Dec-2024
57445,86554.0,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,430000.0,430000.0,0.0,771.2609,679.7182,13.467742955830797,2.18624946002294,1100,dixon-technologies-india,Mid Cap,Dec-2024
38605,83193.0,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,12000000.0,12590165.0,-4.687508066812468,766.2,782.1010000000001,-2.0331133702680417,2.17190361428873,1100,varun-beverages,Large Cap,Dec-2024
171404,5514.0,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,5335000.0,5500000.0,-3.0,746.2864999999999,897.49,-16.84737434400384,2.1154559470698,1100,cholamandalam-financial-holdings,Small Cap,Dec-2024
152369,6790.0,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5444007.0,3400000.0,60.11785294117647,707.4486999999999,452.965,56.18175797247027,2.00536464167823,1100,bharat-forge,Mid Cap,Dec-2024
77009,96064.0,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,5800000.0,5800000.0,0.0,654.327,568.255,15.146721102322017,1.85478357638567,1100,max-healthcare-institute,Mid Cap,Dec-2024
153260,8051.0,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,3727054.0,3727054.0,0.0,631.3629,615.1689,2.632447771660761,1.78968854664293,1100,prestige-estates-projects,Mid Cap,Dec-2024
