CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
152064,6806,1,3M India Ltd.,Diversified,Diversified,Domestic Equities,36145.0,36145.0,0.0,108.04549999999999,109.85600000000001,-1.6480665598601907,4.74507148325468,1100,3m-india,Mid Cap,Jan-2025
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,548693.0,548693.0,0.0,95.2586,86.0405,10.71367553652061,4.18350478636097,1100,bajaj-finserv,Large Cap,Jan-2025
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,256670.0,206670.0,24.19315817486815,94.0606,73.6128,27.7775060858981,4.13089180722774,1100,avenue-supermarts,Large Cap,Jan-2025
191600,99819,1,FSN E-Commerce Ventures Ltd.,Retailing,Information Technology,Domestic Equities,5394622.0,5394622.0,0.0,91.1152,88.3423,3.1388134562944465,4.00153765969935,1100,fsn-e-commerce-ventures,Mid Cap,Jan-2025
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,99958.0,99958.0,0.0,77.2046,86.73610000000001,-10.989080671139243,3.39062104239495,1100,info-edge-india,Large Cap,Jan-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,764999.0,764999.0,0.0,75.4366,81.4494,-7.382252048511097,3.31297517669583,1100,axis-bank,Large Cap,Jan-2025
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,3350000.0,1850000.0,81.08108108108108,73.81729999999999,51.4393,43.50370242207804,3.24185982017627,1100,eternal,Large Cap,Jan-2025
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,694240.0,694240.0,0.0,71.1353,63.5021,12.02038987687021,3.12407350128202,1100,tata-consumer-products,Large Cap,Jan-2025
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1000000.0,1000000.0,0.0,70.39,71.81,-1.9774404679014066,3.09134190416349,1100,jubilant-foodworks,Mid Cap,Jan-2025
19510,6302,1,ZF Commercial Vehicle Control Systems India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,63540.0,63540.0,0.0,70.11,76.5273,-8.385634930279776,3.07904504760481,1100,zf-commercial-vehicle-control-systems-india,Small Cap,Jan-2025
