CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,82977.0,81653.0,1.6214958421613412,63.1455,61.2234,3.139485882848715,4.47966407437736,1100,apollo-hospitals-enterprise,Large Cap,Aug-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,445256.0,438146.0,1.6227467556476607,62.237899999999996,64.9069,-4.112043557772743,4.4152771724777,1100,icici-bank,Large Cap,Aug-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,634392.0,312132.0,103.2447810541694,60.3687,62.994499999999995,-4.168300407178403,4.28267250408762,1100,hdfc-bank,Large Cap,Aug-2025
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1451921.0,1428739.0,1.6225496749231314,59.4925,58.856899999999996,1.0799073685498286,4.22051317900555,1100,itc,Large Cap,Aug-2025
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,748953.0,736995.0,1.622534752610262,57.8229,55.68,3.848599137931034,4.10206852121394,1100,hdfc-life-insurance-company,Large Cap,Aug-2025
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,95754.0,94225.0,1.6227115945874238,55.7671,54.3772,2.5560345144656176,3.95622608740464,1100,britannia-industries,Large Cap,Aug-2025
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,346728.0,341191.0,1.6228446823040465,55.2858,58.2311,-5.057950133176254,3.922081733191,1100,sun-pharmaceutical-industries,Large Cap,Aug-2025
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,289105.0,284489.0,1.6225583414472968,54.6062,54.459700000000005,0.269006256002138,3.8738695928968,1100,bharti-airtel,Large Cap,Aug-2025
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,416931.0,410274.0,1.622574182131941,52.5375,52.1171,0.8066450358903309,3.72711200810193,1100,dr-reddy's-laboratories,Large Cap,Aug-2025
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,168025.0,165342.0,1.6226971973243336,51.252700000000004,47.449799999999996,8.014575403900562,3.63596580761639,1100,pidilite-industries,Large Cap,Aug-2025
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,281488.0,276994.0,1.6224178141042767,50.822700000000005,50.9863,-0.32087050835223724,3.60546077476397,1100,sbi-life-insurance-company,Large Cap,Aug-2025
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,81189.0,79892.0,1.6234416462224004,49.781000000000006,52.6928,-5.525992165912599,3.53156055913057,1100,divis-laboratories,Large Cap,Aug-2025
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,545189.0,536484.0,1.622601978810179,47.859399999999994,47.275,1.2361713379164379,3.3952385332487,1100,bajaj-finance,Large Cap,Aug-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,241853.0,237992.0,1.6223234394433426,47.4104,47.0891,0.6823235101116842,3.36338560359583,1100,kotak-mahindra-bank,Large Cap,Aug-2025
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,143069.0,140785.0,1.6223319245658274,46.878,39.445100000000004,18.843658654687147,3.32561611640833,1100,tvs-motor-company,Large Cap,Aug-2025
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,36744.0,36157.0,1.6234753989545592,46.444399999999995,44.2887,4.867381521697402,3.29485569258319,1100,ultratech-cement,Large Cap,Aug-2025
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,239411.0,235588.0,1.6227481875137955,45.8113,45.8925,-0.1769352290679281,3.24994235235327,1100,bajaj-finserv,Large Cap,Aug-2025
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,236634.0,232856.0,1.6224619507335007,43.5312,44.8714,-2.986757712039304,3.08818764210491,1100,icici-lombard-general-insurance-company,Mid Cap,Aug-2025
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,156538.0,154038.0,1.6229761487425183,43.4487,42.305,2.7034629476421204,3.08233493231346,1100,grasim-industries,Large Cap,Aug-2025
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,14549.0,14317.0,1.6204512118460572,42.592200000000005,44.110699999999994,-3.442475408460974,3.02157316338766,1100,shree-cement,Large Cap,Aug-2025
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,321311.0,316180.0,1.6228097918906952,42.123900000000006,42.374399999999994,-0.5911588128681298,2.98835105435327,1100,united-spirits,Large Cap,Aug-2025
152331,7581,1,Torrent Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,113791.0,111974.0,1.6226981263507598,40.5073,41.8996,-3.322943417120928,2.87366631921556,1100,torrent-pharmaceuticals,Large Cap,Aug-2025
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,129716.0,127645.0,1.6224685651611892,40.0135,38.763200000000005,3.2254819003590964,2.83863519079109,1100,tata-consultancy-services,Large Cap,Aug-2025
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,266524.0,262268.0,1.6227675507496149,39.4829,38.388200000000005,2.8516575405984077,2.80099339908994,1100,tech-mahindra,Large Cap,Aug-2025
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,204848.0,201577.0,1.6227049713012893,38.8166,38.8862,-0.17898380402302194,2.75372478655607,1100,lupin,Large Cap,Aug-2025
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,262888.0,258691.0,1.6223989238125796,38.2449,37.9733,0.7152393918885073,2.71316728124973,1100,hcl-technologies,Large Cap,Aug-2025
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,9435.0,9285.0,1.615508885298869,37.7023,37.4975,0.5461697446496437,2.67467418630619,1100,bosch,Mid Cap,Aug-2025
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,251615.0,247598.0,1.6223879029717527,36.9773,37.3625,-1.0309802609568413,2.62324128207828,1100,infosys,Large Cap,Aug-2025
171321,7864,1,Page Industries Ltd.,Textile,Textile,Domestic Equities,6859.0,6750.0,1.6148148148148147,30.4094,32.943400000000004,-7.69198079129659,2.15730173493552,1100,page-industries,Mid Cap,Aug-2025
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,325931.0,320727.0,1.6225637380077138,26.1886,25.895500000000002,1.1318568863315999,1.85787000781115,1100,sbi-cards-and-payment-services,Mid Cap,Aug-2025
