CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,6206349.0,6206349.0,0.0,1235.3738,1155.9325,6.872486066444196,13.3134910642181,1100,sun-pharmaceutical-industries,Large Cap,Jul-2026
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,2783991.0,2783991.0,0.0,672.3338,673.4474,-0.16535812596499827,7.24566931763631,1100,lupin,Mid Cap,Jul-2026
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,750754.0,750754.0,0.0,604.8074,493.9211,22.45020510360865,6.51794454073168,1100,divis-laboratories,Large Cap,Jul-2026
133330,5128,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,3795054.0,3795054.0,0.0,559.0874,556.1272,0.5322882966342893,6.02522499992869,1100,cipla,Large Cap,Jul-2026
38020,6672,1,Apollo Hospitals Enterprise Ltd.,Healthcare,Healthcare,Domestic Equities,548795.0,548795.0,0.0,491.5557,476.4638,3.167480929296208,5.297443105492,1100,apollo-hospitals-enterprise,Large Cap,Jul-2026
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,4049746.0,4449746.0,-8.989277140762642,464.95129999999995,603.875,-23.005373628648318,5.01073033752745,1100,dr-reddys-laboratories,Mid Cap,Jul-2026
1152,105806,1,Mankind Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,1404429.0,1431195.0,-1.8701854045046273,346.8378,364.325,-4.799890207918757,3.73783380466143,1100,mankind-pharma,Mid Cap,Jul-2026
861,112211,1,Sai Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,2555745.0,2555745.0,0.0,336.106,315.4556,6.54621442764052,3.62217834604399,1100,sai-life-sciences,Small Cap,Jul-2026
133495,5019,1,Ajanta Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,913918.0,913918.0,0.0,316.6909,312.8067,1.241725321100865,3.41294389379892,1100,ajanta-pharma,Mid Cap,Jul-2026
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,2658082.0,2658082.0,0.0,291.9903,300.1639,-2.723045642730524,3.14674817442975,1100,max-healthcare-institute,Mid Cap,Jul-2026
59506,99993,1,Medplus Health Services Ltd.,Retailing,Retailing,Domestic Equities,3545229.0,3545229.0,0.0,249.9209,287.4294,-13.049639320125216,2.6933707586411,1100,medplus-health-services,Small Cap,Jul-2026
152386,5556,1,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,928841.0,913226.0,1.7098724740644704,246.6444,223.7678,10.223365470813942,2.6580602692395,1100,glaxosmithkline-pharmaceuticals,Mid Cap,Jul-2026
352,7184,1,Ipca Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1364742.0,1364742.0,0.0,238.5296,232.1426,2.7513261245458644,2.57060793919339,1100,ipca-laboratories,Mid Cap,Jul-2026
