CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,346135.0,,,27.6164,,,9.24615591680455,1100,dlf,Large Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,30828.0,,,26.5337,,,8.88366069617028,1100,bajaj-auto,Large Cap
152391,5643,1,Pfizer Ltd.,Healthcare,Healthcare,Domestic Equities,44505.0,44505.0,0.0,24.982,19.1051,30.760896305175052,8.36414113040119,1100,pfizer,Small Cap
58155,95800,1,Life Insurance Corporation of India,Insurance,Finance,Domestic Equities,250000.0,250000.0,0.0,23.8613,19.893800000000002,19.943399451085263,7.98892325493723,1100,life-insurance-corporation-of-india,Large Cap
75882,7888,1,Zydus Wellness Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,115996.0,115996.0,0.0,22.6123,20.4756,10.43534743792612,7.57074967908777,1100,zydus-wellness,Small Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,778646.0,1109451.0,-29.81699957907109,22.319899999999997,28.8923,-22.747929379107937,7.47285219824039,1100,jio-financial-services,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,257232.0,257232.0,0.0,19.9831,19.1303,4.457849589394833,6.69047588755584,1100,hdfc-life-insurance-company,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,28190.0,,,18.639200000000002,,,6.24052915530277,1100,divi's-laboratories,Large Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,421465.0,421465.0,0.0,16.5551,16.2011,2.185036818487639,5.54275849923564,1100,tata-power-company,Large Cap
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,111597.0,111597.0,0.0,12.8091,13.7164,-6.614709398967659,4.28857257839332,1100,aurobindo-pharma,Mid Cap
229270,113158,1,Aditya Birla Lifestyle Brands Ltd.,Others,,Domestic Equities,749000.0,,,12.804200000000002,,,4.2869320255337,1100,aditya-birla-lifestyle-brands,
38708,8062,1,Adani Power Ltd.,Power,Power,Domestic Equities,179705.0,,,9.7724,,,3.27186505414829,1100,adani-power,Large Cap
139932,15713,1,Adani Energy Solutions Ltd.,Power,Power,Domestic Equities,112000.0,112000.0,0.0,9.7126,10.0761,-3.6075465705977536,3.25184361312683,1100,adani-energy-solutions,Large Cap
133402,7102,1,HFCL Ltd.,Telecom,Telecom,Domestic Equities,1060000.0,1060000.0,0.0,9.284500000000001,8.4153,10.328805865506883,3.10851286226923,1100,hfcl,Small Cap
