CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,62373.0,62373.0,0.0,41.24100000000001,37.9664,8.62499473218426,9.8892213458127,1100,divi's-laboratories,Large Cap
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,705164.0,705164.0,0.0,39.4398,35.6073,10.763242368840098,9.45730976539326,1100,aster-dm-healthcare,Small Cap
38332,5334,1,RPG Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,150529.0,150529.0,0.0,32.833400000000005,31.480100000000004,4.298906293182039,7.87315438848734,1100,rpg-life-sciences,Small Cap
75679,8032,1,Sequent Scientific Ltd.,Healthcare,Healthcare,Domestic Equities,1477126.0,1346320.0,9.715817933329372,28.3372,19.4005,46.064276693899636,6.79500601635662,1100,sequent-scientific,Small Cap
152391,5643,1,Pfizer Ltd.,Healthcare,Healthcare,Domestic Equities,48231.0,48231.0,0.0,27.0735,20.7046,30.760797117548748,6.49198210775345,1100,pfizer,Small Cap
189369,98614,1,Alivus Life Sciences Ltd.,Healthcare,Healthcare,Domestic Equities,246298.0,246298.0,0.0,25.637199999999996,27.191300000000002,-5.715431038604271,6.14757026955867,1100,alivus-life-sciences,Small Cap
75882,7888,1,Zydus Wellness Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,128346.0,128346.0,0.0,25.0198,22.6556,10.435389042885648,5.99952329545754,1100,zydus-wellness,Small Cap
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,217300.0,217300.0,0.0,24.9417,26.708299999999998,-6.614423231729457,5.98079561700387,1100,aurobindo-pharma,Mid Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,311688.0,,,24.2135,,,5.80617979818229,1100,hdfc-life-insurance-company,Large Cap
152609,8054,1,SMS Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,833213.0,833213.0,0.0,22.0585,19.637999999999998,12.325593237600568,5.28943015583059,1100,sms-pharmaceuticals,Small Cap
133402,7102,1,HFCL Ltd.,Telecom,Telecom,Domestic Equities,2390000.0,2390000.0,0.0,20.934,18.9742,10.328762213953684,5.01978515684011,1100,hfcl,Small Cap
420,5071,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,77249.0,,,12.9593,,,3.10752373091803,1100,sun-pharmaceutical-industries,Large Cap
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,56976.0,56976.0,0.0,11.154200000000001,11.9399,-6.580457122756467,2.674676965531,1100,lupin,Mid Cap
61269,112232,1,Suraksha Diagnostic Ltd.,Healthcare,Healthcare,Domestic Equities,337413.0,340136.0,-0.8005621280899405,10.8343,10.1769,6.459727421906475,2.59796781908631,1100,suraksha-diagnostic,Small Cap
221905,112380,1,Laxmi Dental Ltd.,Healthcare,Healthcare,Domestic Equities,54425.0,,,2.0886,,,0.500827518800815,1100,laxmi-dental,
