CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,905161.0,905161.0,0.0,332.6557,302.4143,9.999990079834186,9.87104039784255,1100,larsen-toubro,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,2279308.0,2446836.0,-6.846719600332837,323.8669,343.7805,-5.7925333170438815,9.61024643024014,1100,reliance-industries,Large Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,6780875.0,6780875.0,0.0,266.3528,260.6568,2.1852489557149424,7.90360498520987,1100,tata-power-company,Large Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,16000000.0,16000000.0,0.0,244.99200000000002,213.232,14.894574923088467,7.26975647538353,1100,samvardhana-motherson-international,Large Cap
58155,95800,1,Life Insurance Corporation of India,Insurance,Finance,Domestic Equities,2387100.0,2387100.0,0.0,227.8368,189.9535,19.943459846751978,6.7607026030673,1100,life-insurance-corporation-of-india,Large Cap
152241,8254,1,NCC Ltd.,Infrastructure,Infrastructure,Domestic Equities,8706522.0,6750000.0,28.985511111111112,201.2861,143.0325,40.727526960655794,5.97285188446846,1100,ncc,Small Cap
152192,8410,1,Kalyani Steels Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,2427737.0,2427737.0,0.0,192.9565,169.62599999999998,13.754082510935842,5.7256839625063,1100,kalyani-steels,Small Cap
38708,8062,1,Adani Power Ltd.,Power,Power,Domestic Equities,3377273.0,3050000.0,10.730262295081967,183.6561,162.27530000000002,13.175634246246965,5.44970906078029,1100,adani-power,Large Cap
653,111996,1,Afcons Infrastructure Ltd.,Infrastructure,Infrastructure,Domestic Equities,4319654.0,4319654.0,0.0,182.743,180.8423,1.0510262256120373,5.42261423875479,1100,afcons-infrastructure,Small Cap
152719,5290,1,NBCC (India) Ltd.,Realty,Realty,Domestic Equities,10890177.0,7650177.0,42.351961268347125,134.34120000000001,72.822,84.47886627667465,3.98636612057045,1100,nbcc-india,Small Cap
152551,7908,1,GMR Airports Ltd.,Infrastructure,Aviation,Domestic Equities,13947931.0,13947931.0,0.0,117.27420000000001,121.61200000000001,-3.566917738381086,3.47992944604487,1100,gmr-airports,Mid Cap
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,1425600.0,,,113.7415,,,3.37510206923016,1100,dlf,Large Cap
152171,5129,1,Simplex Infrastructures Ltd.,Infrastructure,Infrastructure,Domestic Equities,2595156.0,,,75.7656,,,2.24822631437483,1100,simplex-infrastructures,Small Cap
60,6317,1,Mangalam Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,869494.0,869494.0,0.0,70.12899999999999,67.5597,3.803006822114358,2.08096897801631,1100,mangalam-cement,Small Cap
131,7518,1,Swan Energy Ltd.,Textile,Textile,Domestic Equities,1200000.0,1200000.0,0.0,52.062,48.216,7.976605276256832,1.54485885915221,1100,swan-energy,Small Cap
57081,5894,1,Om Infra Ltd.,Infrastructure,Infrastructure,Domestic Equities,3772048.0,3772048.0,0.0,48.7575,43.438900000000004,12.243864370414528,1.44680296233556,1100,om-infra,Small Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,1619230.0,1619230.0,0.0,46.415200000000006,42.168,10.072092582052747,1.37729885366143,1100,jio-financial-services,Large Cap
114411,5677,1,Welspun Corp Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,451282.0,451282.0,0.0,42.2197,34.6359,21.895778657404602,1.25280391793916,1100,welspun-corp,Small Cap
182,6786,1,Bharat Bijlee Ltd.,Capital Goods,Capital Goods,Domestic Equities,128940.0,128940.0,0.0,38.4009,37.6737,1.9302590401261426,1.1394869686992,1100,bharat-bijlee,Small Cap
38457,7732,1,The Orissa Minerals Development Company Ltd.,Mining,Mining,Domestic Equities,69173.0,69173.0,0.0,35.2402,35.061,0.5111092096631605,1.04569811317843,1100,the-orissa-minerals-development-company,Small Cap
84351,88646,1,Adani Green Energy Ltd.,Power,Power,Domestic Equities,304612.0,,,30.8983,,,0.916858985204999,1100,adani-green-energy,Large Cap
75697,6614,1,Adani Enterprises Ltd.,Trading,Trading,Domestic Equities,100000.0,100000.0,0.0,25.199,23.013,9.498978838048055,0.747741123886452,1100,adani-enterprises,Large Cap
152111,6943,1,Dredging Corporation Of India Ltd.,Logistics,Logistics,Domestic Equities,251146.0,251146.0,0.0,20.4219,14.488599999999998,40.951506701820755,0.605988112936892,1100,dredging-corporation-of-india,Small Cap
198024,103992,1,GMR Power and Urban Infra Ltd.,Power,Power,Domestic Equities,1578178.0,1578178.0,0.0,18.0654,17.906,0.890204400759525,0.536062641353161,1100,gmr-power-and-urban-infra,Small Cap
139932,15713,1,Adani Energy Solutions Ltd.,Power,Power,Domestic Equities,197000.0,197000.0,0.0,17.0838,17.7231,-3.6071567615146245,0.506935188390467,1100,adani-energy-solutions,Large Cap
217,5749,1,Ravindra Energy Ltd.,Power,Power,Domestic Equities,675508.0,,,10.9648,,,0.325363382483042,1100,ravindra-energy,Small Cap
78882,109773,1,JSW Infrastructure Ltd.,Logistics,Logistics,Domestic Equities,276167.0,,,8.0323,,,0.238346006960322,1100,jsw-infrastructure,Mid Cap
