CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,592640.0,647363.0,-8.453217128566198,84.20819999999999,90.95450000000001,-7.417225096064526,9.68916904710894,1100,reliance-industries,Large Cap
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,619877.0,619877.0,0.0,71.1495,76.1891,-6.6145944761127256,8.18660811081673,1100,aurobindo-pharma,Mid Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,4566777.0,4566777.0,0.0,69.92649999999999,60.8614,14.894662298271141,8.04588721018456,1100,samvardhana-motherson-international,Large Cap
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,260000.0,260000.0,0.0,66.1908,71.175,-7.002739726027399,7.61604986881774,1100,grasim-industries,Large Cap
75882,7888,1,Zydus Wellness Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,250000.0,200000.0,25.0,48.735,35.304,38.04384772263766,5.60754954399755,1100,zydus-wellness,Small Cap
217,5749,1,Ravindra Energy Ltd.,Power,Power,Domestic Equities,2432432.0,2432432.0,0.0,39.483200000000004,26.644899999999996,48.18295433647717,4.54301836781705,1100,ravindra-energy,Small Cap
133403,4970,1,Himadri Speciality Chemical Ltd.,Chemicals,Chemicals,Domestic Equities,827000.0,827000.0,0.0,39.0675,36.1978,7.927829868113526,4.49518706904943,1100,himadri-speciality-chemical,Small Cap
171527,5073,1,Ador Welding Ltd.,Capital Goods,Capital Goods,Domestic Equities,379436.0,379436.0,0.0,37.2265,33.2727,11.883015204657275,4.28335781470452,1100,ador-welding,Small Cap
133806,98191,1,Laxmi Organic Industries Ltd.,Chemicals,Chemicals,Domestic Equities,1699650.0,1699650.0,0.0,34.6729,29.7388,16.59145627933877,3.989535335674,1100,laxmi-organic-industries,Small Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,40022.0,,,34.4469,,,3.96353130988261,1100,bajaj-auto,Large Cap
37869,8746,1,Gujarat Themis Biosyn Ltd.,Healthcare,Healthcare,Domestic Equities,996000.0,996000.0,0.0,30.577199999999998,27.494600000000002,11.211656107017369,3.5182756523386,1100,gujarat-themis-biosyn,Small Cap
133302,6421,1,BASF India Ltd.,Chemicals,Chemicals,Domestic Equities,54384.0,54384.0,0.0,28.348200000000002,23.8811,18.705587263568262,3.26180231831643,1100,basf-india,Small Cap
171823,5029,1,Arvind Ltd.,Textile,Textile,Domestic Equities,696183.0,696183.0,0.0,24.9164,25.3271,-1.6215832053413208,2.86693233729477,1100,arvind,Small Cap
19181,6895,1,Heubach Colorants India Ltd.,Chemicals,Chemicals,Domestic Equities,422413.0,542155.0,-22.08630373232747,24.7661,31.862399999999997,-22.271705835090884,2.84963850952288,1100,heubach-colorants-india,Small Cap
139932,15713,1,Adani Energy Solutions Ltd.,Power,Power,Domestic Equities,270000.0,270000.0,0.0,23.4144,24.290599999999998,-3.607156677891855,2.69410912163694,1100,adani-energy-solutions,Large Cap
152391,5643,1,Pfizer Ltd.,Healthcare,Healthcare,Domestic Equities,39500.0,39500.0,0.0,22.1725,16.9566,30.760293926848536,2.55121354805141,1100,pfizer,Small Cap
133402,7102,1,HFCL Ltd.,Telecom,Telecom,Domestic Equities,2419565.0,2419565.0,0.0,21.193,19.2089,10.329066214098678,2.43851025927855,1100,hfcl,Small Cap
171884,5613,1,Bata India Ltd.,FMCG,Retailing,Domestic Equities,141018.0,306000.0,-53.9156862745098,17.8219,36.977,-51.80274224517943,2.05062454536103,1100,bata-india,Small Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,22255.0,,,14.715,,,1.69313822796602,1100,divi's-laboratories,Large Cap
19174,6780,1,Bayer CropScience Ltd.,Chemicals,Chemicals,Domestic Equities,23948.0,23948.0,0.0,13.5984,11.2326,21.06190908605309,1.56465993062678,1100,bayer-cropscience,Small Cap
229270,113158,1,Aditya Birla Lifestyle Brands Ltd.,Others,,Domestic Equities,500000.0,,,8.5475,,,0.983492966601396,1100,aditya-birla-lifestyle-brands,
56663,6029,1,Huhtamaki India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,355348.0,783566.0,-54.64989547785382,7.2946,14.931600000000001,-51.14656165447775,0.839331710344609,1100,huhtamaki-india,Small Cap
152243,6089,1,Nahar Spinning Mills Ltd.,Textile,Textile,Domestic Equities,206566.0,206566.0,0.0,6.0503,4.4354000000000005,36.40934301303151,0.696159987812627,1100,nahar-spinning-mills,Small Cap
221905,112380,1,Laxmi Dental Ltd.,Healthcare,Healthcare,Domestic Equities,120921.0,,,4.6403,,,0.533922481768992,1100,laxmi-dental,
95549,7450,1,Aditya Birla Fashion and Retail Ltd.,Retailing,Retailing,Domestic Equities,404444.0,500000.0,-19.1112,3.4722000000000004,13.1775,-73.65054069436539,0.399518488287027,1100,aditya-birla-fashion-and-retail,Mid Cap
