CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,14055.0,14055.0,0.0,4.9093,4.727799999999999,3.8389948813401658,5.3180940158724,1100,tvs-motor-company,Large Cap,Apr-2026
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,51550.0,51550.0,0.0,3.9781,3.7711,5.4891145819522125,4.30935363586295,1100,hdfc-bank,Large Cap,Apr-2026
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,42122.0,40911.0,2.960084084964924,3.2645,3.0107999999999997,8.42633187192773,3.53633265736774,1100,marico,Mid Cap,Apr-2026
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,30387.0,29353.0,3.5226382311859092,2.8473,2.3528000000000002,21.017511050663046,3.084392701891,1100,bajaj-finance,Large Cap,Apr-2026
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,71188.0,71188.0,0.0,2.7286,2.5158,8.45854201446856,2.95580863498043,1100,kotak-mahindra-bank,Large Cap,Apr-2026
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,5661.0,5661.0,0.0,2.7173000000000003,2.761,-1.5827598696124607,2.94356769179518,1100,persistent-systems,Mid Cap,Apr-2026
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,14729.0,14702.0,0.18364848319956467,2.597,2.5149,3.2645433218020514,2.81325039399112,1100,icici-lombard-general-insurance-company,Mid Cap,Apr-2026
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,42140.0,40554.0,3.9108349361345365,2.4732,2.3951,3.26082418270636,2.67914165360756,1100,hdfc-life-insurance-company,Large Cap,Apr-2026
38589,8580,1,VA Tech Wabag Ltd.,Business Services,Other,Domestic Equities,15186.0,13911.0,9.165408669398317,2.2925,1.6100999999999999,42.38246071672568,2.48339488957437,1100,va-tech-wabag,Small Cap,Apr-2026
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,18394.0,16861.0,9.091987426605778,2.1738,2.1086,3.0920990230484593,2.35481082266381,1100,infosys,Large Cap,Apr-2026
177212,94646,1,Hitachi Energy India Ltd.,Capital Goods,Capital Goods,Domestic Equities,644.0,644.0,0.0,2.1606,1.5607,38.43788043826489,2.34051166779254,1100,hitachi-energy-india,Mid Cap,Apr-2026
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,6765.0,6765.0,0.0,2.0955,1.9989,4.832657961879047,2.26999083581378,1100,mahindra-mahindra,Large Cap,Apr-2026
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,72914.0,63300.0,15.187993680884675,2.0923,1.642,27.423873325213155,2.26652437402681,1100,the-federal-bank,Mid Cap,Apr-2026
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,11837.0,11837.0,0.0,2.0682,1.9316,7.071857527438391,2.24041758369366,1100,bajaj-finserv,Large Cap,Apr-2026
152374,6232,1,Bosch Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,566.0,566.0,0.0,2.0373,1.6269999999999998,25.218192993239093,2.20694456206319,1100,bosch,Large Cap,Apr-2026
57412,93539,1,Computer Age Management Services Ltd.,Business Services,Finance,Domestic Equities,27534.0,22500.0,22.373333333333335,2.0337,1.4080000000000001,44.438920454545446,2.20304479255285,1100,computer-age-management-services,Small Cap,Apr-2026
57620,82559,1,ICICI Prudential Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,39386.0,39386.0,0.0,2.0238,2.0069,0.842094773033035,2.1923204263994,1100,icici-prudential-life-insurance-company,Mid Cap,Apr-2026
133425,7180,1,Ion Exchange (India) Ltd.,Business Services,Other,Domestic Equities,47415.0,42688.0,11.073369565217392,1.8795,1.3675,37.44058500914076,2.03600466519304,1100,ion-exchange-india,Small Cap,Apr-2026
96732,87407,1,Amber Enterprises India Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,2285.0,2285.0,0.0,1.8335,1.4964,22.527399091152105,1.98617427700528,1100,amber-enterprises-india,Small Cap,Apr-2026
152578,8075,1,LT Foods Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,42450.0,37999.0,11.71346614384589,1.8281,1.3805,32.42303513219847,1.98032462273977,1100,lt-foods,Small Cap,Apr-2026
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,4163.0,4163.0,0.0,1.8256000000000001,1.645,10.978723404255321,1.97761644946869,1100,titan-company,Large Cap,Apr-2026
95265,83775,1,Central Depository Services (India) Ltd.,Business Services,Finance,Domestic Equities,14182.0,14182.0,0.0,1.804,1.5875,13.637795275590555,1.95421783240662,1100,central-depository-services-india,Small Cap,Apr-2026
171915,6797,1,Tata Consultancy Services Ltd.,IT,Information Technology,Domestic Equities,7276.0,7276.0,0.0,1.8,1.7163,4.8767697954903015,1.9498847551729,1100,tata-consultancy-services,Large Cap,Apr-2026
152407,5597,1,Castrol India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,93125.0,93125.0,0.0,1.7211,1.6159000000000001,6.5103038554366055,1.86441480673782,1100,castrol-india,Small Cap,Apr-2026
152286,7340,1,Rallis India Ltd.,Chemicals,Chemicals,Domestic Equities,63031.0,59384.0,6.14138488481746,1.6761000000000001,1.2961,29.318725406990197,1.8156676878585,1100,rallis-india,Small Cap,Apr-2026
26837,16127,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,59398.0,59398.0,0.0,1.6178,1.3281,21.813116482192605,1.75251308717707,1100,crompton-greaves-consumer-electricals,Small Cap,Apr-2026
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,12871.0,12871.0,0.0,1.5968,1.5324,4.202558078830591,1.72976443170005,1100,havells-india,Mid Cap,Apr-2026
171528,8219,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,12942.0,12285.0,5.347985347985348,1.5519,1.6481999999999999,-5.842737531852928,1.68112563975157,1100,hcl-technologies,Large Cap,Apr-2026
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1140.0,1140.0,0.0,1.5178,1.4028999999999998,8.190177489486071,1.64418615633413,1100,maruti-suzuki-india,Large Cap,Apr-2026
