CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,1772.0,1772.0,0.0,0.9451,0.9292,1.7111493758071497,3.95601543729228,1100,interglobe-aviation,Large Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,12513.0,12512.0,0.0079923273657289,0.8003,0.7644,4.696493982208272,3.34990916777591,1100,shriram-finance,Large Cap
171462,6372,1,Divi's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,1146.0,1146.0,0.0,0.7578,0.6975,8.645161290322582,3.17201195469272,1100,divi's-laboratories,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,9680.0,9679.0,0.010331645831180907,0.7524,0.72,4.499999999999993,3.14940854408921,1100,hdfc-life-insurance-company,Large Cap
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,6644.0,6644.0,0.0,0.7474,0.7283,2.6225456542633485,3.12847946019707,1100,max-healthcare-institute,Mid Cap
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,100641.0,100633.0,0.007949678534874246,0.7192000000000001,0.5672,26.79830747531736,3.0104394270454,1100,suzlon-energy,Mid Cap
152242,5741,1,Vedanta Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,15121.0,15120.0,0.006613756613756614,0.659,0.6338,3.976017671189654,2.75845325698404,1100,vedanta,Large Cap
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,7937.0,7936.0,0.012600806451612902,0.6109,0.6254,-2.318516149664208,2.55711546994165,1100,the-indian-hotels-company,Mid Cap
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,3781.0,3781.0,0.0,0.6054999999999999,0.5640999999999999,7.339124268746677,2.53451205933814,1100,cholamandalam-investment-and-finance-company,Large Cap
152316,5915,1,Tata Power Company Ltd.,Power,Power,Domestic Equities,14943.0,14941.0,0.013385984873837093,0.5869,0.574,2.24738675958188,2.45665586725938,1100,tata-power-company,Large Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2094.0,2093.0,0.047778308647873864,0.5824,0.5586,4.260651629072687,2.43781969175645,1100,tvs-motor-company,Large Cap
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,12165.0,12164.0,0.008220979940808944,0.5789,0.6336999999999999,-8.647625059176262,2.42316933303195,1100,varun-beverages,Large Cap
152376,5012,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,17557.0,17556.0,0.0056960583276372745,0.5586,0.5445,2.589531680440765,2.33819725242987,1100,bharat-petroleum-corporation,Large Cap
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,1346.0,1346.0,0.0,0.5387,0.5637,-4.434983147064042,2.25489949853915,1100,avenue-supermarts,Large Cap
95548,5980,1,Persistent Systems Ltd.,IT,Information Technology,Domestic Equities,953.0,953.0,0.0,0.5371,0.5065999999999999,6.020529016975926,2.24820219169367,1100,persistent-systems,Mid Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,13058.0,13057.0,0.00765872711955273,0.5299,0.5314,-0.28227324049679825,2.21806431088898,1100,power-finance-corporation,Large Cap
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,2974.0,2973.0,0.03363605785401951,0.5236,0.4827,8.473171742282984,2.19169366518489,1100,pb-fintech,Mid Cap
171335,5389,1,Bajaj Holdings & Investment Ltd.,Finance,Finance,Domestic Equities,390.0,390.0,0.0,0.5234000000000001,0.4657,12.389950611981968,2.1908565018292,1100,bajaj-holdings-investment,Large Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,3496.0,699.0,400.1430615164521,0.4985,0.4927,1.1771869291658175,2.08662966404635,1100,info-edge-india,Large Cap
57031,5903,1,Indian Oil Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,33018.0,33016.0,0.00605766900896535,0.46869999999999995,0.45530000000000004,2.943114430046115,1.96189232404919,1100,indian-oil-corporation,Large Cap
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,5788.0,5787.0,0.017280110592707794,0.46140000000000003,0.3899,18.338035393690685,1.93133586156667,1100,dlf,Large Cap
171741,5431,1,GAIL (India) Ltd.,Inds. Gases & Fuels,Industrials Gases & Fuels,Domestic Equities,24243.0,24241.0,0.008250484715977063,0.46009999999999995,0.4578,0.5024027959807708,1.92589429975471,1100,gail-india,Large Cap
171943,4973,1,REC Ltd.,Finance,Finance,Domestic Equities,11130.0,11129.0,0.008985533291400845,0.4485,0.46909999999999996,-4.391387763803017,1.87733882512495,1100,rec,Large Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,22073.0,22071.0,0.009061664627792124,0.4459,0.4339,2.7656141968195502,1.86645570150103,1100,the-federal-bank,Mid Cap
171402,5320,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3588.0,3588.0,0.0,0.44189999999999996,0.4521,-2.256138022561387,1.84971243438732,1100,godrej-consumer-products,Large Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,904.0,903.0,0.11074197120708748,0.4325,0.3951,9.465957985320179,1.8103657566701,1100,hdfc-asset-management-company,Mid Cap
171387,6208,1,Pidilite Industries Ltd.,Chemicals,Chemicals,Domestic Equities,1372.0,1372.0,0.0,0.42619999999999997,0.41590000000000005,2.4765568646309064,1.783995110966,1100,pidilite-industries,Large Cap
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,2176.0,2176.0,0.0,0.4261,0.4558,-6.516015796401928,1.78357652928816,1100,lupin,Mid Cap
153405,17058,1,LTIMindtree Ltd.,IT,Information Technology,Domestic Equities,826.0,826.0,0.0,0.41869999999999996,0.3791,10.445792666842525,1.75260148512779,1100,ltimindtree,Large Cap
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,16742.0,16741.0,0.005973358819664297,0.418,0.41850000000000004,-0.1194743130227103,1.74967141338289,1100,bank-of-baroda,Large Cap
113818,7906,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,26576.0,26574.0,0.007526153383005946,0.40659999999999996,0.35409999999999997,14.82632024851737,1.70195310210881,1100,samvardhana-motherson-international,Large Cap
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,2139.0,2138.0,0.04677268475210477,0.4011,0.4004,0.17482517482517554,1.67893110982746,1100,icici-lombard-general-insurance-company,Mid Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1222.0,1221.0,0.08190008190008191,0.3992,0.353,13.087818696883865,1.67097805794845,1100,cummins-india,Large Cap
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,2616.0,2616.0,0.0,0.3979,0.40950000000000003,-2.8327228327228413,1.66553649613649,1100,united-spirits,Large Cap
38708,8062,1,Adani Power Ltd.,Power,Power,Domestic Equities,6937.0,6937.0,0.0,0.3778,0.369,2.384823848238489,1.58140157889009,1100,adani-power,Large Cap
165,7447,1,SRF Ltd.,Chemicals,Chemicals,Domestic Equities,1306.0,1306.0,0.0,0.3734,0.3926,-4.890473764645937,1.56298398506501,1100,srf,Mid Cap
152455,7030,1,Yes Bank Ltd.,Bank,Banking,Domestic Equities,169174.0,169161.0,0.007684986492158358,0.3632,0.2998,21.14743162108072,1.52028865392504,1100,yes-bank,Mid Cap
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,120.0,120.0,0.0,0.3553,0.3568,-0.4204035874439422,1.48722070137546,1100,shree-cement,Mid Cap
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,5021.0,5020.0,0.0199203187250996,0.348,0.34049999999999997,2.2026431718061676,1.45666423889293,1100,au-small-finance-bank,Mid Cap
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,30182.0,30179.0,0.00994068723284403,0.3465,0.294,17.857142857142858,1.45038551372529,1100,canara-bank,Mid Cap
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,2255.0,2255.0,0.0,0.3444,0.3613,-4.677553279822875,1.44159529849059,1100,havells-india,Large Cap
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,4776.0,4776.0,0.0,0.3429,0.33909999999999996,1.1206133883810163,1.43531657332295,1100,marico,Mid Cap
152334,5218,1,Ambuja Cements Ltd.,Construction Materials,Construction Materials,Domestic Equities,5981.0,5980.0,0.016722408026755852,0.3306,0.3226,2.4798512089274776,1.38383102694829,1100,ambuja-cements,Large Cap
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,31007.0,31004.0,0.009676170816668817,0.3281,0.3106,5.634256278171293,1.37336648500222,1100,punjab-national-bank,Large Cap
152369,6790,1,Bharat Forge Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2408.0,2408.0,0.0,0.2989,0.2659,12.410680707032721,1.25114063507212,1100,bharat-forge,Mid Cap
101370,86936,1,Tube Investments of India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,974.0,974.0,0.0,0.2977,0.2821,5.529953917050687,1.24611765493801,1100,tube-investments-of-india,Mid Cap
171820,5969,1,Colgate-Palmolive (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1174.0,1174.0,0.0,0.2882,0.30329999999999996,-4.9785690735245565,1.20635239554294,1100,colgate-palmolive-india,Mid Cap
84351,88646,1,Adani Green Energy Ltd.,Power,Power,Domestic Equities,2707.0,2706.0,0.03695491500369549,0.2746,0.24359999999999998,12.725779967159284,1.14942528735632,1100,adani-green-energy,Large Cap
152377,4902,1,Siemens Ltd.,Capital Goods,Capital Goods,Domestic Equities,801.0,801.0,0.0,0.26170000000000004,0.2324,12.607573149741839,1.0954282509146,1100,siemens,Large Cap
171799,4956,1,Dabur India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,5260.0,5259.0,0.019015021867275148,0.2547,0.2563,-0.6242684354272343,1.06612753346561,1100,dabur-india,Large Cap
227975,113151,1,Siemens Energy India Ltd.,Others,,Domestic Equities,801.0,801.0,0.0,0.18969999999999998,0.18969999999999998,0.0,0.794049442867787,1100,siemens-energy-india,
