CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,11014715.0,11014715.0,0.0,2142.2519,2120.3326,1.03376706088469,26.7822444247286,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,6035814.0,6035814.0,0.0,872.658,861.3107000000001,1.3174456093486309,10.9098933954475,1100,icici-bank,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,6285625.0,6285625.0,0.0,749.3722,744.8466000000001,0.6075881933273208,9.36858519089032,1100,axis-bank,Large Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,3591554.0,3191554.0,12.533079496696594,745.1397000000001,704.727,5.73451847311087,9.31567084896458,1100,kotak-mahindra-bank,Large Cap
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,2319400.0,2018698.0,14.895838803030466,348.5362,263.4401,32.30187811195033,4.35736885063148,1100,max-financial-services,Mid Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,4274765.0,4274765.0,0.0,332.0851,317.9143,4.457427677836454,4.15169864851582,1100,hdfc-life-insurance-company,Large Cap
77293,6578,1,Muthoot Finance Ltd.,Finance,Finance,Domestic Equities,1386984.0,1129041.0,22.8462031051131,307.2724,244.9906,25.422118236373148,3.84149246023448,1100,muthoot-finance,Mid Cap
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,8985585.0,8985585.0,0.0,224.2353,224.5767,-0.1520193323706307,2.80336995535042,1100,bank-of-baroda,Large Cap
77639,92991,1,SBI Cards And Payment Services Ltd.,Finance,Finance,Domestic Equities,2155232.0,2033600.0,5.981117230527144,198.5076,177.64509999999999,11.743920884955454,2.48172451772187,1100,sbi-cards-and-payment-services,Mid Cap
797,86851,1,Nippon Life India Asset Management Ltd.,Finance,Finance,Domestic Equities,2627975.0,2667235.0,-1.4719362935774314,194.7198,170.3563,14.301496334447265,2.43436977599799,1100,nippon-life-india-asset-management,Mid Cap
118743,98929,1,Aptus Value Housing Finance India Ltd.,Finance,Finance,Domestic Equities,5481117.0,5481117.0,0.0,186.7143,174.65580000000003,6.904150907098409,2.33428572064383,1100,aptus-value-housing-finance-india,Small Cap
114414,5238,1,Bank Of India,Bank,Banking,Domestic Equities,14190730.0,14190730.0,0.0,173.0418,163.4063,5.896651475493914,2.16335333080811,1100,bank-of-india,Mid Cap
79346,86555,1,Aditya Birla Capital Ltd.,Finance,Finance,Domestic Equities,7647700.0,4519577.0,69.21273827174534,170.169,88.7464,91.74749623646709,2.12743783843144,1100,aditya-birla-capital,Mid Cap
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,4155779.0,4155779.0,0.0,168.7038,169.3064,-0.35592275306780136,2.10912003718169,1100,power-finance-corporation,Large Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,300000.0,,,143.49,,,1.79389933205535,1100,hdfc-asset-management-company,Mid Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,630883.0,,,114.32860000000001,,,1.42932607969074,1100,sbi-life-insurance-company,Large Cap
152629,7733,1,ICRA Ltd.,Ratings,Ratings,Domestic Equities,153760.0,113760.0,35.16174402250351,103.6342,63.239200000000004,63.876519627066756,1.29562563355001,1100,icra,Small Cap
114451,6891,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,5281475.0,5281475.0,0.0,103.3585,93.24969999999999,10.84057106886136,1.29217885645162,1100,city-union-bank,Small Cap
58811,7827,1,Care Ratings Ltd.,Ratings,Ratings,Domestic Equities,561424.0,538620.0,4.233782629683264,100.8318,65.12989999999999,54.816451430141925,1.26059027576792,1100,care-ratings,Small Cap
58178,99657,1,Star Health and Allied Insurance Company Ltd.,Insurance,Finance,Domestic Equities,1993494.0,,,95.2192,,,1.19042204529128,1100,star-health-and-allied-insurance-company,Small Cap
171404,5514,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,405052.0,405052.0,0.0,75.5908,75.50569999999999,0.11270672280371175,0.945029518639138,1100,cholamandalam-financial-holdings,Small Cap
75798,7006,1,Manappuram Finance Ltd.,Finance,Finance,Domestic Equities,2994974.0,2994974.0,0.0,71.47800000000001,69.139,3.3830399629731494,0.893611655562427,1100,manappuram-finance,Small Cap
133333,4917,1,CRISIL Ltd.,Ratings,Ratings,Domestic Equities,122912.0,122912.0,0.0,64.52510000000001,54.729,17.8992855707212,0.806687112626698,1100,crisil,Mid Cap
65311,106730,1,SBFC Finance Ltd.,Finance,Finance,Domestic Equities,3033160.0,3033160.0,0.0,34.2504,31.0141,10.434931208708301,0.428195481794053,1100,sbfc-finance,Small Cap
787,70906,1,RBL Bank Ltd.,Bank,Banking,Domestic Equities,635580.0,,,13.542300000000001,,,0.169304640912211,1100,rbl-bank,Small Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,130364.0,6005364.0,-97.82920735529103,10.589500000000001,473.61300000000006,-97.76410275900366,0.13238899558715,1100,state-bank-of-india,Large Cap
