CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,38366.0,38366.0,0.0,5.4514,5.3904,1.1316414366280838,7.6394114819595,1100,reliance-industries,Large Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,28000.0,28000.0,0.0,5.4457,5.39,1.0333951762523284,7.63142369066788,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,35700.0,35700.0,0.0,5.1615,5.0944,1.3171325376884382,7.2331552196012,1100,icici-bank,Large Cap
133298,5393,1,Balrampur Chini Mills Ltd.,Agri,Agriculture,Domestic Equities,55000.0,55000.0,0.0,3.2467,3.03,7.151815181518158,4.54981789237222,1100,balrampur-chini-mills,Small Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,27000.0,27000.0,0.0,3.2188999999999997,3.1995,0.6063447413658377,4.51085989273938,1100,axis-bank,Large Cap
171433,6783,1,Berger Paints India Ltd.,Chemicals,Chemicals,Domestic Equities,55000.0,55000.0,0.0,3.1257,2.9931,4.430189435702111,4.38025249828683,1100,berger-paints-india,Mid Cap
101370,86936,1,Tube Investments of India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,10200.0,10200.0,0.0,3.1233,2.9566000000000003,5.638233105594249,4.37688921774299,1100,tube-investments-of-india,Mid Cap
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,55000.0,55000.0,0.0,3.0762,2.7772,10.766239377790571,4.31088483707008,1100,aster-dm-healthcare,Small Cap
133630,5815,1,Jindal Stainless Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,47000.0,47000.0,0.0,3.0302999999999995,2.7406,10.57067795373275,4.24656209666909,1100,jindal-stainless,Mid Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,8000.0,,,2.9400999999999997,,,4.12015880289635,1100,larsen-toubro,Large Cap
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,950.0,950.0,0.0,2.8114999999999997,2.8225,-0.3897254207263145,3.93994302042212,1100,shree-cement,Mid Cap
171837,6012,1,DLF Ltd.,Realty,Realty,Domestic Equities,31000.0,31000.0,0.0,2.4733,2.0903,18.322728794909825,3.46600073711899,1100,dlf,Large Cap
19113,7706,1,Kennametal India Ltd.,Capital Goods,Capital Goods,Domestic Equities,9673.0,9673.0,0.0,2.4415999999999998,2.0072,21.64208848146672,3.4215774066024,1100,kennametal-india,Small Cap
171823,5029,1,Arvind Ltd.,Textile,Textile,Domestic Equities,67000.0,67000.0,0.0,2.3979,2.4375,-1.624615384615388,3.3603376733666,1100,arvind,Small Cap
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,11500.0,11500.0,0.0,2.3859,2.5393,-6.0410349308864655,3.34352127064739,1100,kotak-mahindra-bank,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,28000.0,28000.0,0.0,2.2744,2.2081999999999997,2.997916855357307,3.18726886204804,1100,state-bank-of-india,Large Cap
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,10500.0,10500.0,0.0,2.1183,2.0492,3.3720476283427803,2.96851549000895,1100,bajaj-finserv,Large Cap
79,7951,1,Balkrishna Industries Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,8500.0,8500.0,0.0,2.1014,2.2738,-7.582021285953035,2.94483238951273,1100,balkrishna-industries,Mid Cap
171820,5969,1,Colgate-Palmolive (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,8000.0,8000.0,0.0,1.9647,2.0699,-5.082371129040055,2.75326553520304,1100,colgate-palmolive-india,Mid Cap
133365,6065,1,Esab India Ltd.,Capital Goods,Capital Goods,Domestic Equities,3500.0,3500.0,0.0,1.7597,1.6328,7.771925526702596,2.46598532208316,1100,esab-india,Small Cap
8162,87681,1,H.G. Infra Engineering Ltd.,Infrastructure,Infrastructure,Domestic Equities,15000.0,,,1.6797,,,2.35387597062174,1100,hg-infra-engineering,Small Cap
38803,5403,1,Indus Towers Ltd.,Telecom,Telecom,Domestic Equities,42572.0,42572.0,0.0,1.6354,1.7378,-5.892507768442864,2.29179541724999,1100,indus-towers,Large Cap
95042,6816,1,Hatsun Agro Product Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,15000.0,15000.0,0.0,1.4465999999999999,1.3586,6.4772559988223035,2.02721734780105,1100,hatsun-agro-product,Small Cap
171361,6730,1,Rajratan Global Wire Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,34000.0,,,1.3976,,,1.95855037003093,1100,rajratan-global-wire,Small Cap
171754,5110,1,VIP Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,37500.0,37500.0,0.0,1.3563999999999998,1.1473,18.2253987623115,1.9008140540283,1100,vip-industries,Small Cap
