CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,170404.0,165334.0,3.0665198930649473,34.1064,32.1558,6.066090720803088,28.0531940094228,1100,hdfc-bank,Large Cap,Jun-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,211259.0,201272.0,4.961942048571088,30.5438,29.099899999999998,4.961872721212112,25.1228844787198,1100,icici-bank,Large Cap,Jun-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,128634.0,117933.0,9.073796138485411,10.5525,9.5797,10.15480651794941,8.67964164451346,1100,state-bank-of-india,Large Cap,Jun-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,84821.0,81484.0,4.095282509449708,10.1717,9.714500000000001,4.706366771321211,8.3664260521675,1100,axis-bank,Large Cap,Jun-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,46815.0,42002.0,11.458978143897909,10.128400000000001,8.7142,16.228684216566077,8.33081093885716,1100,kotak-mahindra-bank,Large Cap,Jun-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,51601.0,56697.0,-8.988129883415349,4.5001,4.6319,-2.845484574364733,3.70142197246861,1100,indusind-bank,Mid Cap,Jun-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,192280.0,211075.0,-8.9044178609499,4.0979,4.265,-3.917936694021097,3.37060445345195,1100,the-federal-bank,Mid Cap,Jun-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,517776.0,533747.0,-2.9922416425759772,3.7714999999999996,3.6279000000000003,3.958212740152693,3.10213394572684,1100,idfc-first-bank,Mid Cap,Jun-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,145075.0,159437.0,-9.00794671249459,3.6092,3.9788,-9.289232934553127,2.96863895980839,1100,bank-of-baroda,Large Cap,Jun-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,44021.0,48328.0,-8.912017877834796,3.5987,3.3494,7.44312414163731,2.96000250046061,1100,au-small-finance-bank,Mid Cap,Jun-2025
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,264150.0,290242.0,-8.989739596612482,3.0166000000000004,3.3308,-9.433169208598523,2.48121364461875,1100,canara-bank,Mid Cap,Jun-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,270153.0,296836.0,-8.98913878370548,2.9852,3.1411000000000002,-4.963229441915262,2.45538651856921,1100,punjab-national-bank,Large Cap,Jun-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,158333.0,,,27.4296,,,28.919320981732,1100,hdfc-bank,Large Cap,Feb-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,194677.0,,,23.4411,,,24.7142027249715,1100,icici-bank,Large Cap,Feb-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,49215.0,,,9.3654,,,9.87404149977807,1100,kotak-mahindra-bank,Large Cap,Feb-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,80116.0,,,8.1362,,,8.57808277815089,1100,axis-bank,Large Cap,Feb-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,106177.0,,,7.3135,,,7.71070135911193,1100,state-bank-of-india,Large Cap,Feb-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,46938.0,,,4.6473,,,4.89969815084445,1100,indusind-bank,Mid Cap,Feb-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,173885.0,,,3.0885,,,3.2562386200338,1100,the-federal-bank,Mid Cap,Feb-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,132372.0,,,2.6087,,,2.75038034258772,1100,bank-of-baroda,Large Cap,Feb-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,439798.0,,,2.568,,,2.70746989679352,1100,idfc-first-bank,Mid Cap,Feb-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,39812.0,,,2.2522,,,2.3745185753732,1100,au-small-finance-bank,Mid Cap,Feb-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,244669.0,,,2.1382,,,2.25432715472115,1100,punjab-national-bank,Large Cap,Feb-2025
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,239236.0,,,1.9354,,,2.0405129432454,1100,canara-bank,Mid Cap,Feb-2025
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,158288.0,158333.0,-0.0284211124654999,28.9382,27.4296,5.499897920494653,28.2838530594692,1100,hdfc-bank,Large Cap,Mar-2025
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,192699.0,194677.0,-1.0160419566769572,25.9826,23.4411,10.842067991689811,25.3950847151158,1100,icici-bank,Large Cap,Mar-2025
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,40213.0,49215.0,-18.291171390836126,8.731,9.3654,-6.773869775983934,8.53357572558851,1100,kotak-mahindra-bank,Large Cap,Mar-2025
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,112908.0,106177.0,6.339414374111153,8.7109,7.3135,19.107130648800165,8.5139302242617,1100,state-bank-of-india,Large Cap,Mar-2025
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,78012.0,80116.0,-2.6261920215687256,8.5969,8.1362,5.662348516506484,8.40250797793058,1100,axis-bank,Large Cap,Mar-2025
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,202083.0,173885.0,16.216464904965928,3.8947,3.0885,26.103286384976528,3.8066335332092,1100,the-federal-bank,Mid Cap,Mar-2025
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,54282.0,46938.0,15.646171545442924,3.5275,4.6473,-24.09571148839111,3.44773661344788,1100,indusind-bank,Mid Cap,Mar-2025
114405,5008,1,Bank Of Baroda,Bank,Banking,Domestic Equities,152646.0,132372.0,15.315927839724411,3.4884,2.6087,33.72177713037144,3.40952073773256,1100,bank-of-baroda,Large Cap,Mar-2025
7737,15826,1,IDFC First Bank Ltd.,Bank,Banking,Domestic Equities,511007.0,439798.0,16.191296913583052,2.8085000000000004,2.568,9.365264797507791,2.7449945510612,1100,idfc-first-bank,Mid Cap,Mar-2025
133599,5561,1,Punjab National Bank,Bank,Banking,Domestic Equities,284191.0,244669.0,16.153251944463744,2.7319,2.1382,27.76634552427276,2.67012662063169,1100,punjab-national-bank,Large Cap,Mar-2025
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,46270.0,39812.0,16.221239827187784,2.4736,2.2522,9.830388065003117,2.41766726776036,1100,au-small-finance-bank,Mid Cap,Mar-2025
133614,6833,1,Canara Bank,Bank,Banking,Domestic Equities,277877.0,239236.0,16.15183333611998,2.4731,1.9354,27.782370569391347,2.41717857369751,1100,canara-bank,Mid Cap,Mar-2025
