CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
96304,15914,1,Narayana Hrudayalaya Ltd.,Healthcare,Healthcare,Domestic Equities,77805.0,45305.0,71.73601147776183,13.568399999999999,7.9759,70.1174789052019,6.97123474252456,1100,narayana-hrudayalaya,Small Cap
171327,5699,1,Marico Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,161600.0,97500.0,65.74358974358975,11.5778,6.926900000000001,67.14258903694291,5.94849515064421,1100,marico,Mid Cap
19182,5589,1,Coromandel International Ltd.,Chemicals,Chemicals,Domestic Equities,50500.0,,,11.5615,,,5.94012046193344,1100,coromandel-international,Mid Cap
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,163200.0,50300.0,224.45328031809146,11.526800000000001,3.4482999999999997,234.27486007597952,5.9222921368866,1100,fortis-healthcare,Mid Cap
133018,6609,1,CCL Products (India) Ltd.,Agri,Agriculture,Domestic Equities,119600.0,,,10.5744,,,5.43296369957782,1100,ccl-products-india,Small Cap
152578,8075,1,LT Foods Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,235700.0,,,10.3684,,,5.32712407538042,1100,lt-foods,Small Cap
133386,8742,1,Godfrey Phillips India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,11800.0,,,10.269,,,5.27605388778225,1100,godfrey-phillips-india,Small Cap
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,180100.0,,,10.073,,,5.17535210941968,1100,aster-dm-healthcare,Small Cap
58504,98271,1,Krishna Institute of Medical Sciences Ltd,Healthcare,Healthcare,Domestic Equities,143900.0,75200.0,91.3563829787234,9.8464,4.9395,99.34001417147485,5.05892852280253,1100,krishna-institute-of-medical-sciences,Small Cap
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,17800.0,9600.0,85.41666666666666,9.785599999999999,4.9082,99.37247870909906,5.02769042012679,1100,jk-cement,Mid Cap
152383,6925,1,Deepak Fertilisers And Petrochemicals Corporation Ltd.,Chemicals,Chemicals,Domestic Equities,64100.0,,,9.5105,,,4.88634828121074,1100,deepak-fertilisers-and-petrochemicals-corporation,Small Cap
133654,6850,1,Ultratech Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,6915.0,5300.0,30.471698113207545,7.7517,6.169700000000001,25.641441237013137,3.98270395578164,1100,ultratech-cement,Large Cap
152245,5078,1,Grasim Industries Ltd.,Diversified,Construction Materials,Domestic Equities,30300.0,27000.0,12.222222222222221,7.7138,7.3913,4.3632378607281534,3.96323152006766,1100,grasim-industries,Large Cap
152308,5173,1,Shree Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,2600.0,2400.0,8.333333333333332,7.6947,7.1304,7.914002019522055,3.95341823452314,1100,shree-cement,Mid Cap
133328,5242,1,Chambal Fertilisers and Chemicals Ltd.,Chemicals,Chemicals,Domestic Equities,133000.0,,,7.3283000000000005,,,3.76516756313513,1100,chambal-fertilisers-and-chemicals,Small Cap
57781,87827,1,Bharat Dynamics Ltd.,Capital Goods,Capital Goods,Domestic Equities,29400.0,,,5.925599999999999,,,3.04448192788417,1100,bharat-dynamics,Mid Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,151100.0,,,5.8113,,,2.98575634999211,1100,bharat-electronics,Large Cap
95495,88229,1,Garden Reach Shipbuilders & Engineers Ltd.,Ship Building,Ship Building,Domestic Equities,18900.0,,,5.676,,,2.91624129584693,1100,garden-reach-shipbuilders-engineers,Small Cap
134830,88309,1,Mazagon Dock Shipbuilders Ltd.,Ship Building,Ship Building,Domestic Equities,15600.0,,,5.426,,,2.78779514997629,1100,mazagon-dock-shipbuilders,Mid Cap
171576,15890,1,Dr. Lal Pathlabs Ltd.,Healthcare,Healthcare,Domestic Equities,12087.0,,,3.3682,,,1.73052923408591,1100,dr-lal-pathlabs,Small Cap
171535,5421,1,E.I.D. - Parry (India) Ltd.,Agri,Agriculture,Domestic Equities,28704.0,,,2.7273,,,1.40124469453195,1100,eid-parry-india,Small Cap
