CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
151986,6639,1,Safari Industries (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,9824.0,9824.0,0.0,2.367584,2.5559592,-7.370039396560012,6.70420920370511,1100,safari-industries-india,Small Cap,Jan-2025
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,3746.0,3746.0,0.0,2.14756307,2.3352938599999997,-8.038850836528127,6.08118322282597,1100,multi-commodity-exchange-of-india,Small Cap,Jan-2025
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,33900.0,33900.0,0.0,1.6663545,1.7422905,-4.358400622628666,4.7185608517102,1100,aster-dm-healthcare,Small Cap,Jan-2025
172778,92545,1,Greenpanel Industries Ltd.,Construction Materials,Construction Materials,Domestic Equities,47004.0,47004.0,0.0,1.6380894000000001,1.77769128,-7.852987837123209,4.63852350411719,1100,greenpanel-industries,Small Cap,Jan-2025
38741,90008,1,Angel One Ltd.,Finance,Finance,Domestic Equities,6306.0,6306.0,0.0,1.47945066,1.8486984899999999,-19.97339382259137,4.18931143781999,1100,angel-one,Small Cap,Jan-2025
133627,5088,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,3525.0,3525.0,0.0,1.4624167499999998,1.1441445000000001,27.81748721424609,4.14107707899805,1100,navin-fluorine-international,Small Cap,Jan-2025
191898,99941,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,48585.0,48585.0,0.0,1.4070216,1.60087575,-12.1092564491654,3.98421646730671,1100,sapphire-foods-india,Small Cap,Jan-2025
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,9043.0,9043.0,0.0,1.363639185,1.612592975,-15.438104584326364,3.86137191947992,1100,affle-3i,Small Cap,Jan-2025
171403,76579,1,Equitas Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,187038.0,187038.0,0.0,1.2438027,1.1974172760000001,3.873789440799743,3.52203491362219,1100,equitas-small-finance-bank,Small Cap,Jan-2025
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,2480.0,2480.0,0.0,1.1990428,1.1396591999999999,5.210645428036735,3.39528978714012,1100,jk-cement,Mid Cap,Jan-2025
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,2964.0,2964.0,0.0,1.19259504,1.3150230600000001,-9.3099523288968,3.37703187868353,1100,kei-industries,Mid Cap,Jan-2025
152203,8715,1,KSB Ltd.,Capital Goods,Capital Goods,Domestic Equities,16174.0,16174.0,0.0,1.13630437,1.24264842,-8.557855004555513,3.21763545266582,1100,ksb,Small Cap,Jan-2025
172886,92573,1,CSB Bank Ltd.,Bank,Banking,Domestic Equities,36437.0,36437.0,0.0,1.11533657,1.14084247,-2.235707441711913,3.15826162781253,1100,csb-bank,Small Cap,Jan-2025
192044,99995,1,RateGain Travel Technologies Ltd.,IT,Information Technology,Domestic Equities,15581.0,15581.0,0.0,1.089345615,1.129856215,-3.5854650761911264,3.08466390130141,1100,rategain-travel-technologies,Small Cap,Jan-2025
