CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,21323.0,21323.0,0.0,1.315309,1.418939,-7.303344259337434,5.89810037050119,1100,aster-dm-healthcare,Small Cap,Dec-2025
151986,6639,1,Safari Industries (India) Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,5638.0,5638.0,0.0,1.225927,1.369921,-10.511117064414664,5.49729184520891,1100,safari-industries-india,Small Cap,Dec-2025
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,6568.0,6568.0,0.0,1.181846,1.0908790000000002,8.338871680543853,5.29962503656778,1100,affle-3i,Small Cap,Dec-2025
172886,92573,1,CSB Bank Ltd.,Bank,Banking,Domestic Equities,22305.0,22305.0,0.0,1.024023,0.9194119999999999,11.378032916690236,4.59191460760806,1100,csb-bank,Small Cap,Dec-2025
133031,5330,1,TVS Holdings Ltd.,Finance,Finance,Domestic Equities,700.0,700.0,0.0,0.9645999999999999,1.00352,-3.878348214285724,4.32545243315075,1100,tvs-holdings,Small Cap,Dec-2025
46444,92584,1,Ujjivan Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,178820.0,178820.0,0.0,0.9475669999999999,0.973317,-2.645592340419414,4.24907398331411,1100,ujjivan-small-finance-bank,Small Cap,Dec-2025
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,1987.0,1987.0,0.0,0.886242,0.823731,7.58876380760225,3.97407888310466,1100,kei-industries,Mid Cap,Dec-2025
152203,8715,1,KSB Ltd.,Capital Goods,Capital Goods,Domestic Equities,10955.0,10955.0,0.0,0.826829,0.8411799999999999,-1.706055778786932,3.70765901700698,1100,ksb,Small Cap,Dec-2025
191898,99941,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,30085.0,30085.0,0.0,0.773335,0.7482139999999999,3.3574619026107553,3.46778294939011,1100,sapphire-foods-india,Small Cap,Dec-2025
133360,5711,1,Procter & Gamble Health Ltd.,Healthcare,Healthcare,Domestic Equities,1238.0,1238.0,0.0,0.706031,0.708445,-0.3407462823507806,3.16598096310473,1100,procter-gamble-health,Small Cap,Dec-2025
192044,99995,1,RateGain Travel Technologies Ltd.,IT,Information Technology,Domestic Equities,9732.0,9732.0,0.0,0.6731619999999999,0.6914100000000001,-2.639244442516033,3.01859020734366,1100,rategain-travel-technologies,Small Cap,Dec-2025
172778,92545,1,Greenpanel Industries Ltd.,Construction Materials,Construction Materials,Domestic Equities,27896.0,27896.0,0.0,0.639265,0.695168,-8.041653240655505,2.86658636508259,1100,greenpanel-industries,Small Cap,Dec-2025
171403,76579,1,Equitas Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,101192.0,101192.0,0.0,0.637408,0.649248,-1.8236482823204763,2.85826223231842,1100,equitas-small-finance-bank,Small Cap,Dec-2025
133627,5088,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,1007.0,1007.0,0.0,0.596144,0.577565,3.2167807952351697,2.6732246685758,1100,navin-fluorine-international,Small Cap,Dec-2025
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,936.0,936.0,0.0,0.517702,0.538949,-3.9423025184201053,2.32147381854244,1100,jk-cement,Mid Cap,Dec-2025
152683,97601,1,MTAR Technologies Ltd.,Capital Goods,Capital Goods,Domestic Equities,2115.0,2115.0,0.0,0.511132,0.5356029999999999,-4.5688691064090365,2.29201468933634,1100,mtar-technologies,Small Cap,Dec-2025
38741,90008,1,Angel One Ltd.,Finance,Finance,Domestic Equities,1988.0,1988.0,0.0,0.465987,0.537515,-13.307163521018017,2.08957647528209,1100,angel-one,Small Cap,Dec-2025
152491,5679,1,PVR Inox Ltd.,Media & Entertainment,Media & Entertainment,Domestic Equities,4462.0,4462.0,0.0,0.452982,0.476497,-4.9349733576496835,2.03125972650018,1100,pvr-inox,Small Cap,Dec-2025
171404,5514,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,2453.0,2453.0,0.0,0.444704,0.452873,-1.8038169641378574,1.99414016094679,1100,cholamandalam-financial-holdings,Mid Cap,Dec-2025
95673,86353,1,SIS Ltd.,Business Services,Other,Domestic Equities,13188.0,13188.0,0.0,0.439688,0.434215,1.2604354985433481,1.97164543167219,1100,sis,Small Cap,Dec-2025
37877,7189,1,JB Chemicals & Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,2376.0,2376.0,0.0,0.432361,0.42086100000000004,2.7324936261616033,1.9387888537454,1100,jb-chemicals-pharmaceuticals,Small Cap,Dec-2025
617,7969,1,Brigade Enterprises Ltd.,Realty,Realty,Domestic Equities,4377.0,1521.0,187.77120315581854,0.38736400000000004,0.136145,184.52311873370306,1.73701712527599,1100,brigade-enterprises,Small Cap,Dec-2025
