CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,1300000.0,1300000.0,0.0,195.351,169.65,15.149425287356314,4.15510894696758,1100,max-financial-services,Mid Cap
38931,15891,1,Alkem Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,270000.0,270000.0,0.0,137.6595,138.132,-0.3420641125879593,2.92801275696097,1100,alkem-laboratories,Mid Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,369694.0,369694.0,0.0,120.8197,107.0412,12.872146425862176,2.56983079912536,1100,cummins-india,Large Cap
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,1800000.0,1800000.0,0.0,117.999,128.77200000000002,-8.365949119373784,2.50983460864407,1100,jubilant-foodworks,Mid Cap
141614,85778,1,AU Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,1700000.0,1700000.0,0.0,117.8185,115.36200000000001,2.129384025935747,2.5059953799484,1100,au-small-finance-bank,Mid Cap
152211,6247,1,Lupin Ltd.,Healthcare,Healthcare,Domestic Equities,600000.0,600000.0,0.0,117.462,125.736,-6.580454285168923,2.49841263739989,1100,lupin,Mid Cap
171465,6543,1,Aurobindo Pharma Ltd.,Healthcare,Healthcare,Domestic Equities,1000000.0,1000000.0,0.0,114.78,122.91,-6.614596045887235,2.44136659107421,1100,aurobindo-pharma,Mid Cap
171636,86629,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,600000.0,600000.0,0.0,112.524,112.59,-0.058619770849989906,2.39338154986962,1100,icici-lombard-general-insurance-company,Mid Cap
76174,111823,1,Bharti Hexacom Ltd.,Telecom,Telecom,Domestic Equities,576129.0,576129.0,0.0,105.4719,97.31389999999999,8.383180614485712,2.2433836291786,1100,bharti-hexacom,Mid Cap
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,1001126.0,1001126.0,0.0,100.7783,89.52069999999999,12.575415518421998,2.14355092111217,1100,uno-minda,Mid Cap
