CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,116114.0,116051.0,0.05428647749696255,68.6292,69.3579,-1.0506373462864345,21.0879348211702,1100,interglobe-aviation,Large Cap,Jul-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,837405.0,836953.0,0.05400542204878888,62.0308,63.633500000000005,-2.5186419103145425,19.0604213265643,1100,the-indian-hotels-company,Large Cap,Jul-2025
152551,7908,1,GMR Airports Ltd.,Infrastructure,Aviation,Domestic Equities,5196772.0,5193969.0,0.05396643684242243,46.8021,44.2474,5.773672577371784,14.381045302785,1100,gmr-airports,Mid Cap,Jul-2025
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,554196.0,553897.0,0.05398115534115548,36.3275,38.8725,-6.547044826033828,11.1624782485598,1100,jubilant-foodworks,Mid Cap,Jul-2025
114652,92620,1,Indian Railway Catering And Tourism Corporation Ltd.,Hospitality,Hospitality,Domestic Equities,439352.0,439115.0,0.05397219407216788,31.8992,34.3168,-7.04494591570309,9.80177898689585,1100,indian-railway-catering-and-tourism-corporation,Mid Cap,Jul-2025
191898,99941,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,344613.0,344427.0,0.054002734977223035,10.9104,11.3248,-3.6592257699915276,3.35247684765225,1100,sapphire-foods-india,Small Cap,Jul-2025
152405,5856,1,EIH Ltd.,Hospitality,Hospitality,Domestic Equities,288777.0,288621.0,0.054050121093059754,10.843599999999999,10.6602,1.7204180034145624,3.3319509775262,1100,eih,Small Cap,Jul-2025
115131,88043,1,Lemon Tree Hotels Ltd.,Hospitality,Hospitality,Domestic Equities,721314.0,720925.0,0.05395845615008496,10.8046,10.100900000000001,6.966705937094715,3.31996731083585,1100,lemon-tree-hotels,Small Cap,Jul-2025
95355,98927,1,Devyani International Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,586172.0,585856.0,0.05393816910640157,9.5605,9.828899999999999,-2.7307226647946394,2.93768834341356,1100,devyani-international,Small Cap,Jul-2025
95274,89247,1,Chalet Hotels Ltd.,Hospitality,Hospitality,Domestic Equities,103828.0,103772.0,0.05396446054812473,9.4468,9.563099999999999,-1.2161328439522745,2.9027513459086,1100,chalet-hotels,Small Cap,Jul-2025
19064,6023,1,Westlife Foodworld Ltd,Hospitality,Hospitality,Domestic Equities,98825.0,98771.0,0.05467191787063004,7.192,7.359400000000001,-2.274641954507162,2.20991104710322,1100,westlife-foodworld,Small Cap,Jul-2025
83618,17010,1,BLS International Services Ltd.,Business Services,Hospitality,Domestic Equities,176497.0,176402.0,0.05385426469087652,6.7078,6.5084,3.0637330219408674,2.0611292160399,1100,bls-international-services,Small Cap,Jul-2025
134702,8301,1,Valor Estate Ltd.,Realty,Realty,Domestic Equities,356415.0,356223.0,0.0538988218054421,6.604400000000001,8.3527,-20.930956457193474,2.02935713563522,1100,valor-estate,Small Cap,Jul-2025
195742,102041,1,TBO Tek Ltd.,Hospitality,Hospitality,Domestic Equities,48413.0,48387.0,0.05373344080021493,6.558,6.7726999999999995,-3.1700798795162974,2.01509964500875,1100,tbo-tek,Small Cap,Jul-2025
152031,5712,1,Advani Hotels & Resorts (India) Ltd.,Hospitality,Hospitality,Domestic Equities,35664.0,,,1.2768000000000002,,,0.392326811031895,1100,advani-hotels-resorts-india,Small Cap,Jul-2025
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,116051.0,121255.0,-4.2917817821945485,69.3579,64.6289,7.317159970230031,21.0316574748016,1100,interglobe-aviation,Large Cap,Jun-2025
152406,5107,1,The Indian Hotels Company Ltd.,Hospitality,Hospitality,Domestic Equities,836953.0,732714.0,14.22642395259269,63.633500000000005,56.408,12.809353283222242,19.2958260835865,1100,the-indian-hotels-company,Large Cap,Jun-2025
152551,7908,1,GMR Airports Ltd.,Infrastructure,Aviation,Domestic Equities,5193969.0,5265839.0,-1.3648347395353333,44.2474,44.275200000000005,-0.0627891008962275,13.4173059009938,1100,gmr-airports,Mid Cap,Jun-2025
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,553897.0,558763.0,-0.8708522217827595,38.8725,36.6297,6.122900269453482,11.7874547122855,1100,jubilant-foodworks,Mid Cap,Jun-2025
114652,92620,1,Indian Railway Catering And Tourism Corporation Ltd.,Hospitality,Hospitality,Domestic Equities,439115.0,442916.0,-0.8581762681862927,34.3168,33.4844,2.485933748252912,10.4060126277074,1100,indian-railway-catering-and-tourism-corporation,Mid Cap,Jun-2025
191898,99941,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,344427.0,346726.0,-0.6630595917237242,11.3248,11.0294,2.6782961901825995,3.4340617949885,1100,sapphire-foods-india,Small Cap,Jun-2025
152405,5856,1,EIH Ltd.,Hospitality,Hospitality,Domestic Equities,288621.0,291082.0,-0.8454662260119141,10.6602,10.7584,-0.9127751338488936,3.23253263165234,1100,eih,Small Cap,Jun-2025
115131,88043,1,Lemon Tree Hotels Ltd.,Hospitality,Hospitality,Domestic Equities,720925.0,723924.0,-0.4142700062437494,10.1009,10.0864,0.1437579314720857,3.06293398426456,1100,lemon-tree-hotels,Small Cap,Jun-2025
95355,98927,1,Devyani International Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,585856.0,589970.0,-0.6973235927250538,9.8289,9.8873,-0.5906567010205043,2.98045439890881,1100,devyani-international,Small Cap,Jun-2025
95274,89247,1,Chalet Hotels Ltd.,Hospitality,Hospitality,Domestic Equities,103772.0,104509.0,-0.7052024227578486,9.5631,9.5908,-0.2888184510155665,2.89985486292513,1100,chalet-hotels,Small Cap,Jun-2025
134702,8301,1,Valor Estate Ltd.,Realty,Realty,Domestic Equities,356223.0,359294.0,-0.854731779545442,8.3527,6.9207,20.69154854277745,2.53282070809201,1100,valor-estate,Small Cap,Jun-2025
