CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171837,6012.0,1,DLF Ltd.,Realty,Realty,Domestic Equities,159461.0,158028.0,0.9068013263472295,9.8874,9.3331,5.939077048354788,19.0981988874424,1100,dlf,Large Cap,Jun-2026
122,5767.0,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,46390.0,45973.0,0.9070541404737562,9.0396,8.1427,11.014773969322222,17.4606143842591,1100,the-phoenix-mills,Mid Cap,Jun-2026
171946,6864.0,1,Godrej Properties Ltd.,Realty,Realty,Domestic Equities,36992.0,36659.0,0.9083717504569138,6.9049000000000005,6.461900000000001,6.855568795555479,13.3372932720332,1100,godrej-properties,Mid Cap,Jun-2026
134667,88599.0,1,Lodha Developers Ltd.,Realty,Realty,Domestic Equities,69988.0,69359.0,0.906875820008939,6.685599999999999,6.5066,2.7510527771800906,12.9137001114433,1100,lodha-developers,Mid Cap,Jun-2026
153260,8051.0,1,Prestige Estates Projects Ltd.,Realty,Realty,Domestic Equities,41931.0,41554.0,0.907253212687106,6.560499999999999,5.6896,15.306875703037104,12.6720607845405,1100,prestige-estates-projects,Mid Cap,Jun-2026
153691,5278.0,1,Oberoi Realty Ltd.,Realty,Realty,Domestic Equities,29259.0,28996.0,0.9070216581597462,5.1765,4.9499,4.5778702600052465,9.99876879066745,1100,oberoi-realty,Mid Cap,Jun-2026
617,7969.0,1,Brigade Enterprises Ltd.,Realty,Realty,Domestic Equities,46058.0,34233.0,34.542692723395554,2.3059,2.2332,3.255418233924418,4.45400578661259,1100,brigade-enterprises,Small Cap,Jun-2026
94723,5905.0,1,Anant Raj Ltd.,Realty,Realty,Domestic Equities,37930.0,37589.0,0.9071802921067333,1.9771,1.9325999999999999,2.302597536996801,3.81890578113177,1100,anant-raj,Small Cap,Jun-2026
171359,5112.0,1,Aditya Birla Real Estate Ltd.,Realty,Realty,Domestic Equities,13008.0,12891.0,0.9076099604375146,1.7216999999999998,1.6034,7.378071597854549,3.32558296665549,1100,aditya-birla-real-estate,Small Cap,Jun-2026
152579,7542.0,1,Sobha Ltd.,Realty,Realty,Domestic Equities,11068.0,10969.0,0.9025435317713557,1.5256999999999998,1.5554,-1.9094766619519088,2.94699537214746,1100,sobha,Small Cap,Jun-2026
171837,6012.0,1,DLF Ltd.,Realty,Realty,Domestic Equities,158028.0,155974.0,1.316886147691282,9.3331,9.1557,1.9375907904365477,19.2695908742349,1100,dlf,Large Cap,May-2026
122,5767.0,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,45973.0,45375.0,1.3179063360881542,8.1427,8.0087,1.673180416297274,16.811830754158,1100,the-phoenix-mills,Mid Cap,May-2026
134667,88599.0,1,Lodha Developers Ltd.,Realty,Realty,Domestic Equities,69359.0,68457.0,1.3176154374278743,6.5066,6.1468,5.853452202772178,13.4338558444993,1100,lodha-developers,Large Cap,May-2026
