CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,297000.0,297000.0,0.0,55.1291,55.375699999999995,-0.4453216844211424,8.03582933503119,1100,bharti-airtel,Large Cap
133625,7239,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,32500.0,32500.0,0.0,40.0368,39.835300000000004,0.5058327664157075,5.83591772622402,1100,maruti-suzuki-india,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,113000.0,113000.0,0.0,33.6378,33.0954,1.638898457187411,4.90317491136101,1100,mahindra-mahindra,Large Cap
171619,82976,1,Avenue Supermarts Ltd.,Retailing,Retailing,Domestic Equities,73500.0,76000.0,-3.289473684210526,29.415399999999998,31.9192,-7.844181558435051,4.28770167156142,1100,avenue-supermarts,Large Cap
171402,5320,1,Godrej Consumer Products Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,235000.0,235000.0,0.0,28.9379,29.621799999999997,-2.308772593157738,4.21809943775972,1100,godrej-consumer-products,Large Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,688767.0,657000.0,4.835159817351598,28.793899999999997,27.9751,2.9268885544644934,4.19710944473889,1100,itc,Large Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,48500.0,50000.0,-3.0,27.371,25.8625,5.832769453842433,3.98970207620184,1100,trent,Large Cap
171717,5016,1,Hindustan Unilever Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,110000.0,110000.0,0.0,25.831300000000002,25.763099999999998,0.2647196959993232,3.76526949110345,1100,hindustan-unilever,Large Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,68525.0,45000.0,52.27777777777778,24.360599999999998,15.208699999999999,60.17542590753977,3.55089461099421,1100,titan-company,Large Cap
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,100000.0,100000.0,0.0,23.962,23.881999999999998,0.3349803199062055,3.49279314420183,1100,nestle-india,Large Cap
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,49000.0,49000.0,0.0,21.1156,18.7543,12.590712529926462,3.07789094882348,1100,hero-motocorp,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,861000.0,861000.0,0.0,20.5185,20.02,2.4900099900099852,2.99085535970726,1100,eternal,Large Cap
171572,5156,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,37000.0,37000.0,0.0,19.734,20.5979,-4.194116875992206,2.87650362689588,1100,eicher-motors,Large Cap
133583,8200,1,United Spirits Ltd.,Alcohol,Alcohol,Domestic Equities,126000.0,126000.0,0.0,19.153299999999998,19.7051,-2.8002902801812763,2.79185856476258,1100,united-spirits,Large Cap
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,160000.0,160000.0,0.0,17.7008,18.6528,-5.103791387888148,2.58013658654903,1100,tata-consumer-products,Large Cap
96004,7992,1,Jubilant FoodWorks Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,267300.0,267300.0,0.0,17.5229,19.1226,-8.365494231955907,2.55420519933788,1100,jubilant-foodworks,Mid Cap
171639,5614,1,Havells India Ltd.,Capital Goods,Capital Goods,Domestic Equities,110000.0,110000.0,0.0,16.797,17.611,-4.622111180512172,2.44839522757525,1100,havells-india,Large Cap
84908,112552,1,Swiggy Ltd.,Retailing,Information Technology,Domestic Equities,445001.0,210000.0,111.90523809523809,14.820799999999998,6.644400000000001,123.05701041478537,2.16033672613248,1100,swiggy,Large Cap
122,5767,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,94000.0,94000.0,0.0,14.448699999999999,15.646300000000002,-7.654205786671622,2.1060980011113,1100,the-phoenix-mills,Mid Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,51000.0,51000.0,0.0,14.1821,13.6272,4.0720030527180935,2.06723736125469,1100,tvs-motor-company,Large Cap
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,239844.0,238944.0,0.3766572920851748,13.4145,12.0655,11.180639012059185,1.95534903734645,1100,aster-dm-healthcare,Small Cap
171434,4916,1,Astral Ltd.,Plastic Products,Plastic Products,Domestic Equities,82000.0,82000.0,0.0,12.2844,11.0298,11.374639612685638,1.79062132128508,1100,astral,Mid Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,84000.0,17000.0,394.11764705882354,11.991,12.0182,-0.22632340949560065,1.74785421050514,1100,info-edge-india,Large Cap
133909,100034,1,Metro Brands Ltd.,Retailing,Retailing,Domestic Equities,98695.0,99002.0,-0.3100947455606957,11.909500000000001,10.5932,12.425895857720057,1.73597445751072,1100,metro-brands,Mid Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,60000.0,60000.0,0.0,11.669400000000001,11.55,1.0337662337662386,1.70097655942529,1100,hdfc-bank,Large Cap
26837,16127,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,326000.0,326000.0,0.0,11.5045,10.995999999999999,4.624408875954906,1.67694010213964,1100,crompton-greaves-consumer-electricals,Small Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,142000.0,142000.0,0.0,11.031300000000002,10.5605,4.458122247999636,1.60796465285175,1100,hdfc-life-insurance-company,Large Cap
171628,5788,1,Britannia Industries Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,20000.0,,,11.020999999999999,,,1.6064632852954,1100,britannia-industries,Large Cap
134131,90516,1,Polycab India Ltd.,Electricals,Electricals,Domestic Equities,18000.0,18000.0,0.0,10.783800000000001,9.936,8.532608695652183,1.57188810234721,1100,polycab-india,Large Cap
152190,5796,1,Kajaria Ceramics Ltd.,Construction Materials,Construction Materials,Domestic Equities,93000.0,93000.0,0.0,9.6697,7.4819,29.241235515042963,1.4094926077326,1100,kajaria-ceramics,Small Cap
133538,7699,1,Tips Music Ltd.,Media & Entertainment,Media & Entertainment,Domestic Equities,135082.0,135000.0,0.06074074074074074,8.783,8.498899999999999,3.3427855369518373,1.28024381043004,1100,tips-music,Small Cap
102429,100653,1,Global Health Ltd.,Healthcare,Healthcare,Domestic Equities,63400.0,63400.0,0.0,7.533200000000001,7.590199999999999,-0.7509683539300588,1.09806816267011,1100,global-health,Small Cap
153943,100386,1,Vedant Fashions Ltd.,Textile,Textile,Domestic Equities,90000.0,50000.0,80.0,7.175700000000001,3.9098,83.53112691186251,1.0459575897191,1100,vedant-fashions,Small Cap
171881,7520,1,V-Mart Retail Ltd.,Retailing,Retailing,Domestic Equities,20414.0,20000.0,2.07,6.9473,6.5324,6.351417549445841,1.01266512856662,1100,v-mart-retail,Small Cap
38605,83193,1,Varun Beverages Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,145000.0,145000.0,0.0,6.9013,7.5741,-8.882903579303148,1.00595999190719,1100,varun-beverages,Large Cap
