CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
114442,5285,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,30359.0,30180.0,0.5931080185553346,2.4802,2.5303,-1.9800023712603212,2.43720765693172,1100,indusind-bank,Mid Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,64461.0,64082.0,0.591429730657595,2.4792,2.0128,23.171701112877578,2.43622499115601,1100,bharat-electronics,Large Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,85001.0,84500.0,0.5928994082840237,2.4366,2.2005,10.729379686434894,2.39436342911049,1100,jio-financial-services,Large Cap
539,7794,1,Adani Ports and Special Economic Zone Ltd.,Logistics,Logistics,Domestic Equities,16356.0,16260.0,0.5904059040590406,2.3435,1.9780000000000002,18.478260869565208,2.3028772453913,1100,adani-ports-and-special-economic-zone,Large Cap
171383,5551,1,Hero MotoCorp Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,5331.0,5300.0,0.5849056603773585,2.2973,2.0284999999999997,13.251170815873797,2.2574780865532,1100,hero-motocorp,Large Cap
171461,6050,1,Titan Company Ltd.,Diamond  &  Jewellery,Diamond & Jewellery,Domestic Equities,6333.0,6296.0,0.5876747141041931,2.2514,2.1279,5.803844165609283,2.21237372744782,1100,titan-company,Large Cap
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,12420.0,12347.0,0.5912367376690695,2.2508,2.1802,3.238235024309697,2.21178412798239,1100,sbi-life-insurance-company,Large Cap
58168,86912,1,HDFC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,28733.0,28564.0,0.5916538299957989,2.2321,2.1243,5.074612813632727,2.19340827797649,1100,hdfc-life-insurance-company,Large Cap
152401,5684,1,Tata Consumer Products Ltd.,Agri,Agriculture,Domestic Equities,19924.0,19807.0,0.5907002574847277,2.2041999999999997,2.3091,-4.5428955004114195,2.16599190283401,1100,tata-consumer-products,Large Cap
156921,98676,1,Eternal Ltd.,Retailing,Information Technology,Domestic Equities,92180.0,91637.0,0.5925554088414068,2.1967,2.1307,3.0975735673722227,2.15862190951614,1100,eternal,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,15046.0,14957.0,0.5950391121214147,2.1379,2.1015,1.7320961218177426,2.10084116190401,1100,reliance-industries,Large Cap
152205,8185,1,Trent Ltd.,Retailing,Retailing,Domestic Equities,3730.0,3708.0,0.593311758360302,2.105,1.9180000000000001,9.7497393117831,2.06851145788294,1100,trent,Large Cap
171656,5311,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,7069.0,7027.0,0.5976946065177174,2.1043000000000003,2.0581,2.244788882950296,2.06782359183994,1100,mahindra-mahindra,Large Cap
75697,6614,1,Adani Enterprises Ltd.,Trading,Trading,Domestic Equities,8335.0,8286.0,0.5913589186579773,2.1003,1.9069,10.142115475378889,2.06389292873708,1100,adani-enterprises,Large Cap
171369,7531,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,13288.0,13209.0,0.598077068665304,2.0913999999999997,1.9853,5.344280461391218,2.0551472033332,1100,tech-mahindra,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,14393.0,14309.0,0.5870431197148648,2.0809,2.0419,1.9099857975415084,2.04482921268818,1100,icici-bank,Large Cap
707,8442,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,2416.0,2401.0,0.6247396917950854,2.0795,1.9280000000000002,7.857883817427373,2.04345348060218,1100,bajaj-auto,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,11176.0,11110.0,0.594059405940594,2.0745,2.0715,0.14482259232439437,2.0385401517236,1100,bharti-airtel,Large Cap
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,10618.0,10556.0,0.5873436907919667,2.0650999999999997,2.032,1.6289370078740169,2.02930309343186,1100,hdfc-bank,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,17291.0,17189.0,0.5934027575775205,2.0614,2.0369,1.2028081889145215,2.02566723006171,1100,axis-bank,Large Cap
152400,5891,1,Nestle India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,8577.0,8527.0,0.5863726984871585,2.0552,2.0364,0.9231978000392969,2.01957470225227,1100,nestle-india,Large Cap
171585,5257,1,Dr. Reddy's Laboratories Ltd.,Healthcare,Healthcare,Domestic Equities,16419.0,16323.0,0.5881271825032163,2.0543,1.9325,6.3027166882276875,2.01869030305413,1100,dr-reddy's-laboratories,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,5574.0,5541.0,0.5955603681645912,2.0484999999999998,1.8512,10.65795159896283,2.01299084155497,1100,larsen-toubro,Large Cap
