CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
152686,7802,1,Multi Commodity Exchange Of India Ltd.,Finance,Finance,Domestic Equities,202518.0,206447.0,-1.9031518985502334,133.7024,126.5107,5.6846575032783795,2.95213028919185,1100,multi-commodity-exchange-of-india,Small Cap
114451,6891,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,5246238.0,5246238.0,0.0,102.6689,92.6276,10.84050542171015,2.2669149502777,1100,city-union-bank,Small Cap
20766,6076,1,Techno Electric & Engineering Company Ltd.,Infrastructure,Infrastructure,Domestic Equities,684427.0,684427.0,0.0,96.4905,72.7888,32.5622898028268,2.13049674253616,1100,techno-electric-engineering-company,Small Cap
155709,99978,1,Paradeep Phosphates Ltd.,Chemicals,Chemicals,Domestic Equities,5537874.0,5555233.0,-0.3124801425970792,95.4065,80.0176,19.231893983323662,2.10656217417026,1100,paradeep-phosphates,Small Cap
543,5039,1,Karur Vysya Bank Ltd.,Bank,Banking,Domestic Equities,4148024.0,4148024.0,0.0,91.9575,90.4974,1.6134165180436149,2.03040873662971,1100,karur-vysya-bank,Small Cap
20865,87606,1,Aster DM Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,1621180.0,1621180.0,0.0,90.6726,81.86149999999999,10.763423587400677,2.00203832436648,1100,aster-dm-healthcare,Small Cap
133627,5088,1,Navin Fluorine International Ltd.,Chemicals,Chemicals,Domestic Equities,201018.0,201018.0,0.0,85.65780000000001,90.89229999999999,-5.7590136898285,1.89131224185608,1100,navin-fluorine-international,Small Cap
96608,84153,1,Eris Lifesciences Ltd.,Healthcare,Healthcare,Domestic Equities,537481.0,532481.0,0.9390006403984368,85.01870000000001,76.25659999999999,11.490284119669655,1.87720100325585,1100,eris-lifesciences,Small Cap
113892,8292,1,KEI Industries Ltd.,Electricals,Electricals,Domestic Equities,227391.0,227391.0,0.0,82.09270000000001,69.6635,17.84176792725028,1.81259533255603,1100,kei-industries,Mid Cap
154545,89466,1,Affle 3i Ltd.,IT,Information Technology,Domestic Equities,470169.0,470169.0,0.0,81.6025,74.4748,9.570619860677713,1.8017717851271,1100,affle-3i,Small Cap
