CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051.0,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,4900000.0,4950000.0,-1.0101010101010102,953.0010000000001,952.875,0.013223140495873878,9.77208156141908,1100,hdfc-bank,Large Cap
171888,8748.0,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,4300000.0,4400000.0,-2.272727272727273,621.694,627.88,-0.9852201057526893,6.37485634773193,1100,icici-bank,Large Cap
171889,4926.0,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,2900000.0,2900000.0,0.0,453.18300000000005,435.029,4.173055129658025,4.64694290798077,1100,infosys,Large Cap
133593,6508.0,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,2197804.0,2197804.0,0.0,407.9564,409.7806,-0.4451650468567772,4.18318890987828,1100,bharti-airtel,Large Cap
171400,5889.0,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,3100000.0,3250000.0,-4.615384615384616,369.582,385.125,-4.035832521908478,3.78969743749732,1100,axis-bank,Large Cap
171492,5886.0,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,1717531.0,1750000.0,-1.8553714285714284,356.3362,386.4175,-7.784662961692981,3.65387487493312,1100,kotak-mahindra-bank,Large Cap
133350,8843.0,1,State Bank Of India,Bank,Banking,Domestic Equities,3750000.0,3750000.0,0.0,304.6125,295.7438,2.99877799636036,3.12349954997715,1100,state-bank-of-india,Large Cap
171531,4897.0,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,2100000.0,2250000.0,-6.666666666666667,298.389,316.125,-5.610438908659544,3.05968372019576,1100,reliance-industries,Large Cap
171369,7531.0,1,Tech Mahindra Ltd.,IT,Information Technology,Domestic Equities,1700000.0,1725000.0,-1.4492753623188406,267.563,259.2675,3.1995911558525436,2.74359361513574,1100,tech-mahindra,Large Cap
171656,5311.0,1,Mahindra & Mahindra Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,850000.0,875000.0,-2.857142857142857,253.028,256.27,-1.2650719943809292,2.59455158318066,1100,mahindra-mahindra,Large Cap
133330,5128.0,1,Cipla Ltd.,Healthcare,Healthcare,Domestic Equities,1300000.0,1300000.0,0.0,190.541,201.513,-5.444810012257277,1.95380927490564,1100,cipla,Large Cap
152343,5043.0,1,Hindalco Industries Ltd.,Non - Ferrous Metals,Non - Ferrous Metals,Domestic Equities,2750000.0,2750000.0,0.0,174.2125,171.77880000000002,1.4167638847168507,1.78637667643447,1100,hindalco-industries,Large Cap
26837,16127.0,1,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,4800000.0,4800000.0,0.0,169.392,161.904,4.6249629410020825,1.73694722235538,1100,crompton-greaves-consumer-electricals,Small Cap
171572,5156.0,1,Eicher Motors Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,310000.0,315000.0,-1.5873015873015872,165.33849999999998,175.3605,-5.71508406967362,1.69538259376715,1100,eicher-motors,Large Cap
517,7825.0,1,Power Grid Corporation Of India Ltd.,Power,Power,Domestic Equities,5700000.0,5700000.0,0.0,165.1575,175.24650000000003,-5.757033664010415,1.69352661799943,1100,power-grid-corporation-of-india,Large Cap
171528,8219.0,1,HCL Technologies Ltd.,IT,Information Technology,Domestic Equities,1000000.0,1000000.0,0.0,163.66,156.75,4.40829346092504,1.6781712383742,1100,hcl-technologies,Large Cap
19255,6350.0,1,Mphasis Ltd.,IT,Information Technology,Domestic Equities,625000.0,625000.0,0.0,159.925,154.3125,3.637100040502227,1.63987251189657,1100,mphasis,Mid Cap
171636,86629.0,1,ICICI Lombard General Insurance Company Ltd.,Insurance,Finance,Domestic Equities,850000.0,850000.0,0.0,159.409,159.5025,-0.05861977084998896,1.6345814428571,1100,icici-lombard-general-insurance-company,Mid Cap
47051,90577.0,1,Dalmia Bharat Ltd.,Construction Materials,Construction Materials,Domestic Equities,775000.0,775000.0,0.0,156.27100000000002,150.5593,3.7936547260780307,1.60240436021003,1100,dalmia-bharat,Mid Cap
114442,5285.0,1,IndusInd Bank Ltd.,Bank,Banking,Domestic Equities,1864320.0,1900000.0,-1.877894736842105,152.3056,159.296,-4.388308557653682,1.56174310988222,1100,indusind-bank,Mid Cap
115643,7007.0,1,Coal India Ltd.,Mining,Mining,Domestic Equities,3700000.0,3900000.0,-5.128205128205128,147.001,150.267,-2.1734645664051344,1.50734968967521,1100,coal-india,Large Cap
707,8442.0,1,Bajaj Auto Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,170000.0,170000.0,0.0,146.319,136.51,7.185554171855539,1.50035645501451,1100,bajaj-auto,Large Cap
420,5071.0,1,Sun Pharmaceutical Industries Ltd.,Healthcare,Healthcare,Domestic Equities,850000.0,850000.0,0.0,142.596,155.7455,-8.442940566501113,1.46218077665408,1100,sun-pharmaceutical-industries,Large Cap
133625,7239.0,1,Maruti Suzuki India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,110000.0,110000.0,0.0,135.509,134.827,0.5058334013216856,1.38951060943938,1100,maruti-suzuki-india,Large Cap
152519,8782.0,1,Mahindra & Mahindra Financial Services Ltd.,Finance,Finance,Domestic Equities,5115392.0,5115392.0,0.0,133.5629,134.0488,-0.36247993268122003,1.36955528103293,1100,mahindra-mahindra-financial-services,Mid Cap
133463,8505.0,1,Glenmark Pharmaceuticals Ltd.,Healthcare,Healthcare,Domestic Equities,900000.0,800000.0,12.5,131.139,110.49600000000001,18.682124239791477,1.34470058676007,1100,glenmark-pharmaceuticals,Mid Cap
133309,5981.0,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,3400000.0,3600000.0,-5.555555555555555,130.764,113.07600000000001,15.642576674095293,1.34085533309766,1100,bharat-electronics,Large Cap
122,5767.0,1,The Phoenix Mills Ltd.,Realty,Realty,Domestic Equities,850000.0,850000.0,0.0,130.6535,141.4825,-7.653950135175726,1.33972226501847,1100,the-phoenix-mills,Mid Cap
152190,5796.0,1,Kajaria Ceramics Ltd.,Construction Materials,Construction Materials,Domestic Equities,1214687.0,1163461.0,4.402897905473411,126.29709999999999,93.60040000000001,34.93222251186959,1.29505169687199,1100,kajaria-ceramics,Small Cap
57620,82559.0,1,ICICI Prudential Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,1904046.0,1904046.0,0.0,126.124,116.9751,7.8212371692779,1.29327672778142,1100,icici-prudential-life-insurance-company,Large Cap
171799,4956.0,1,Dabur India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,2600000.0,2600000.0,0.0,125.56700000000001,126.815,-0.9841107124551454,1.28756524434152,1100,dabur-india,Large Cap
152572,7512.0,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,850000.0,175000.0,385.7142857142857,121.3375,123.71629999999999,-1.922786245628096,1.24419591003439,1100,info-edge-india,Large Cap
152636,5140.0,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,1700000.0,1700000.0,0.0,120.071,116.54350000000001,3.0267668295529138,1.23120920666521,1100,fortis-healthcare,Mid Cap
191898,99941.0,1,Sapphire Foods India Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,3773869.0,3773869.0,0.0,120.0468,119.443,0.5055130899257472,1.23096105962886,1100,sapphire-foods-india,Small Cap
38814,98613.0,1,Aditya Birla Sun Life AMC Ltd.,Finance,Finance,Domestic Equities,1600000.0,1667580.0,-4.0525791866057395,119.52799999999999,110.31040000000002,8.356057089812007,1.22564127936204,1100,aditya-birla-sun-life-amc,Small Cap
152380,4958.0,1,The Great Eastern Shipping Company Ltd.,Logistics,Logistics,Domestic Equities,1261965.0,1224085.0,3.094556342084087,117.4637,106.5015,10.293000568067127,1.20447392700119,1100,the-great-eastern-shipping-company,Small Cap
113818,7906.0,1,Samvardhana Motherson International Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,7500000.0,7500000.0,0.0,114.84,99.9525,14.894574923088467,1.17757048157701,1100,samvardhana-motherson-international,Large Cap
152376,5012.0,1,Bharat Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,3600000.0,3600000.0,0.0,114.624,111.618,2.693114013868734,1.17535561546746,1100,bharat-petroleum-corporation,Large Cap
152362,5226.0,1,Tata Steel Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,7000000.0,7000000.0,0.0,112.714,98.056,14.94860079954311,1.15577045681357,1100,tata-steel,Large Cap
19275,7232.0,1,NMDC Ltd.,Mining,Mining,Domestic Equities,14500000.0,14500000.0,0.0,103.1965,93.9455,9.847198641765708,1.05817791886156,1100,nmdc,Mid Cap
