CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,274298.0,286298.0,-4.19143689442469,53.3482,55.1124,-3.2010944905320775,6.16286571950564,1100,hdfc-bank,Large Cap
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,233974.0,233974.0,0.0,33.828,33.3881,1.3175352895193269,3.90786233761283,1100,icici-bank,Large Cap
171531,4897,1,Reliance Industries Ltd.,Crude Oil,Crude Oil,Domestic Equities,207630.0,207630.0,0.0,29.5021,29.171999999999997,1.1315645139174626,3.40812774832941,1100,reliance-industries,Large Cap
133309,5981,1,Bharat Electronics Ltd.,Capital Goods,Capital Goods,Domestic Equities,646086.0,530086.0,21.88324158721415,24.848499999999998,16.65,49.24024024024023,2.87053675346377,1100,bharat-electronics,Large Cap
133593,6508,1,Bharti Airtel Ltd.,Telecom,Telecom,Domestic Equities,119691.0,135191.0,-11.465260261407934,22.217,25.2064,-11.859686428843471,2.56654184565284,1100,bharti-airtel,Large Cap
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,171751.0,139751.0,22.897868351568146,20.4762,16.5605,23.6448174873947,2.36544196515986,1100,axis-bank,Large Cap
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,129600.0,116100.0,11.627906976744185,19.475,15.1511,28.53852195550159,2.24978180870905,1100,max-financial-services,Mid Cap
96486,15829,1,Interglobe Aviation Ltd.,Aviation,Aviation,Domestic Equities,32628.0,35628.0,-8.420343550016842,17.3907,18.7029,-7.016024252923344,2.00900028245014,1100,interglobe-aviation,Large Cap
133334,5159,1,CG Power and Industrial Solutions Ltd.,Capital Goods,Capital Goods,Domestic Equities,239709.0,203709.0,17.672267793764636,16.4608,12.7685,28.917257312918515,1.90157681113212,1100,cg-power-and-industrial-solutions,Large Cap
171889,4926,1,Infosys Ltd.,IT,Information Technology,Domestic Equities,103836.0,95836.0,8.347593806085396,16.2265,14.3764,12.869007540135218,1.87451011650924,1100,infosys,Large Cap
152372,4964,1,Larsen & Toubro Ltd.,Infrastructure,Infrastructure,Domestic Equities,44059.0,51059.0,-13.709630035840888,16.1921,17.0588,-5.080662180223701,1.87053617585612,1100,larsen-toubro,Large Cap
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,184179.0,242179.0,-23.949227637408693,14.960899999999999,19.0994,-21.668219944082022,1.72830606736407,1100,state-bank-of-india,Large Cap
2469,110949,1,JIO Financial Services Ltd.,Finance,Finance,Domestic Equities,488500.0,398500.0,22.58469259723965,14.0029,10.377699999999999,34.93259585457278,1.61763644103579,1100,jio-financial-services,Large Cap
171840,6541,1,UNO Minda Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,135668.0,135668.0,0.0,13.657,12.131400000000001,12.575630182831324,1.57767754359638,1100,uno-minda,Mid Cap
57445,86554,1,Dixon Technologies (India) Ltd.,Consumer Durables,Consumer Durables,Domestic Equities,9284.0,9284.0,0.0,13.6401,15.274000000000001,-10.697263323294495,1.575725229729,1100,dixon-technologies-india,Mid Cap
151967,5716,1,GE Vernova T&D India Ltd.,Capital Goods,Capital Goods,Domestic Equities,60159.0,68659.0,-12.38002301227807,13.484000000000002,10.752699999999999,25.401062058831748,1.55769231880015,1100,ge-vernova-td-india,Mid Cap
133657,7260,1,Coforge Ltd.,IT,Information Technology,Domestic Equities,15000.0,17350.0,-13.544668587896252,12.8258,12.6742,1.1961307222546476,1.48165604734996,1100,coforge,Mid Cap
171336,8097,1,JK Cement Ltd.,Construction Materials,Construction Materials,Domestic Equities,22750.0,22750.0,0.0,12.5068,11.631400000000001,7.526179135787606,1.44480467908408,1100,jk-cement,Mid Cap
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,195000.0,220000.0,-11.363636363636363,12.4673,13.4574,-7.357290412709736,1.44024157862482,1100,shriram-finance,Large Cap
152473,5056,1,Suzlon Energy Ltd.,Capital Goods,Capital Goods,Domestic Equities,1725000.0,1950000.0,-11.538461538461538,12.3303,10.998,12.11402073104201,1.42441512893069,1100,suzlon-energy,Mid Cap
152636,5140,1,Fortis Healthcare Ltd.,Healthcare,Healthcare,Domestic Equities,174000.0,174000.0,0.0,12.2896,11.9286,3.0263400566705343,1.4197134026347,1100,fortis-healthcare,Mid Cap
171942,7813,1,Jindal Steel & Power Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,128729.0,128729.0,0.0,12.2151,11.5296,5.945566194837632,1.41110704860395,1100,jindal-steel-power,Mid Cap
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,602000.0,602000.0,0.0,12.164000000000001,11.8401,2.7356187870034967,1.40520389838957,1100,the-federal-bank,Mid Cap
114530,88033,1,HDFC Asset Management Company Ltd.,Finance,Finance,Domestic Equities,25150.0,18000.0,39.72222222222222,12.029200000000001,7.8739,52.77308576436075,1.3896315960628,1100,hdfc-asset-management-company,Mid Cap
171877,6125,1,Cummins India Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,36252.0,36252.0,0.0,11.8475,10.496400000000001,12.872032315841611,1.36864133395022,1100,cummins-india,Large Cap
77009,96064,1,Max Healthcare Institute Ltd.,Healthcare,Healthcare,Domestic Equities,105220.0,105220.0,0.0,11.839400000000001,11.555299999999999,2.458612065459147,1.36770560955224,1100,max-healthcare-institute,Mid Cap
152441,8334,1,Gokaldas Exports Ltd.,Textile,Textile,Domestic Equities,118333.0,117681.0,0.5540401594140091,11.725,9.985800000000001,17.416731759097914,1.35448994644999,1100,gokaldas-exports,Small Cap
587,7648,1,APL Apollo Tubes Ltd.,Iron & Steel,Iron & Steel,Domestic Equities,64000.0,73000.0,-12.32876712328767,11.5949,11.8245,-1.941731151422896,1.3394605953171,1100,apl-apollo-tubes,Mid Cap
171365,5279,1,Hindustan Petroleum Corporation Ltd.,Crude Oil,Crude Oil,Domestic Equities,279000.0,279000.0,0.0,11.4683,10.5657,8.542737348211665,1.32483556954136,1100,hindustan-petroleum-corporation,Mid Cap
152572,7512,1,Info Edge (India) Ltd.,IT,Information Technology,Domestic Equities,80135.0,13187.0,507.68180784105556,11.439300000000001,9.3225,22.70635559131135,1.32148544515355,1100,info-edge-india,Large Cap
171394,82477,1,Endurance Technologies Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,46200.0,,,11.2349,,,1.29787284429604,1100,endurance-technologies,Mid Cap
152408,5535,1,ITC Ltd.,FMCG,Fast Moving Consumer Goods,Domestic Equities,252000.0,252000.0,0.0,10.5349,10.7302,-1.8200965499245096,1.21700777286619,1100,itc,Large Cap
133507,6902,1,TVS Motor Company Ltd.,Automobile & Ancillaries,Automobile & Ancillaries,Domestic Equities,37500.0,30000.0,25.0,10.427999999999999,8.016,30.089820359281426,1.20465852124354,1100,tvs-motor-company,Large Cap
152608,7159,1,Indian Bank,Bank,Banking,Domestic Equities,169000.0,,,10.420499999999999,,,1.20379210976394,1100,indian-bank,Mid Cap
