CompanyID,SecurityID,MfSchemeAssetAllocationID,Name,SectorName,EquitySectorName,Type,NoOfShare,PrevNoOfShare,SharesZG,MarketValue,PrevMarketValue,MarketValueZG,HoldingPercentage,Priority,SecuritySlug,McapCategory,Month
171888,8748,1,ICICI Bank Ltd.,Bank,Banking,Domestic Equities,580426.0,580426.0,0.0,79.8202,72.9247,9.455643972481205,12.6019823364288,1100,icici-bank,Large Cap,Jun-2026
171875,5051,1,HDFC Bank Ltd.,Bank,Banking,Domestic Equities,924453.0,924453.0,0.0,73.7667,68.8301,7.172152880789071,11.6462580952772,1100,hdfc-bank,Large Cap,Jun-2026
171492,5886,1,Kotak Mahindra Bank Ltd.,Bank,Banking,Domestic Equities,1025539.0,1064250.0,-3.6373972280949025,40.2268,40.8885,-1.6183034349511496,6.35099164185325,1100,kotak-mahindra-bank,Large Cap,Jun-2026
133350,8843,1,State Bank Of India,Bank,Banking,Domestic Equities,222349.0,237299.0,-6.300068689712135,22.833000000000002,22.8851,-0.22765904453115937,3.60486521817384,1100,state-bank-of-india,Large Cap,Jun-2026
171400,5889,1,Axis Bank Ltd.,Bank,Banking,Domestic Equities,165575.0,172296.0,-3.9008450573431768,22.281399999999998,22.167600000000004,0.5133618434110888,3.51777882329166,1100,axis-bank,Large Cap,Jun-2026
171484,6114,1,Bajaj Finance Ltd.,Finance,Finance,Domestic Equities,206366.0,216289.0,-4.587843117310635,20.7346,19.6444,5.5496731893058575,3.27357063691794,1100,bajaj-finance,Large Cap,Jun-2026
171708,8443,1,Bajaj Finserv Ltd.,Finance,Finance,Domestic Equities,101068.0,101068.0,0.0,17.9921,18.026500000000002,-0.19083016669902944,2.84058579651844,1100,bajaj-finserv,Large Cap,Jun-2026
26622,79332,1,Five-Star Business Finance Ltd.,Finance,Finance,Domestic Equities,334871.0,315291.0,6.210136033061521,16.9143,14.0352,20.513423392612864,2.67042314894047,1100,five-star-business-finance,Small Cap,Jun-2026
58272,82478,1,PNB Housing Finance Ltd.,Finance,Finance,Domestic Equities,150229.0,150229.0,0.0,15.5998,15.4811,0.7667413814263921,2.46289039681462,1100,pnb-housing-finance,Small Cap,Jun-2026
152604,5456,1,Power Finance Corporation Ltd.,Finance,Finance,Domestic Equities,364727.0,295680.0,23.351934523809522,15.4754,12.6728,22.11508111861625,2.44325017287818,1100,power-finance-corporation,Large Cap,Jun-2026
56728,7719,1,Shriram Finance Ltd.,Finance,Finance,Domestic Equities,125996.0,135524.0,-7.0304890646675124,13.1307,12.836199999999998,2.2942927034480647,2.07306984278348,1100,shriram-finance,Large Cap,Jun-2026
171514,5399,1,Cholamandalam Investment and Finance Company Ltd.,Finance,Finance,Domestic Equities,66769.0,66769.0,0.0,11.9503,10.267100000000001,16.394113235480315,1.88670874684635,1100,cholamandalam-investment-and-finance-company,Large Cap,Jun-2026
152222,5634,1,Max Financial Services Ltd.,Finance,Finance,Domestic Equities,74454.0,74454.0,0.0,11.7935,12.4636,-5.376456240572547,1.86195322342807,1100,max-financial-services,Mid Cap,Jun-2026
79346,86555,1,Aditya Birla Capital Ltd.,Finance,Finance,Domestic Equities,284408.0,284408.0,0.0,11.1474,10.3325,7.886765061698525,1.7599472050572,1100,aditya-birla-capital,Mid Cap,Jun-2026
46444,92584,1,Ujjivan Small Finance Bank Ltd.,Bank,Banking,Domestic Equities,1883306.0,1883306.0,0.0,11.120899999999999,10.2433,8.56755147266994,1.75576339529582,1100,ujjivan-small-finance-bank,Small Cap,Jun-2026
114451,6891,1,City Union Bank Ltd.,Bank,Banking,Domestic Equities,521638.0,437115.0,19.336559029088455,10.881400000000001,11.166099999999998,-2.549681625634716,1.71795122782976,1100,city-union-bank,Small Cap,Jun-2026
232468,113326,1,OnEMI Technology Solutions Ltd.,Finance,Finance,Domestic Equities,381678.0,529346.0,-27.896309786037865,10.6679,14.4226,-26.033447505997533,1.68424393031825,1100,onemi-technology-solutions,Small Cap,Jun-2026
808,7339,1,Repco Home Finance Ltd.,Finance,Finance,Domestic Equities,251976.0,299050.0,-15.741180404614614,10.5263,11.4835,-8.335437802063813,1.66188817702725,1100,repco-home-finance,Small Cap,Jun-2026
157113,99763,1,PB Fintech Ltd.,IT,Information Technology,Domestic Equities,59720.0,1970.0,2931.472081218274,9.726,0.3354,2799.821109123435,1.53553712223355,1100,pb-fintech,Mid Cap,Jun-2026
58175,113030,1,Canara HSBC Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,677222.0,677222.0,0.0,9.4716,9.3484,1.3178725771254907,1.4953725485243,1100,canara-hsbc-life-insurance-company,Small Cap,Jun-2026
152444,7037,1,IIFL Finance Ltd.,Finance,Finance,Domestic Equities,186086.0,128939.0,44.320957972374536,9.4494,6.0202,56.961562738779456,1.49186762110156,1100,iifl-finance,Small Cap,Jun-2026
114457,7574,1,The South Indian Bank Ltd.,Bank,Banking,Domestic Equities,1805711.0,1127023.0,60.2195341177598,8.2395,4.6681,76.5065015745164,1.30084907656214,1100,the-south-indian-bank,Small Cap,Jun-2026
152907,86648,1,SBI Life Insurance Company Ltd.,Insurance,Finance,Domestic Equities,46204.0,40918.0,12.918519966762792,8.1582,7.4884,8.944500827947227,1.28801346397345,1100,sbi-life-insurance-company,Large Cap,Jun-2026
171335,5389,1,Bajaj Holdings & Investment Ltd.,Finance,Finance,Domestic Equities,7100.0,7100.0,0.0,7.528099999999999,7.3563,2.3354131832578813,1.18853351942077,1100,bajaj-holdings-investment,Large Cap,Jun-2026
139601,89162,1,Aavas Financiers Ltd.,Finance,Finance,Domestic Equities,47093.0,42549.0,10.679451926014712,7.1619,5.7148,25.32197102260797,1.1307180049069,1100,aavas-financiers,Small Cap,Jun-2026
171685,5596,1,The Federal Bank Ltd.,Bank,Banking,Domestic Equities,211896.0,211896.0,0.0,6.9936,6.1227,14.224116811210747,1.10414686593179,1100,the-federal-bank,Mid Cap,Jun-2026
152207,5372,1,LIC Housing Finance Ltd.,Finance,Finance,Domestic Equities,122239.0,133282.0,-8.285439894359328,6.894299999999999,7.1059,-2.977807174319943,1.08846942029763,1100,lic-housing-finance,Small Cap,Jun-2026
171404,5514,1,Cholamandalam Financial Holdings Ltd.,Finance,Finance,Domestic Equities,40605.0,28471.0,42.618805099926234,6.727799999999999,4.5041,49.37057347749826,1.06218246462707,1100,cholamandalam-financial-holdings,Small Cap,Jun-2026
